000000021a8a0e50 (__DATA,__data) non-external _.compoundliteral
00000001e50cb990 (__TEXT,__text) external _ShGetSubroutineIndex
00000001e50cb860 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001e50ca5ac (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001e50caa7c (__TEXT,__text) external _ShGetUniformBlockIndex
00000001e50cae78 (__TEXT,__text) external _ShGetUniformIndex
00000001e50c9fb4 (__TEXT,__text) external _ShGetUniformLocation
00000001e50c9ce8 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001e50c8b34 (__TEXT,__text) external _ShInitialize
00000001e50cc03c (__TEXT,__text) external _ShInitializeLibrary
00000001e50c9070 (__TEXT,__text) external _ShLink
00000001e50ca188 (__TEXT,__text) external _ShSetInitialUniformValue
00000001e50cc040 (__TEXT,__text) external _ShTerminateLibrary
00000001e50ca3dc (__TEXT,__text) external _ShTransformFeedbackVaryings
00000001e50bbc9c (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00000001e512f434 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000001e50d9174 (__TEXT,__text) non-external (was a private external) _UngetToken
00000001e512d808 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00000001e512b378 (__TEXT,__text) non-external _UnrollConstantLoopsInner
00000001e512b220 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001e50d21d8 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000001e50d1880 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000001e50d2548 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000001e50d1f1c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000001e50d20b4 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000001e50d2454 (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000001e50acad0 (__TEXT,__text) non-external ___abort_calloc
00000001e508465c (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00000001e507dea0 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00000002175b41d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4210 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4330 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4350 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b45d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4650 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4e78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4f70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4fb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b5008 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b5268 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b7480 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002175b7500 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000021e7ef2e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000021e7ef318 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000021e7ef678 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000002175b4270 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000002175b5368 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000002175b5388 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
000000021e7ef858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
000000021e7ef888 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
00000002175b53a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
000000021e7ef8b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000002175b74a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
00000002175b4290 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000002175b45f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
000000021e7ef908 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
000000021e7ef938 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
00000002175b4370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000002175b53c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e7ef6d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e7efa08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e7ef968 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000002175b74c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
00000002175b53e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00000002175b74e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
000000021e7efa38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000002175b4610 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000002175b4230 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000002175b5288 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
000000021e7ef348 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
00000002175b4630 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
00000002175b42b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000002175b7520 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
000000021e7ef708 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000002175b42d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000002175b52a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000002175b42f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
000000021e7ef738 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000002175b4310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00000002175b52c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
000000021e7ef378 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000002175b52e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
000000021e7ef428 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
000000021e7ef3a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000002175b4250 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000002175b5308 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
000000021e7ef6a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000002175b5328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
000000021e7ef768 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000021e7ef798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
000000021e7ef458 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
000000021e7ef7c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
000000021e7ef7f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
000000021e7ef488 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000002175b5028 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
000000021e7ef4b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000002175b5348 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
000000021e7ef9d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000002175b5048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
000000021e7ef3d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000021e7ef4e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000002175b4f90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
000000021e7ef828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
000000021e7ef148 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef168 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef288 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef2c8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef408 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef8e8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7efa68 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e7ef1c8 (__AUTH_CONST,__const) non-external ___block_literal_global.12
000000021e7ef1e8 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000021e7ef2a8 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000021e7ef998 (__AUTH_CONST,__const) non-external ___block_literal_global.169
000000021e7ef9b8 (__AUTH_CONST,__const) non-external ___block_literal_global.173
000000021e7ef208 (__AUTH_CONST,__const) non-external ___block_literal_global.32
000000021e7ef188 (__AUTH_CONST,__const) non-external ___block_literal_global.4
000000021e7ef1a8 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001e50a766c (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00000001e50ba624 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001e511c538 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000001e50bdc1c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001e50bdb70 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001e50d1954 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001e50e29b0 (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000001e50e1f64 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000001e50e0e90 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000001e50e232c (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000001e50e0848 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000001e50e0944 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000001e50e6f84 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000001e50e2778 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000001e50c8aac (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000001e50e2888 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000001e50e2954 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000001e50dd93c (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000001e50dee08 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000001e50e181c (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00000001e50ba634 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001e511c588 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000001e50bdc2c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001e50bdbc0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001e50d19b4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000001e5086cec (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000001e50c3a94 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00000001e50a7148 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00000001e50a715c (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00000001e50a7674 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00000001e507da78 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00000001e507dbcc (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00000001e507db98 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000001e507db30 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00000001e507db64 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000001e507dbd8 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000001e50c4d34 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000001e50c4dd4 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000001e50bdaf8 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000001e50bdc04 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000001e50cff2c (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000001e50d0440 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00000001e50ba56c (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00000001e50a7ad0 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000001e510e16c (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000001e510df88 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000001e510dfac (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000001e510e030 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000001e510e05c (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000001e510e2a4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000001e510e2c8 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000001e510e2e0 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000001e510e2ec (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000001e510db84 (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000001e510e148 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000001e50c625c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000001e50c62a0 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
