0000000182bb24f8 (__DATA,__data) non-external _C
0000000180a8b974 (__TEXT,__text) external _tre_stack_destroy
0000000180a8b8e8 (__TEXT,__text) external _tre_stack_new
0000000180a8b9b0 (__TEXT,__text) external _tre_stack_num_objects
0000000180a8ba90 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
0000000180a8baac (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180a8b9c0 (__TEXT,__text) non-external _tre_stack_push
0000000180a8b9b8 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
0000000180a8ba8c (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
0000000180a86040 (__TEXT,__text) external _tre_tnfa_run_backtrack
0000000180a87de8 (__TEXT,__text) external _tre_tnfa_run_parallel
0000000180a79f24 (__TEXT,__text) non-external _trecurse
0000000180a79e5c (__TEXT,__text) external _tsearch
0000000180a48b5c (__TEXT,__text) external _ttyname
0000000182bb42f8 (__DATA,__bss) non-external _ttyname_init
0000000182bb4300 (__DATA,__bss) non-external _ttyname_key
0000000182bb2b78 (__DATA,__data) non-external _ttyname_lock
0000000180a48c8c (__TEXT,__text) external _ttyname_r
0000000180a48d60 (__TEXT,__text) external _ttyslot
0000000180a79f10 (__TEXT,__text) external _twalk
0000000180a6a768 (__TEXT,__text) non-external _typesequiv
0000000180a68680 (__TEXT,__text) non-external _tzload
0000000182bb3198 (__DATA,__data) external _tzname
0000000180a68f60 (__TEXT,__text) non-external _tzparse
0000000180a69680 (__TEXT,__text) external _tzset
0000000180a68374 (__TEXT,__text) external _tzsetwall
0000000180a6837c (__TEXT,__text) non-external _tzsetwall_basic
0000000180a48d68 (__TEXT,__text) external _ualarm
0000000182bb3008 (__DATA,__data) non-external _uglue
0000000180a48df4 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180a2e118 (__TEXT,__text) external _uname
0000000180a91340 (__TEXT,__const) non-external _unbound_variable_str
0000000180a28920 (__TEXT,__text) non-external _underflow
0000000180a5c6bc (__TEXT,__text) external _ungetc
0000000180a5c9a0 (__TEXT,__text) external _ungetwc
0000000180a5ca20 (__TEXT,__text) external _ungetwc_l
0000000182bb4079 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
0000000180a7a1e0 (__TEXT,__text) external _unlockpt
0000000180a78428 (__TEXT,__text) external _unsetenv
0000000180a48e8c (__TEXT,__text) external _unvis
0000000180a8e6d0 (__TEXT,__text) non-external _unvis.cold.1
0000000180a8e6fc (__TEXT,__text) non-external _unvis.cold.2
0000000180a30f74 (__TEXT,__text) external _uselocale
0000000180a8bd58 (__TEXT,__text) external _usleep
0000000180a495bc (__TEXT,__text) external _usleep$NOCANCEL
0000000182bb5340 (__DATA,__bss) non-external _usual
0000000182bb4570 (__DATA,__bss) non-external _usual_extra
0000000180a4960c (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
0000000180a32a98 (__TEXT,__text) external _uuid_clear
0000000180a32aa0 (__TEXT,__text) external _uuid_compare
0000000180a32b60 (__TEXT,__text) external _uuid_copy
0000000180a32f24 (__TEXT,__text) external _uuid_generate
0000000180a32e84 (__TEXT,__text) external _uuid_generate_random
0000000180a32b7c (__TEXT,__text) external _uuid_generate_time
0000000182bb41b0 (__DATA,__bss) non-external _uuid_generate_time.has_init
0000000182bb41a8 (__DATA,__bss) non-external _uuid_generate_time.node_id
0000000180a32f28 (__TEXT,__text) external _uuid_is_null
0000000180a32f50 (__TEXT,__text) external _uuid_pack
0000000180a32fa0 (__TEXT,__text) external _uuid_parse
0000000180a330fc (__TEXT,__text) external _uuid_unpack
0000000180a3321c (__TEXT,__text) external _uuid_unparse
0000000180a3314c (__TEXT,__text) external _uuid_unparse_lower
0000000180a331b4 (__TEXT,__text) external _uuid_unparse_upper
0000000180b92818 (__DATA_CONST,__const) non-external _validlist
0000000180a5cc60 (__TEXT,__text) external _vasprintf
0000000180a5cc44 (__TEXT,__text) external _vasprintf_l
0000000180a31a9c (__TEXT,__text) external _vasxprintf
0000000180a324b4 (__TEXT,__text) external _vasxprintf_exec
0000000180a5cdf8 (__TEXT,__text) external _vdprintf
0000000180a5cddc (__TEXT,__text) external _vdprintf_l
0000000180a31ab4 (__TEXT,__text) external _vdxprintf
0000000180a324d0 (__TEXT,__text) external _vdxprintf_exec
0000000180a8e340 (__TEXT,__text) external _verr
0000000180a8e248 (__TEXT,__text) external _verrc
0000000180a8e3b8 (__TEXT,__text) external _verrx
0000000180a33554 (__TEXT,__text) external _vfork
0000000180a5cef0 (__TEXT,__text) external _vfprintf
0000000180a5ce30 (__TEXT,__text) external _vfprintf_l
0000000180a603ec (__TEXT,__text) external _vfscanf
0000000180a62100 (__TEXT,__text) external _vfscanf_l
0000000180a64e3c (__TEXT,__text) external _vfwprintf
0000000180a62344 (__TEXT,__text) external _vfwprintf_l
0000000180a65654 (__TEXT,__text) external _vfwscanf
0000000180a66ebc (__TEXT,__text) external _vfwscanf_l
0000000180a31acc (__TEXT,__text) external _vfxprintf
0000000180a324ec (__TEXT,__text) external _vfxprintf_exec
0000000180a49eb8 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
0000000180a66f58 (__TEXT,__text) external _vprintf
0000000180a66f90 (__TEXT,__text) external _vprintf_l
0000000180a66fac (__TEXT,__text) external _vscanf
0000000180a67028 (__TEXT,__text) external _vscanf_l
0000000180a671d8 (__TEXT,__text) external _vsnprintf
0000000180a671b8 (__TEXT,__text) external _vsnprintf_l
0000000180a67314 (__TEXT,__text) external _vsprintf
0000000180a67214 (__TEXT,__text) external _vsprintf_l
0000000180a674f0 (__TEXT,__text) external _vsscanf
0000000180a67340 (__TEXT,__text) external _vsscanf_l
0000000180a67720 (__TEXT,__text) external _vswprintf
0000000180a6751c (__TEXT,__text) external _vswprintf_l
0000000180a67920 (__TEXT,__text) external _vswscanf
0000000180a6774c (__TEXT,__text) external _vswscanf_l
0000000180a31ae4 (__TEXT,__text) external _vsxprintf
0000000180a32508 (__TEXT,__text) external _vsxprintf_exec
0000000180a8e584 (__TEXT,__text) external _vwarn
0000000180a8e4c4 (__TEXT,__text) external _vwarnc
0000000180a8e620 (__TEXT,__text) external _vwarnx
0000000180a6794c (__TEXT,__text) external _vwprintf
0000000180a67984 (__TEXT,__text) external _vwprintf_l
0000000180a679a0 (__TEXT,__text) external _vwscanf
0000000180a679d8 (__TEXT,__text) external _vwscanf_l
0000000180a31b08 (__TEXT,__text) external _vxprintf
0000000180a3252c (__TEXT,__text) external _vxprintf_exec
0000000180a8bda8 (__TEXT,__text) external _wait
0000000180a4a984 (__TEXT,__text) external _wait$NOCANCEL
0000000180a4a998 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
0000000180a8bdbc (__TEXT,__text) external _waitpid
0000000180a4a9ac (__TEXT,__text) external _waitpid$NOCANCEL
0000000180a8e480 (__TEXT,__text) external _warn
0000000180a8e5c8 (__TEXT,__text) external _warnc
0000000180a8e5f4 (__TEXT,__text) external _warnx
0000000180a6f3b0 (__TEXT,__text) external _wcpcpy
0000000180a6f3d0 (__TEXT,__text) external _wcpncpy
0000000180a51804 (__TEXT,__text) external _wcrtomb
0000000180a517c4 (__TEXT,__text) external _wcrtomb_l
0000000180a6f4e8 (__TEXT,__text) external _wcscasecmp
0000000180a6f440 (__TEXT,__text) external _wcscasecmp_l
0000000180a6f50c (__TEXT,__text) external _wcscat
0000000180a6f534 (__TEXT,__text) external _wcschr
0000000180a6f554 (__TEXT,__text) external _wcscmp
0000000180a6f9ec (__TEXT,__text) external _wcscoll
0000000180a6f57c (__TEXT,__text) external _wcscoll_l
0000000180a6fa10 (__TEXT,__text) external _wcscpy
0000000180a704f8 (__TEXT,__text) external _wcscspn
0000000180a7053c (__TEXT,__text) external _wcsdup
0000000180a51a48 (__TEXT,__text) external _wcsftime
0000000180a51848 (__TEXT,__text) external _wcsftime_l
0000000180a705a4 (__TEXT,__text) external _wcslcat
0000000180a7064c (__TEXT,__text) external _wcslcpy
0000000180a7069c (__TEXT,__text) external _wcslen
0000000180a70784 (__TEXT,__text) external _wcsncasecmp
0000000180a706b8 (__TEXT,__text) external _wcsncasecmp_l
0000000180a707a8 (__TEXT,__text) external _wcsncat
0000000180a707ec (__TEXT,__text) external _wcsncmp
0000000180a70828 (__TEXT,__text) external _wcsncpy
0000000180a70890 (__TEXT,__text) external _wcsnlen
0000000180a51aac (__TEXT,__text) external _wcsnrtombs
0000000180a51a6c (__TEXT,__text) external _wcsnrtombs_l
0000000180a708c0 (__TEXT,__text) external _wcspbrk
0000000180a708f8 (__TEXT,__text) external _wcsrchr
0000000180a51d38 (__TEXT,__text) external _wcsrtombs
0000000180a51cec (__TEXT,__text) external _wcsrtombs_l
0000000180a7091c (__TEXT,__text) external _wcsspn
0000000180a70d18 (__TEXT,__text) external _wcsstr
0000000180a52010 (__TEXT,__text) external _wcstod
0000000180a51dec (__TEXT,__text) external _wcstod_l
0000000180a52258 (__TEXT,__text) external _wcstof
0000000180a52034 (__TEXT,__text) external _wcstof_l
0000000180a524bc (__TEXT,__text) external _wcstoimax
0000000180a5227c (__TEXT,__text) external _wcstoimax_l
0000000180a70da0 (__TEXT,__text) external _wcstok
0000000180a52720 (__TEXT,__text) external _wcstol
0000000180a524e0 (__TEXT,__text) external _wcstol_l
0000000180a52968 (__TEXT,__text) external _wcstold
0000000180a52744 (__TEXT,__text) external _wcstold_l
0000000180a52bcc (__TEXT,__text) external _wcstoll
0000000180a5298c (__TEXT,__text) external _wcstoll_l
0000000180a52c98 (__TEXT,__text) external _wcstombs
0000000180a52bf0 (__TEXT,__text) external _wcstombs_l
0000000180a52f7c (__TEXT,__text) external _wcstoul
0000000180a52d40 (__TEXT,__text) external _wcstoul_l
0000000180a531dc (__TEXT,__text) external _wcstoull
0000000180a52fa0 (__TEXT,__text) external _wcstoull_l
0000000180a5343c (__TEXT,__text) external _wcstoumax
0000000180a53200 (__TEXT,__text) external _wcstoumax_l
0000000180a70eb4 (__TEXT,__text) external _wcswidth
0000000180a70e24 (__TEXT,__text) external _wcswidth_l
0000000180a70fe8 (__TEXT,__text) external _wcsxfrm
0000000180a70ed8 (__TEXT,__text) external _wcsxfrm_l
0000000180a5351c (__TEXT,__text) external _wctob
0000000180a53460 (__TEXT,__text) external _wctob_l
0000000180a535bc (__TEXT,__text) external _wctomb
0000000180a53540 (__TEXT,__text) external _wctomb_l
0000000180a53740 (__TEXT,__text) external _wctrans
0000000180a537dc (__TEXT,__text) external _wctrans_l
0000000180a538e8 (__TEXT,__text) external _wctype
0000000180a537e0 (__TEXT,__text) external _wctype_l
0000000180b92bb0 (__DATA_CONST,__const) non-external _wctype_l.props
0000000180a5390c (__TEXT,__text) external _wcwidth
0000000180a5398c (__TEXT,__text) external _wcwidth_l
0000000180a7047c (__TEXT,__text) non-external _we_read_fully
0000000180a91238 (__TEXT,__const) non-external _wildabbr
0000000180a7100c (__TEXT,__text) external _wmemchr
0000000180a71030 (__TEXT,__text) external _wmemcmp
0000000180a71068 (__TEXT,__text) external _wmemcpy
0000000180a71070 (__TEXT,__text) external _wmemmove
0000000180a71078 (__TEXT,__text) external _wmemset
0000000180a68150 (__TEXT,__text) non-external _wmemstream_close
0000000180a6809c (__TEXT,__text) non-external _wmemstream_seek
0000000180a8ebb8 (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180a8ebe4 (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180a67e7c (__TEXT,__text) non-external _wmemstream_update
0000000180a8eb8c (__TEXT,__text) non-external _wmemstream_update.cold.1
0000000180a67eb0 (__TEXT,__text) non-external _wmemstream_write
0000000180a6fa28 (__TEXT,__text) external _wordexp
0000000180a70434 (__TEXT,__text) external _wordfree
0000000180a67aec (__TEXT,__text) external _wprintf
0000000180a67b48 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180a67b88 (__TEXT,__text) external _wscanf
0000000180a67be4 (__TEXT,__text) external _wscanf_l
0000000180a31a54 (__TEXT,__text) external _xprintf
0000000182bb41a0 (__DATA,__bss) non-external _xprintf_domain_default
0000000180a32470 (__TEXT,__text) external _xprintf_exec
0000000180a91240 (__TEXT,__const) non-external _year_lengths
0000000182bb40e0 (__DATA,__bss) non-external _zapchar
0000000180a9109f (__TEXT,__const) non-external _zeroes
0000000180a91190 (__TEXT,__const) non-external _zeroes
0000000182bb3360 (__DATA,__data) non-external _zeroes
