00000001dc21220c (__TEXT,__text) non-external +[Cube initialize]
00000001dc04e220 (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001dc04f338 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001dc04f4b4 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001dc04f470 (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00000001dc04fa28 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001dc051614 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00000001dc050b30 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001dc04f380 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001dc04f428 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001dc050ecc (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001dc0507e0 (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001dc0515cc (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001dc052694 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001dc052628 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001dc019dc8 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001dc019dc0 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001dc058b30 (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001dc058ac4 (__TEXT,__text) non-external +[MPCropController sharedController]
00000001dc05ed98 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001dc05ec84 (__TEXT,__text) non-external +[MPDocument initialize]
00000001dc05ede8 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001dc05ebb4 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001dc065fc4 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001dc065fd8 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.2
00000001dc05edd4 (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001dc05ed90 (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001dc05ea78 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001dc05ea90 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001dc065fc4 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001dc065fd8 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.2
00000001dc05edc0 (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001dc066068 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001dc0660b8 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001dc0660f4 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001dc066138 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001dc06617c (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001dc066060 (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001dc06e948 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001dc06e970 (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001dc06ec88 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001dc072940 (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001dc0729ec (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001dc072978 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001dc0759d4 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001dc0766b4 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001dc0769f0 (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001dc076bb8 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001dc0764bc (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001dc076480 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001dc076494 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001dc0764a8 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001dc076ce4 (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001dc076cdc (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001dc078980 (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001dc07890c (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001dc079738 (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001dc079ffc (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001dc079ff4 (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001dc07a988 (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001dc07a914 (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001dc07b064 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001dc01b238 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001dc01b230 (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001dc07bca4 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001dc07bd2c (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001dc07bccc (__TEXT,__text) non-external +[MPLayer layer]
00000001dc07bcfc (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001dc07bd5c (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001dc08094c (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001dc080988 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001dc0809cc (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001dc080a10 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001dc085748 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001dc0857c0 (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001dc08f0a8 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001dc092818 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001dc0927f0 (__TEXT,__text) non-external +[MPSlide slide]
00000001dc0927e8 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001dc097c70 (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001dc097c34 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001dc097c0c (__TEXT,__text) non-external +[MPSong song]
00000001dc097c04 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001dc098ec0 (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001dc098e4c (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001dc01adf4 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001dc01adec (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001dc099bd8 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001dc009a0c (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001dc09b4cc (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001dc09d024 (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001dc09d02c (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001dc09ec10 (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001dc09ebd4 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001dc01b624 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001dc01b62c (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001dc0a0264 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001dc0a01f0 (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001dc0a0d98 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001dc0a4894 (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001dc0a6610 (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001dc0a4420 (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001dc0a44c8 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001dc0a3f10 (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001dc0a3500 (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001dc0a2f9c (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001dc0a3748 (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001dc0a42a0 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001dc0a4360 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001dc0a6780 (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001dc0a52cc (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001dc0a55fc (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001dc0a5578 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001dc0a61d8 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001dc0a60c8 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001dc0a62a4 (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001dc0a623c (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001dc0a3ab8 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001dc0a39fc (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001dc0a3d84 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001dc0a5fbc (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001dc0a5adc (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001dc0a5a30 (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001dc0a4dac (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001dc0a5f10 (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001dc0a54c0 (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001dc0a5c94 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001dc0a2d50 (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001dc0a2e50 (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001dc0a6f0c (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001dc0a6ff0 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001dc0a7210 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001dc0a72a4 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001dc0a78a4 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001dc0a6ec0 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001dc0a6e4c (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001dc0a765c (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001dc0a7a38 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001dc0a7be4 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001dc0a7334 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001dc0a7468 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001dc0a6ac4 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001dc0a7294 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001dc0a7c7c (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001dc0a7634 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001dc0a7330 (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001dc0a71bc (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001dc0a6e80 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001dc0a6de4 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001dc020b5c (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001dc0204b8 (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001dc020698 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001dc020510 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001dc0205fc (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001dc0204c0 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001dc0205c4 (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001dc020c58 (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001dc0aa834 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001dc0aa8a4 (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001dc0aa898 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001dc21ae40 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001dc0b0e44 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001dc0b0e4c (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001dc0b1004 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001dc0b13f8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001dc0b100c (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001dc0b11c4 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001dc0b3058 (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001dc0b3060 (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001dc0b3050 (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001dc0b2b9c (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001dc0b3b14 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001dc0b3b1c (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001dc1cf9b4 (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001dc1cf9ac (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001dc1d29dc (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001dc1d29e4 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001dc1f7a60 (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001dc1f7434 (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001dc1f742c (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001dc1f674c (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001dc1f7504 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001dc1f77fc (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001dc1cb560 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001dc1cb558 (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001dc1cb160 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001dc205300 (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
