00007ffb43609d98 (__DATA,__data) non-external _.compoundliteral
00007ffb083e91c2 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00007ffb083e91a8 (__TEXT,__text) external _ShGetNumActiveSubroutines
00007ffb083e814c (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00007ffb083e8d32 (__TEXT,__text) external _ShGetNumActiveUniforms
00007ffb083e7ea0 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00007ffb083e736f (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00007ffb083e7b22 (__TEXT,__text) external _ShGetPPStreamManager
00007ffb083e7b39 (__TEXT,__text) external _ShGetShaderByteCode
00007ffb083e9494 (__TEXT,__text) external _ShGetSubroutineIndex
00007ffb083e938b (__TEXT,__text) external _ShGetSubroutineUniformLocation
00007ffb083e7e19 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00007ffb083e82e2 (__TEXT,__text) external _ShGetUniformBlockIndex
00007ffb083e883b (__TEXT,__text) external _ShGetUniformIndex
00007ffb083e78cc (__TEXT,__text) external _ShGetUniformLocation
00007ffb083e760d (__TEXT,__text) external _ShGetUniformPartitionInfo
00007ffb083e6460 (__TEXT,__text) external _ShInitialize
00007ffb083e9bc4 (__TEXT,__text) external _ShInitializeLibrary
00007ffb083e699c (__TEXT,__text) external _ShLink
00007ffb083e7a79 (__TEXT,__text) external _ShSetInitialUniformValue
00007ffb083e9bca (__TEXT,__text) external _ShTerminateLibrary
00007ffb083e7c6a (__TEXT,__text) external _ShTransformFeedbackVaryings
00007ffb083d91bb (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00007ffb0844a09c (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00007ffb083f6082 (__TEXT,__text) non-external (was a private external) _UngetToken
00007ffb08447f4c (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00007ffb0844536e (__TEXT,__text) non-external _UnrollConstantLoopsInner
00007ffb08445229 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb083ef871 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00007ffb083eefee (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00007ffb083efb9b (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ffb083ef5b1 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00007ffb083ef752 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00007ffb083efaac (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00007ffb083c75b8 (__TEXT,__text) non-external ___abort_calloc
00007ffb08303f1e (__TEXT,__text) non-external ___abort_malloc
00007ffb083c71c2 (__TEXT,__text) non-external ___abort_malloc
00007ffb08399c50 (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00007ffb0839354d (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00007ffb4139f190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f1e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f430 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f450 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f490 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f550 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f5c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f5f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f658 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f6c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f7b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139f7f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139fcb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb413a1ec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb413a1ee8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb413a22a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb4139fdb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ffb413a20f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.101
00007ffb413a2128 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.108
00007ffb4139f2e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffb4139fdd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffb413a2158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.119
00007ffb4139fdf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffb413a1f48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffb413a2198 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.124
00007ffb413a21c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.132
00007ffb413a21f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.135
00007ffb4139f4d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffb413a22f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffb413a2228 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.141
00007ffb413a2268 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.144
00007ffb4139f470 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffb4139fe10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffb413a2328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffb4139f328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffb4139fe30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffb413a1f78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffb4139f510 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00007ffb4139f530 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffb413a2358 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffb4139f228 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffb4139f628 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffb4139fcd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffb4139f348 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffb413a1fa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffb4139f368 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00007ffb4139fcf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00007ffb4139f3a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffb4139fd10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffb413a1f18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffb4139f6e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffb4139f268 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffb4139fd30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffb4139f818 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ffb4139f710 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffb4139fd50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ffb413a1fd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffb413a2008 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.66
00007ffb413a2038 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffb4139fd70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00007ffb413a2068 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.70
00007ffb4139f848 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.78
00007ffb4139f2a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00007ffb4139f878 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffb413a2098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffb4139f8a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00007ffb4139f8c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffb4139f8f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
00007ffb4139f918 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffb4139fd90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffb413a22c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffb4139f740 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffb4139f770 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.94
00007ffb413a20c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.98
00007ffb4139f1b0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb4139f208 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb4139f4b0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb4139f570 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb4139f790 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb413a2178 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb413a2378 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb4139f308 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ffb413a2248 (__DATA_CONST,__const) non-external ___block_literal_global.142
00007ffb413a2288 (__DATA_CONST,__const) non-external ___block_literal_global.145
00007ffb4139f4f0 (__DATA_CONST,__const) non-external ___block_literal_global.15
00007ffb4139f388 (__DATA_CONST,__const) non-external ___block_literal_global.27
00007ffb4139f248 (__DATA_CONST,__const) non-external ___block_literal_global.3
00007ffb4139f288 (__DATA_CONST,__const) non-external ___block_literal_global.6
00007ffb4139f2c8 (__DATA_CONST,__const) non-external ___block_literal_global.9
                 (undefined) external ___bzero (from libSystem)
00007ffb08312fc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb08312fe0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb083c2406 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00007ffb083d76df (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffb084364ed (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00007ffb083e3b10 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffb08425f14 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffb083ef0a3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00007ffb083fe7ce (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00007ffb083fdec4 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00007ffb083fce50 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00007ffb083fe254 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00007ffb083fc878 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00007ffb083fc92e (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00007ffb0840290c (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00007ffb083fe628 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00007ffb083e63d8 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00007ffb083fe6e7 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00007ffb083fe783 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00007ffb083f9ad6 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00007ffb083faf92 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00007ffb083fd7b0 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00007ffb083d76f6 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffb08436525 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00007ffb083eda7c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffb08425f4c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00007ffb083ef0ed (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00007ffb0839cbc8 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00007ffb083e138f (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00007ffb083c1f58 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00007ffb083c1f6a (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00007ffb083c2414 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00007ffb08393208 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00007ffb083932fb (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00007ffb083932d4 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00007ffb08393286 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00007ffb083932ad (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00007ffb0839330c (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00007ffb083e2661 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00007ffb083e26e4 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00007ffb083dacdc (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00007ffb083dad36 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00007ffb083ed501 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00007ffb083eda5c (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00007ffb083d7642 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00007ffb083c28b0 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00007ffb084266d3 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00007ffb08426514 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00007ffb08426538 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.65
00007ffb084265a8 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.67
00007ffb084265d4 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.69
00007ffb084267cf (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00007ffb084267f3 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.134
00007ffb0842680c (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.140
00007ffb08426819 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00007ffb08426153 (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00007ffb084266af (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00007ffb083e3ad8 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
