00000001db862fe4 (__TEXT,__text) non-external _DiToMD5
00000001db8732d0 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00000001db873358 (__TEXT,__text) non-external __ZL16OSMappedFile_NewP11OSMetaClass
00000001db844fc8 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject
00000001db874b30 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject.cold.1
00000001db873a78 (__TEXT,__text) non-external __ZL16OSOrderedSet_NewP11OSMetaClass
00000001db844634 (__TEXT,__text) non-external __ZL16getCFEncodedDataP12parser_statePj
00000001db8647f8 (__TEXT,__text) non-external __ZL17IOCommandPool_NewP11OSMetaClass
00000001db86a25c (__TEXT,__text) non-external __ZL18IOReportLegend_NewP11OSMetaClass
00000001db84c62c (__TEXT,__text) non-external __ZL18OSObjectQueueIndexP8OSObjectPKc
00000001db843038 (__TEXT,__text) non-external __ZL18OSUnserializeerrorP12parser_statePKc
00000001db866480 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
00000001db86a18c (__TEXT,__text) non-external __ZL19IOStateReporter_NewP11OSMetaClass
00000001db851d1c (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
00000001db852668 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
00000001db876a64 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
00000001db876a90 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
00000001db8526c4 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
00000001db876abc (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
00000001db876ae8 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
00000001db876b14 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
00000001db876b40 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
00000001db873b00 (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
00000001e7d9cac8 (__DATA,__bss) non-external __ZL19OSUniqueStringsLock
00000001db85e748 (__TEXT,__text) non-external __ZL19channelListWithDataP6OSData
00000001e7d9cac0 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
00000001db8669d4 (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00000001db86a124 (__TEXT,__text) non-external __ZL20IOSimpleReporter_NewP11OSMetaClass
00000001db851dcc (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
00000001db851934 (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
00000001db847240 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
00000001db87558c (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
00000001db8755b8 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
00000001db854388 (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
00000001db848df0 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec
00000001db875cd0 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.1
00000001db875cfc (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.2
00000001db875d28 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.3
00000001db878a90 (__TEXT,__const) non-external __ZL21__CFPLDataDecodeTable
00000001db8693d4 (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
00000001db86a1f4 (__TEXT,__text) non-external __ZL23IOHistogramReporter_NewP11OSMetaClass
00000001db851f44 (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
00000001db852bdc (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry
00000001db876c74 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.1
00000001db876ca0 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.2
00000001e7d9cab0 (__DATA,__bss) non-external __ZL23gIOExecutableSDKVersion
00000001db867980 (__TEXT,__text) non-external __ZL24IOExtensiblePaniclog_NewP11OSMetaClass
00000001db87d8f8 (__TEXT,__const) non-external __ZL24OSClassDescription_OSSet
00000001db851198 (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
00000001db86ffc8 (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00000001db87cf20 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
00000001db851244 (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
00000001db855834 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
00000001db876e84 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
00000001db876eb0 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
00000001db876edc (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
00000001db873c58 (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
00000001db848d8c (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy
00000001db875ca4 (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy.cold.1
00000001db87c858 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
00000001db87dfb0 (__TEXT,__const) non-external __ZL27OSClassDescription_IOThread
00000001db87c700 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00000001db87cb08 (__TEXT,__const) non-external __ZL27OSClassDescription_OSBundle
00000001db87d328 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
00000001db87d4e8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
00000001db87da50 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
00000001db84373c (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
00000001db8642a4 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
00000001db8488fc (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
00000001db8793d0 (__TEXT,__const) non-external __ZL28OSClassDescription_IOCommand
00000001db87b650 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
00000001db87c9b0 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
00000001db851844 (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00000001db851474 (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
00000001db8768d8 (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_.cold.1
00000001db86544c (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
00000001db868810 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00000001db87aac0 (__TEXT,__const) non-external __ZL29OSClassDescription_IOReporter
00000001db8519dc (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
00000001db87a028 (__TEXT,__const) non-external __ZL30OSClassDescription_IOEventLink
00000001db87a8f0 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
00000001db87c528 (__TEXT,__const) non-external __ZL30OSClassDescription_IOWorkGroup
00000001db87cdb8 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
00000001db855548 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
00000001db876da8 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.1
00000001db876dd4 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.2
00000001db876e00 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.3
00000001db876e2c (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.4
00000001db850774 (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj
00000001db8766f4 (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj.cold.1
00000001db8495d8 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv
00000001db875dac (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv.cold.1
00000001db879788 (__TEXT,__const) non-external __ZL31OSClassDescription_IODMACommand
00000001db87bfd0 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserClient
00000001db87c338 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserServer
00000001db87cc60 (__TEXT,__const) non-external __ZL31OSClassDescription_OSCollection
00000001db87d078 (__TEXT,__const) non-external __ZL31OSClassDescription_OSDictionary
00000001db87d1d0 (__TEXT,__const) non-external __ZL31OSClassDescription_OSMappedFile
00000001db87d640 (__TEXT,__const) non-external __ZL31OSClassDescription_OSOrderedSet
00000001db851b40 (__TEXT,__text) non-external __ZL31OSCollectionEntryGetUInt64ValueP15OSSerialization17OSCollectionEntry
00000001db879530 (__TEXT,__const) non-external __ZL32OSClassDescription_IOCommandPool
00000001e7d9cab4 (__DATA,__bss) non-external __ZL32gIOTimerInterruptDispatchLeakFix
00000001db87b068 (__TEXT,__const) non-external __ZL33OSClassDescription_IOReportLegend
00000001db879c10 (__TEXT,__const) non-external __ZL34OSClassDescription_IODispatchQueue
00000001db87ad80 (__TEXT,__const) non-external __ZL34OSClassDescription_IOStateReporter
00000001db87d7a0 (__TEXT,__const) non-external __ZL34OSClassDescription_OSSerialization
00000001db879e30 (__TEXT,__const) non-external __ZL35OSClassDescription_IODispatchSource
00000001db87ac10 (__TEXT,__const) non-external __ZL35OSClassDescription_IOSimpleReporter
00000001db87a740 (__TEXT,__const) non-external __ZL37OSClassDescription_IOMemoryDescriptor
00000001db87aef0 (__TEXT,__const) non-external __ZL38OSClassDescription_IOHistogramReporter
00000001db86ed1c (__TEXT,__text) non-external __ZL39IOServiceNotificationDispatchSource_NewP11OSMetaClass
00000001db87a2c8 (__TEXT,__const) non-external __ZL39OSClassDescription_IOExtensiblePaniclog
00000001db8504d4 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj
00000001db876670 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.1
00000001db87669c (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.2
00000001db8766c8 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.3
00000001db87bd18 (__TEXT,__const) non-external __ZL40OSClassDescription_IOTimerDispatchSource
00000001db87dd18 (__TEXT,__const) non-external __ZL40OSClassDescription__IOBlockStorageDevice
00000001db871894 (__TEXT,__text) non-external __ZL42OSAction_IOUserClient_KernelCompletion_NewP11OSMetaClass
00000001db879278 (__TEXT,__const) non-external __ZL43OSClassDescription_IOBufferMemoryDescriptor
00000001db86f6c4 (__TEXT,__text) non-external __ZL44IOServiceStateNotificationDispatchSource_NewP11OSMetaClass
00000001db879a40 (__TEXT,__const) non-external __ZL44OSClassDescription_IODataQueueDispatchSource
00000001db87a518 (__TEXT,__const) non-external __ZL44OSClassDescription_IOInterruptDispatchSource
00000001db87864f (__TEXT,__const) non-external __ZL4yyr1
00000001db87862e (__TEXT,__const) non-external __ZL4yyr2
00000001db8745c0 (__TEXT,__text) non-external __ZL51OSAction__IOBlockStorageDevice_KernelCompletion_NewP11OSMetaClass
00000001db87b898 (__TEXT,__const) non-external __ZL54OSClassDescription_IOServiceNotificationDispatchSource
00000001db87c150 (__TEXT,__const) non-external __ZL57OSClassDescription_OSAction_IOUserClient_KernelCompletion
00000001db87bb00 (__TEXT,__const) non-external __ZL59OSClassDescription_IOServiceStateNotificationDispatchSource
00000001db87de58 (__TEXT,__const) non-external __ZL66OSClassDescription_OSAction__IOBlockStorageDevice_KernelCompletion
00000001db84f92c (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_
00000001db87653c (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.1
00000001db876568 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.2
00000001db84403c (__TEXT,__text) non-external __ZL6getTagP12parser_statePcPiPA32_cS4_
00000001db8783f8 (__TEXT,__const) non-external __ZL6yypact
00000001db87852c (__TEXT,__const) non-external __ZL7yycheck
00000001db878670 (__TEXT,__const) non-external __ZL7yypgoto
00000001db878599 (__TEXT,__const) non-external __ZL7yytable
00000001db862670 (__TEXT,__text) non-external __ZL8deepcopyP7OSArray
00000001db862bbc (__TEXT,__text) non-external __ZL8deepcopyP8OSObject
00000001db878606 (__TEXT,__const) non-external __ZL8yydefact
00000001db8464d0 (__TEXT,__text) non-external __ZL9DidActionP8OSAction
00000001db875090 (__TEXT,__text) non-external __ZL9DidActionP8OSAction.cold.1
00000001db873b68 (__TEXT,__text) non-external __ZL9OSSet_NewP11OSMetaClass
00000001db844b8c (__TEXT,__text) non-external __ZL9argnumcpyxPvj
00000001db878690 (__TEXT,__const) non-external __ZL9crc32_tab
00000001e7d9c6a0 (__DATA,__bss) non-external __ZL9gBootArgs
00000001db844834 (__TEXT,__text) non-external __ZL9getNumberP12parser_state
00000001db844950 (__TEXT,__text) non-external __ZL9getStringP12parser_statePi
00000001db87867f (__TEXT,__const) non-external __ZL9yydefgoto
00000001db85f0b0 (__TEXT,__text) external __ZN10IOReporter10addChannelEyPKc
00000001db85f358 (__TEXT,__text) external __ZN10IOReporter12createLegendEv
00000001db85ec90 (__TEXT,__text) external __ZN10IOReporter12updateReportEP19IOReportChannelListjRjRPhRm
00000001db85e838 (__TEXT,__text) external __ZN10IOReporter15configureReportEP19IOReportChannelListjRj
00000001db85e984 (__TEXT,__text) external __ZN10IOReporter16updateAllReportsEP12OSCollectionP6OSDatajPjyyP18IOMemoryDescriptor
00000001db85e5c4 (__TEXT,__text) external __ZN10IOReporter19configureAllReportsEP12OSCollectionP6OSDatajPj
00000001db85ef3c (__TEXT,__text) external __ZN10IOReporter4freeEv
00000001db84eaf8 (__TEXT,__text) external __ZN11IOEventLink10InvalidateEv
00000001db8674b0 (__TEXT,__text) external __ZN11IOEventLink11Create_CallEP8OSStringP12IOUserClientPPS_
00000001db84edf4 (__TEXT,__text) external __ZN11IOEventLink12DisassociateEv
00000001db8677a0 (__TEXT,__text) external __ZN11IOEventLink13Create_InvokeE5IORPCPFiP8OSStringP12IOUserClientPPS_E
00000001db84ebf0 (__TEXT,__text) external __ZN11IOEventLink13SignalAndWaitEPy
00000001db8676bc (__TEXT,__text) external __ZN11IOEventLink16InvalidateKernelEP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00000001db8675d4 (__TEXT,__text) external __ZN11IOEventLink16SetEventlinkPortEjPFiP15OSMetaClassBase5IORPCE
00000001db84ec54 (__TEXT,__text) external __ZN11IOEventLink18SignalAndWaitUntilEyyPy
00000001db84ea5c (__TEXT,__text) external __ZN11IOEventLink21SetEventlinkPort_ImplEj
00000001db8763b0 (__TEXT,__text) non-external __ZN11IOEventLink21SetEventlinkPort_ImplEj.cold.1
00000001db86789c (__TEXT,__text) external __ZN11IOEventLink23InvalidateKernel_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12IOUserClientE
00000001db8673c4 (__TEXT,__text) external __ZN11IOEventLink23SetEventlinkPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001db84ed3c (__TEXT,__text) external __ZN11IOEventLink4WaitEPy
00000001db84e97c (__TEXT,__text) external __ZN11IOEventLink4freeEv
00000001db84e914 (__TEXT,__text) external __ZN11IOEventLink4initEv
00000001db84eb78 (__TEXT,__text) external __ZN11IOEventLink6CancelEv
00000001db84e804 (__TEXT,__text) external __ZN11IOEventLink6CreateEP8OSStringP12IOUserClientPPS_
00000001db84ebac (__TEXT,__text) external __ZN11IOEventLink6SignalEv
00000001db84ee38 (__TEXT,__text) external __ZN11IOEventLink8ActivateEv
00000001db8672f0 (__TEXT,__text) external __ZN11IOEventLink8DispatchE5IORPC
00000001db84eda0 (__TEXT,__text) external __ZN11IOEventLink9AssociateEy
00000001db84ecc8 (__TEXT,__text) external __ZN11IOEventLink9WaitUntilEyyPy
00000001db867324 (__TEXT,__text) external __ZN11IOEventLink9_DispatchEPS_5IORPC
00000001db84bbc8 (__TEXT,__text) external __ZN11IOMemoryMap10GetAddressEv
00000001db869efc (__TEXT,__text) external __ZN11IOMemoryMap10_CopyStateEP24_IOMemoryMapPrivateStatePFiP15OSMetaClassBase5IORPCE
00000001db86a024 (__TEXT,__text) external __ZN11IOMemoryMap17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P24_IOMemoryMapPrivateStateE
00000001db84bc30 (__TEXT,__text) external __ZN11IOMemoryMap4freeEv
00000001db84bbe0 (__TEXT,__text) external __ZN11IOMemoryMap4initEv
00000001db8760c4 (__TEXT,__text) non-external __ZN11IOMemoryMap4initEv.cold.1
00000001db869dfc (__TEXT,__text) external __ZN11IOMemoryMap8DispatchE5IORPC
00000001db84bbd4 (__TEXT,__text) external __ZN11IOMemoryMap9GetLengthEv
00000001db84bc80 (__TEXT,__text) external __ZN11IOMemoryMap9GetOffsetEv
00000001db869e54 (__TEXT,__text) external __ZN11IOMemoryMap9_DispatchEPS_5IORPC
00000001db84e64c (__TEXT,__text) external __ZN11IOWorkGroup10InvalidateEv
00000001db8724bc (__TEXT,__text) external __ZN11IOWorkGroup11Create_CallEP8OSStringP12IOUserClientPPS_
00000001db84e768 (__TEXT,__text) external __ZN11IOWorkGroup12GetTokenSizeEv
00000001db8727ac (__TEXT,__text) external __ZN11IOWorkGroup13Create_InvokeE5IORPCPFiP8OSStringP12IOUserClientPPS_E
00000001db8726c8 (__TEXT,__text) external __ZN11IOWorkGroup16InvalidateKernelEP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00000001db8725e0 (__TEXT,__text) external __ZN11IOWorkGroup16SetWorkGroupPortEjPFiP15OSMetaClassBase5IORPCE
