00000001d6536248 (__DATA,__data) non-external _C
00000001d6536540 (__DATA,__data) non-external _sig_init_once
00000001d6538150 (__DATA,__bss) non-external _sig_key
0000000180255560 (__TEXT,__text) non-external _sig_keycreate
00000001d6538148 (__DATA,__bss) non-external _sig_keycreated
0000000180210b8c (__TEXT,__text) external _sigaction
000000018022793c (__TEXT,__text) external _sigaddset
0000000180223d5c (__TEXT,__text) external _sigaltstack
0000000180223e54 (__TEXT,__text) external _sigblock
0000000180227998 (__TEXT,__text) external _sigdelset
0000000180227920 (__TEXT,__text) external _sigemptyset
000000018022792c (__TEXT,__text) external _sigfillset
000000018021aa04 (__TEXT,__text) external _sighold
0000000180223f28 (__TEXT,__text) external _sigignore
00000001802404f4 (__TEXT,__text) external _siginterrupt
00000001802279f4 (__TEXT,__text) external _sigismember
0000000180210b08 (__TEXT,__text) external _signal
0000000180210b10 (__TEXT,__text) non-external _signal__
00000001d6537c30 (__DATA,__bss) non-external _signo
0000000180264340 (__TEXT,__text) external _sigpause
0000000180223e94 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
000000018021aa5c (__TEXT,__text) external _sigrelse
000000018021a904 (__TEXT,__text) external _sigset
0000000180223e14 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
0000000180223da8 (__TEXT,__text) external _sigvec
0000000180223db0 (__TEXT,__text) non-external _sigvec__
0000000180227094 (__TEXT,__text) non-external _skip
00000001d6536624 (__DATA,__data) external _skip
0000000180240600 (__TEXT,__text) external _sl_add
0000000180240704 (__TEXT,__text) external _sl_find
0000000180240678 (__TEXT,__text) external _sl_free
00000001802405ac (__TEXT,__text) external _sl_init
0000000180265bbc (__TEXT,__text) non-external _sl_init.cold.1
0000000180265bd8 (__TEXT,__text) non-external _sl_init.cold.2
00000001d6537c10 (__DATA,__bss) non-external _slash
0000000180205b44 (__TEXT,__text) external _sleep
00000001802178ec (__TEXT,__text) external _sleep$NOCANCEL
00000001d65374d0 (__DATA,__bss) non-external _slot
00000001801f98fc (__TEXT,__text) external _snprintf
00000001801f98a8 (__TEXT,__text) external _snprintf_l
0000000180241a7c (__TEXT,__text) external _snvis
0000000180248d5c (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
00000001801ffa68 (__TEXT,__text) external _sprintf
0000000180210580 (__TEXT,__text) external _sprintf_l
000000018022f7d8 (__TEXT,__text) non-external (was a private external) _sputrune
00000001d6537b98 (__DATA,__bss) non-external _sputrune.warn_depreciated
000000018025963c (__TEXT,__text) external _sradixsort
0000000180217fac (__TEXT,__text) external _srand
000000018021883c (__TEXT,__text) external _srand48
0000000180259bfc (__TEXT,__text) external _sranddev
00000001801fbde4 (__TEXT,__text) external _srandom
0000000180215610 (__TEXT,__text) external _srandomdev
00000001801fd6b4 (__TEXT,__text) external _sscanf
00000001801f7440 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
000000018022d56c (__TEXT,__text) external _stat_with_subsystem
00000001d6536588 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
000000018021a278 (__TEXT,__text) external _statvfs
0000000180205bd4 (__TEXT,__text) non-external _statx1
000000018022ee44 (__TEXT,__text) external _statx_np
0000000180205de0 (__TEXT,__text) non-external _statx_syscall
00000001801fb12c (__TEXT,__text) external _stpcpy
00000001801fa02c (__TEXT,__text) external _stpncpy
00000001801f4458 (__TEXT,__text) external _strcasecmp
00000001801f447c (__TEXT,__text) external _strcasecmp_l
00000001801fad14 (__TEXT,__text) external _strcasestr
00000001801fad38 (__TEXT,__text) external _strcasestr_l
00000001801f5eb4 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
0000000180219830 (__TEXT,__text) external _strcoll
0000000180219854 (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
00000001801ff498 (__TEXT,__text) external _strcspn
00000001801ee01c (__TEXT,__text) external _strdup
0000000180241c3c (__TEXT,__text) external _strenvisx
00000001801ff66c (__TEXT,__text) external _strerror
0000000180202660 (__TEXT,__text) external _strerror_r
0000000180260c14 (__TEXT,__text) external _strfmon
0000000180261994 (__TEXT,__text) external _strfmon_l
0000000180218eec (__TEXT,__text) external _strftime
000000018020f42c (__TEXT,__text) external _strftime_l
00000001d6537558 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180255160 (__TEXT,__text) external _strmode
00000001801ff894 (__TEXT,__text) external _strncasecmp
00000001801f3000 (__TEXT,__text) external _strncasecmp_l
0000000180203c5c (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
00000001801fa93c (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
00000001801ee070 (__TEXT,__text) external _strnstr
0000000180241960 (__TEXT,__text) external _strnunvis
00000001802417dc (__TEXT,__text) external _strnunvisx
0000000180265c4c (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180265c78 (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180265ca4 (__TEXT,__text) non-external _strnunvisx.cold.3
0000000180213638 (__TEXT,__text) external _strnvis
0000000180241c08 (__TEXT,__text) external _strnvisx
000000018021cd64 (__TEXT,__text) external _strpbrk
0000000180254fbc (__TEXT,__text) external _strptime
0000000180215c00 (__TEXT,__text) external _strptime_l
00000001801ee10c (__TEXT,__text) external _strrchr
0000000180241b5c (__TEXT,__text) external _strsenvisx
00000001801ff788 (__TEXT,__text) external _strsep
0000000180255498 (__TEXT,__text) external _strsignal
0000000180255324 (__TEXT,__text) external _strsignal_r
0000000180241aec (__TEXT,__text) external _strsnvis
0000000180241b30 (__TEXT,__text) external _strsnvisx
00000001801ff56c (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180241ad8 (__TEXT,__text) external _strsvis
0000000180241b14 (__TEXT,__text) external _strsvisx
0000000180214a3c (__TEXT,__text) external _strtod
00000001801f312c (__TEXT,__text) external _strtod_l
0000000180268568 (__TEXT,__const) non-external _strtod_l.fpi
000000018026857c (__TEXT,__const) non-external _strtod_l.fpinan
0000000180203004 (__TEXT,__text) external _strtof
0000000180200550 (__TEXT,__text) external _strtof_l
000000018026861c (__TEXT,__const) non-external _strtof_l.fpi0
0000000180227ae4 (__TEXT,__text) external _strtofflags
000000018025ae3c (__TEXT,__text) external _strtoimax
00000001801f8d00 (__TEXT,__text) external _strtoimax_l
000000018021e6f0 (__TEXT,__text) external _strtok
00000001d6538158 (__DATA,__bss) non-external _strtok.last
00000001802052ac (__TEXT,__text) external _strtok_r
00000001801f6f18 (__TEXT,__text) external _strtol
00000001801f2a18 (__TEXT,__text) external _strtol_l
0000000180220aec (__TEXT,__text) external _strtold
0000000180222bf8 (__TEXT,__text) external _strtold_l
00000001801edd6c (__TEXT,__text) external _strtoll
00000001801edd90 (__TEXT,__text) external _strtoll_l
000000018024abf0 (__TEXT,__text) external _strtonum
000000018025ae60 (__TEXT,__text) external _strtoq
000000018025ae84 (__TEXT,__text) external _strtoq_l
00000001801fa648 (__TEXT,__text) external _strtoul
00000001801fa66c (__TEXT,__text) external _strtoul_l
000000018020efb8 (__TEXT,__text) external _strtoull
000000018020efdc (__TEXT,__text) external _strtoull_l
0000000180222d64 (__TEXT,__text) external _strtoumax
00000001801fd704 (__TEXT,__text) external _strtoumax_l
0000000180210ad8 (__TEXT,__text) external _strtouq
000000018025ae88 (__TEXT,__text) external _strtouq_l
0000000180241950 (__TEXT,__text) external _strunvis
0000000180241940 (__TEXT,__text) external _strunvisx
00000001802214ac (__TEXT,__text) external _strvis
0000000180241be8 (__TEXT,__text) external _strvisx
0000000180255864 (__TEXT,__text) external _strxfrm
00000001802555a0 (__TEXT,__text) external _strxfrm_l
00000001d6538268 (__DATA,__common) external _suboptarg
00000001d6537ae0 (__DATA,__bss) non-external _subsystem_root_path
0000000180241a24 (__TEXT,__text) external _svis
0000000180255888 (__TEXT,__text) external _swab
000000018024dfec (__TEXT,__text) external _swprintf
000000018024e03c (__TEXT,__text) external _swprintf_l
000000018024e068 (__TEXT,__text) external _swscanf
000000018024e0b8 (__TEXT,__text) external _swscanf_l
000000018022dc2c (__TEXT,__text) external _sxprintf
000000018022e394 (__TEXT,__text) external _sxprintf_exec
000000018022fafc (__TEXT,__text) external _sync_volume_np
0000000180268fc9 (__TEXT,__const) non-external _syntax_error_str
00000001d19bdbd0 (__DATA_CONST,__const) external _sys_errlist
0000000180268008 (__TEXT,__const) external _sys_nerr
00000001d19be560 (__DATA_CONST,__const) external _sys_siglist
00000001d19be460 (__DATA_CONST,__const) external _sys_signame
00000001801f91d4 (__TEXT,__text) external _sysconf
00000001801f20e0 (__TEXT,__text) external _sysctl
00000001801f22dc (__TEXT,__text) external _sysctlbyname
00000001802205b8 (__TEXT,__text) external _sysctlnametomib
                 (undefined) external _syslog$DARWIN_EXTSN (from libsystem_asl)
0000000180264464 (__TEXT,__text) external _system
000000018025ae8c (__TEXT,__text) external _system$NOCANCEL
                 (undefined) external _task_set_special_port (from libsystem_kernel)
0000000180264424 (__TEXT,__text) external _tcdrain
0000000180240d90 (__TEXT,__text) external _tcdrain$NOCANCEL
0000000180240e30 (__TEXT,__text) external _tcflow
0000000180240dbc (__TEXT,__text) external _tcflush
0000000180214574 (__TEXT,__text) external _tcgetattr
00000001802135d8 (__TEXT,__text) external _tcgetpgrp
000000018022ec3c (__TEXT,__text) external _tcgetsid
0000000180240d08 (__TEXT,__text) external _tcsendbreak
0000000180220edc (__TEXT,__text) external _tcsetattr
0000000180220e84 (__TEXT,__text) external _tcsetpgrp
00000001802213b4 (__TEXT,__text) external _tdelete
0000000180240acc (__TEXT,__text) external _telldir
000000018024e0e4 (__TEXT,__text) external _tempnam
00000001d65374c8 (__DATA,__bss) non-external _tf
00000001802210c0 (__TEXT,__text) external _tfind
0000000180227e30 (__TEXT,__text) external _thread_stack_async_pcs
00000001801fb828 (__TEXT,__text) external _thread_stack_pcs
00000001d6536230 (__DATA,__data) non-external _threadsafe
00000001801f9c0c (__TEXT,__text) external _time
0000000180206420 (__TEXT,__text) non-external _time2
0000000180254cac (__TEXT,__text) external _time2posix
00000001802064b0 (__TEXT,__text) non-external _time2sub
00000001802178c8 (__TEXT,__text) external _timegm
0000000180254c78 (__TEXT,__text) external _timelocal
0000000180254c88 (__TEXT,__text) external _timeoff
0000000180240ee0 (__TEXT,__text) external _times
000000018025b7f8 (__TEXT,__text) external _timespec_get
00000001801f6a80 (__TEXT,__text) non-external _timesub
00000001d9289770 (__DATA_DIRTY,__common) external _timezone
000000018020f25c (__TEXT,__text) external _timingsafe_bcmp
0000000180268590 (__TEXT,__const) non-external _tinytens
00000001d65380e8 (__DATA,__bss) non-external _tm
000000018024e2a8 (__TEXT,__text) external _tmpfile
000000018024e3f4 (__TEXT,__text) external _tmpnam
00000001d6537f78 (__DATA,__bss) non-external _tmpnam.tmpcount
00000001d6537f80 (__DATA,__bss) non-external _tmpnam_buf
000000018024e4a8 (__TEXT,__text) non-external _tmpnam_buf_allocate
00000001d6536508 (__DATA,__data) non-external _tmpnam_buf_control
0000000180268048 (__TEXT,__const) non-external _tmundef
0000000180229bfc (__TEXT,__text) external _toascii
000000018021cdec (__TEXT,__text) external _tolower
000000018022a7d0 (__TEXT,__text) external _tolower_l
00000001d6537be8 (__DATA,__bss) non-external _toprec
00000001d6537bf0 (__DATA,__bss) non-external _topreclen
0000000180229c04 (__TEXT,__text) external _toupper
000000018022a7f0 (__TEXT,__text) external _toupper_l
000000018024703c (__TEXT,__text) external _towctrans
0000000180246f58 (__TEXT,__text) external _towctrans_l
000000018022acd8 (__TEXT,__text) external _towlower
000000018022b2e8 (__TEXT,__text) external _towlower_l
000000018022ad14 (__TEXT,__text) external _towupper
000000018022b308 (__TEXT,__text) external _towupper_l
00000001801f6228 (__TEXT,__text) non-external _transtime
000000018020bcd8 (__TEXT,__text) non-external _tre_add_tag_left
0000000180262100 (__TEXT,__text) non-external _tre_add_tag_right
000000018020a3bc (__TEXT,__text) non-external _tre_add_tags
000000018020a370 (__TEXT,__text) external _tre_ast_new_catenation
000000018020a11c (__TEXT,__text) external _tre_ast_new_iter
0000000180209ee0 (__TEXT,__text) external _tre_ast_new_literal
0000000180209f2c (__TEXT,__text) external _tre_ast_new_node
000000018020a0d0 (__TEXT,__text) external _tre_ast_new_union
000000018020c344 (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180206dbc (__TEXT,__text) external _tre_compile
0000000180223760 (__TEXT,__text) non-external _tre_copy_ast
00000001802105ac (__TEXT,__text) external _tre_fill_pmatch
0000000180210774 (__TEXT,__text) external _tre_free
00000001d19bf2a0 (__DATA_CONST,__const) non-external _tre_macros
000000018020c43c (__TEXT,__text) non-external _tre_make_trans
000000018020c858 (__TEXT,__text) non-external _tre_match
000000018020bd9c (__TEXT,__text) non-external _tre_match_empty
0000000180209fb4 (__TEXT,__text) external _tre_mem_alloc_impl
000000018020c764 (__TEXT,__text) external _tre_mem_destroy
00000001802080d8 (__TEXT,__text) external _tre_mem_new_impl
000000018020bb38 (__TEXT,__text) non-external _tre_merge_branches
000000018020a2c0 (__TEXT,__text) non-external _tre_new_item
00000001802080fc (__TEXT,__text) external _tre_parse
0000000180223554 (__TEXT,__text) non-external _tre_parse_bound
00000001802211ec (__TEXT,__text) non-external _tre_reset_last_matched_branches
00000001802642a0 (__TEXT,__text) non-external _tre_search_cnames
000000018020bfa4 (__TEXT,__text) non-external _tre_set_union
000000018020c7c4 (__TEXT,__text) external _tre_stack_destroy
000000018020806c (__TEXT,__text) external _tre_stack_new
0000000180209ddc (__TEXT,__text) external _tre_stack_num_objects
0000000180209ec4 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
000000018020a358 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180209dec (__TEXT,__text) non-external _tre_stack_push
0000000180209de4 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
000000018020a0cc (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
00000001802621e4 (__TEXT,__text) external _tre_tnfa_run_backtrack
000000018020ca10 (__TEXT,__text) external _tre_tnfa_run_parallel
000000018025b108 (__TEXT,__text) non-external _trecurse
0000000180221148 (__TEXT,__text) external _tsearch
000000018021cb74 (__TEXT,__text) external _ttyname
00000001d6537cc0 (__DATA,__bss) non-external _ttyname_init
00000001d6537cc8 (__DATA,__bss) non-external _ttyname_key
00000001d6536318 (__DATA,__data) non-external _ttyname_lock
000000018021cc90 (__TEXT,__text) external _ttyname_r
0000000180241028 (__TEXT,__text) external _ttyslot
000000018025b0f4 (__TEXT,__text) external _twalk
00000001801f5f08 (__TEXT,__text) non-external _typesequiv
00000001801f4d90 (__TEXT,__text) non-external _tzload
00000001d9287dc8 (__DATA_DIRTY,__data) external _tzname
00000001801f5790 (__TEXT,__text) non-external _tzparse
00000001801f98f4 (__TEXT,__text) external _tzset
0000000180254c64 (__TEXT,__text) external _tzsetwall
00000001801f4b68 (__TEXT,__text) non-external _tzsetwall_basic
0000000180241030 (__TEXT,__text) external _ualarm
00000001d65364d0 (__DATA,__data) non-external _uglue
00000001802410bc (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
000000018022ef70 (__TEXT,__text) external _umaskx_np
0000000180202e70 (__TEXT,__text) external _uname
0000000180268fd6 (__TEXT,__const) non-external _unbound_variable_str
0000000180214aac (__TEXT,__text) external _ungetc
000000018024e570 (__TEXT,__text) external _ungetwc
000000018024e5f4 (__TEXT,__text) external _ungetwc_l
00000001d65381f0 (__DATA,__bss) non-external _union_arg_queue
00000001d6537479 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
0000000180213454 (__TEXT,__text) external _unlockpt
00000001801f2348 (__TEXT,__text) external _unsetenv
0000000180241154 (__TEXT,__text) external _unvis
0000000180265bf4 (__TEXT,__text) non-external _unvis.cold.1
0000000180265c20 (__TEXT,__text) non-external _unvis.cold.2
0000000180202c98 (__TEXT,__text) external _uselocale
00000001801fae9c (__TEXT,__text) external _usleep
0000000180241968 (__TEXT,__text) external _usleep$NOCANCEL
00000001d9288d10 (__DATA_DIRTY,__bss) non-external _usual
00000001d9287f40 (__DATA_DIRTY,__bss) non-external _usual_extra
00000001802419b8 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
00000001d19be178 (__DATA_CONST,__const) non-external _utmpx_types
0000000180260b14 (__TEXT,__text) external _utmpxname
00000001801f4628 (__TEXT,__text) external _uuid_clear
00000001801f994c (__TEXT,__text) external _uuid_compare
00000001801f2020 (__TEXT,__text) external _uuid_copy
00000001801ff828 (__TEXT,__text) external _uuid_generate
00000001801fbd44 (__TEXT,__text) external _uuid_generate_random
000000018022e8f8 (__TEXT,__text) external _uuid_generate_time
00000001d6537b38 (__DATA,__bss) non-external _uuid_generate_time.has_init
00000001d6537b30 (__DATA,__bss) non-external _uuid_generate_time.node_id
00000001801ff6f8 (__TEXT,__text) external _uuid_is_null
00000001801fa8ec (__TEXT,__text) external _uuid_pack
00000001801fa4ec (__TEXT,__text) external _uuid_parse
00000001801f9a1c (__TEXT,__text) external _uuid_unpack
00000001801ff720 (__TEXT,__text) external _uuid_unparse
0000000180217fbc (__TEXT,__text) external _uuid_unparse_lower
00000001801f9c70 (__TEXT,__text) external _uuid_unparse_upper
00000001d19be410 (__DATA_CONST,__const) non-external _validlist
00000001801ee134 (__TEXT,__text) external _vasprintf
00000001801fae80 (__TEXT,__text) external _vasprintf_l
000000018021eab8 (__TEXT,__text) external _vasxprintf
000000018022e420 (__TEXT,__text) external _vasxprintf_exec
000000018021d1dc (__TEXT,__text) external _vdprintf
000000018021d1c0 (__TEXT,__text) external _vdprintf_l
000000018022dcbc (__TEXT,__text) external _vdxprintf
000000018022e43c (__TEXT,__text) external _vdxprintf_exec
0000000180265874 (__TEXT,__text) external _verr
0000000180265788 (__TEXT,__text) external _verrc
00000001802658ec (__TEXT,__text) external _verrx
000000018022ecfc (__TEXT,__text) external _vfork
0000000180221a6c (__TEXT,__text) external _vfprintf
00000001801ff194 (__TEXT,__text) external _vfprintf_l
000000018024ecec (__TEXT,__text) external _vfscanf
000000018024efec (__TEXT,__text) external _vfscanf_l
0000000180251b9c (__TEXT,__text) external _vfwprintf
000000018024f09c (__TEXT,__text) external _vfwprintf_l
00000001802523a4 (__TEXT,__text) external _vfwscanf
0000000180253fac (__TEXT,__text) external _vfwscanf_l
000000018022dcd4 (__TEXT,__text) external _vfxprintf
000000018022e458 (__TEXT,__text) external _vfxprintf_exec
00000001802214c4 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
000000018021cfdc (__TEXT,__text) external _vprintf
000000018025404c (__TEXT,__text) external _vprintf_l
0000000180254068 (__TEXT,__text) external _vscanf
00000001802540e4 (__TEXT,__text) external _vscanf_l
00000001801f18a8 (__TEXT,__text) external _vsnprintf
00000001801f98d4 (__TEXT,__text) external _vsnprintf_l
00000001801f9adc (__TEXT,__text) external _vsprintf
00000001801f9b08 (__TEXT,__text) external _vsprintf_l
000000018025416c (__TEXT,__text) external _vsscanf
00000001801f746c (__TEXT,__text) external _vsscanf_l
0000000180254390 (__TEXT,__text) external _vswprintf
0000000180254198 (__TEXT,__text) external _vswprintf_l
0000000180254594 (__TEXT,__text) external _vswscanf
00000001802543bc (__TEXT,__text) external _vswscanf_l
000000018022dcec (__TEXT,__text) external _vsxprintf
000000018022e474 (__TEXT,__text) external _vsxprintf_exec
0000000180265a8c (__TEXT,__text) external _vwarn
00000001802659e0 (__TEXT,__text) external _vwarnc
0000000180265b28 (__TEXT,__text) external _vwarnx
00000001802545c0 (__TEXT,__text) external _vwprintf
00000001802545f8 (__TEXT,__text) external _vwprintf_l
0000000180254614 (__TEXT,__text) external _vwscanf
000000018025464c (__TEXT,__text) external _vwscanf_l
000000018022dd10 (__TEXT,__text) external _vxprintf
000000018022e498 (__TEXT,__text) external _vxprintf_exec
000000018021bea8 (__TEXT,__text) external _wait
0000000180241f94 (__TEXT,__text) external _wait$NOCANCEL
0000000180241fa8 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
0000000180218784 (__TEXT,__text) external _waitpid
0000000180241fbc (__TEXT,__text) external _waitpid$NOCANCEL
00000001802659a4 (__TEXT,__text) external _warn
0000000180265ad0 (__TEXT,__text) external _warnc
0000000180265afc (__TEXT,__text) external _warnx
00000001802558fc (__TEXT,__text) external _wcpcpy
000000018025591c (__TEXT,__text) external _wcpncpy
00000001802450c4 (__TEXT,__text) external _wcrtomb
0000000180217e60 (__TEXT,__text) external _wcrtomb_l
0000000180255a34 (__TEXT,__text) external _wcscasecmp
000000018025598c (__TEXT,__text) external _wcscasecmp_l
0000000180255a58 (__TEXT,__text) external _wcscat
00000001802143f0 (__TEXT,__text) external _wcschr
0000000180255a7c (__TEXT,__text) external _wcscmp
0000000180256048 (__TEXT,__text) external _wcscoll
0000000180255aa4 (__TEXT,__text) external _wcscoll_l
000000018025606c (__TEXT,__text) external _wcscpy
0000000180256afc (__TEXT,__text) external _wcscspn
0000000180256b40 (__TEXT,__text) external _wcsdup
0000000180245318 (__TEXT,__text) external _wcsftime
0000000180245120 (__TEXT,__text) external _wcsftime_l
0000000180256b98 (__TEXT,__text) external _wcslcat
0000000180256c40 (__TEXT,__text) external _wcslcpy
0000000180213f7c (__TEXT,__text) external _wcslen
0000000180256d60 (__TEXT,__text) external _wcsncasecmp
0000000180256ca0 (__TEXT,__text) external _wcsncasecmp_l
0000000180256d84 (__TEXT,__text) external _wcsncat
0000000180256dd4 (__TEXT,__text) external _wcsncmp
0000000180256e04 (__TEXT,__text) external _wcsncpy
0000000180256e6c (__TEXT,__text) external _wcsnlen
0000000180245378 (__TEXT,__text) external _wcsnrtombs
000000018024533c (__TEXT,__text) external _wcsnrtombs_l
0000000180256e9c (__TEXT,__text) external _wcspbrk
0000000180256ed4 (__TEXT,__text) external _wcsrchr
0000000180245618 (__TEXT,__text) external _wcsrtombs
00000001802455cc (__TEXT,__text) external _wcsrtombs_l
0000000180256ef8 (__TEXT,__text) external _wcsspn
00000001802572c8 (__TEXT,__text) external _wcsstr
000000018024592c (__TEXT,__text) external _wcstod
00000001802456e4 (__TEXT,__text) external _wcstod_l
0000000180245b98 (__TEXT,__text) external _wcstof
0000000180245950 (__TEXT,__text) external _wcstof_l
0000000180245e28 (__TEXT,__text) external _wcstoimax
0000000180245bbc (__TEXT,__text) external _wcstoimax_l
000000018025734c (__TEXT,__text) external _wcstok
00000001802460b8 (__TEXT,__text) external _wcstol
0000000180245e4c (__TEXT,__text) external _wcstol_l
0000000180246324 (__TEXT,__text) external _wcstold
00000001802460dc (__TEXT,__text) external _wcstold_l
00000001802465b4 (__TEXT,__text) external _wcstoll
0000000180246348 (__TEXT,__text) external _wcstoll_l
000000018024667c (__TEXT,__text) external _wcstombs
00000001802465d8 (__TEXT,__text) external _wcstombs_l
00000001802469a4 (__TEXT,__text) external _wcstoul
000000018024673c (__TEXT,__text) external _wcstoul_l
0000000180246c30 (__TEXT,__text) external _wcstoull
00000001802469c8 (__TEXT,__text) external _wcstoull_l
0000000180246ebc (__TEXT,__text) external _wcstoumax
0000000180246c54 (__TEXT,__text) external _wcstoumax_l
000000018025745c (__TEXT,__text) external _wcswidth
00000001802573d0 (__TEXT,__text) external _wcswidth_l
000000018025764c (__TEXT,__text) external _wcsxfrm
0000000180257480 (__TEXT,__text) external _wcsxfrm_l
0000000180223398 (__TEXT,__text) external _wctob
00000001802233bc (__TEXT,__text) external _wctob_l
0000000180214410 (__TEXT,__text) external _wctomb
0000000180246ee0 (__TEXT,__text) external _wctomb_l
0000000180247060 (__TEXT,__text) external _wctrans
0000000180247134 (__TEXT,__text) external _wctrans_l
0000000180247204 (__TEXT,__text) external _wctype
0000000180247138 (__TEXT,__text) external _wctype_l
00000001d19be778 (__DATA_CONST,__const) non-external _wctype_l.props
0000000180247228 (__TEXT,__text) external _wcwidth
00000001802472c4 (__TEXT,__text) external _wcwidth_l
0000000180256a80 (__TEXT,__text) non-external _we_read_fully
0000000180268ec0 (__TEXT,__const) non-external _wildabbr
0000000180257670 (__TEXT,__text) external _wmemchr
0000000180257694 (__TEXT,__text) external _wmemcmp
00000001802576cc (__TEXT,__text) external _wmemcpy
00000001802576d4 (__TEXT,__text) external _wmemmove
00000001802576dc (__TEXT,__text) external _wmemset
0000000180254bc8 (__TEXT,__text) non-external _wmemstream_close
0000000180254b10 (__TEXT,__text) non-external _wmemstream_seek
00000001802660d8 (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180266104 (__TEXT,__text) non-external _wmemstream_seek.cold.2
00000001802548d4 (__TEXT,__text) non-external _wmemstream_update
00000001802660ac (__TEXT,__text) non-external _wmemstream_update.cold.1
000000018025490c (__TEXT,__text) non-external _wmemstream_write
0000000180256084 (__TEXT,__text) external _wordexp
0000000180256a38 (__TEXT,__text) external _wordfree
0000000180254668 (__TEXT,__text) external _wprintf
00000001802546c4 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180254704 (__TEXT,__text) external _wscanf
0000000180254760 (__TEXT,__text) external _wscanf_l
00000001d6537ab8 (__DATA,__bss) non-external _wtmp_asl.0
00000001d6537ac0 (__DATA,__bss) non-external _wtmp_asl.1
00000001d6537ac8 (__DATA,__bss) non-external _wtmp_asl.2
00000001d6537ad0 (__DATA,__bss) non-external _wtmp_asl.5
00000001d6537ad8 (__DATA,__bss) non-external _wtmp_asl.6
00000001d6536240 (__DATA,__data) non-external _wtmp_file.0
00000001d6537a80 (__DATA,__bss) non-external _wtmp_file.1
00000001d6537a88 (__DATA,__bss) non-external _wtmp_file.2
00000001d6537a90 (__DATA,__bss) non-external _wtmp_file.3
00000001d6537a98 (__DATA,__bss) non-external _wtmp_file.4
00000001d6537aa0 (__DATA,__bss) non-external _wtmp_file.5
00000001d6537aa8 (__DATA,__bss) non-external _wtmp_file.6
00000001d6537ab0 (__DATA,__bss) non-external _wtmp_file.7
00000001d6537a78 (__DATA,__bss) non-external _wtmp_func.0
00000001d92a1478 (__AUTH,__data) non-external _wtmp_func.1
00000001d92a1480 (__AUTH,__data) non-external _wtmp_func.2
00000001d92a1488 (__AUTH,__data) non-external _wtmp_func.3
0000000180228890 (__TEXT,__text) external _wtmpxname
000000018022dc74 (__TEXT,__text) external _xprintf
000000018021f1d8 (__TEXT,__text) non-external (was a private external) _xprintf_calloc
00000001d6537b20 (__DATA,__bss) non-external _xprintf_domain_default
000000018022e3dc (__TEXT,__text) external _xprintf_exec
000000018021e984 (__TEXT,__text) non-external (was a private external) _xprintf_malloc
0000000180268ee4 (__TEXT,__const) non-external _year_lengths
00000001d65374e0 (__DATA,__bss) non-external _zapchar
0000000180268d27 (__TEXT,__const) non-external _zeroes
0000000180268e18 (__TEXT,__const) non-external _zeroes
00000001d653667c (__DATA,__data) non-external _zeroes
