00007ff9012f8fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff90134b040 (__TEXT,__const) non-external _c_1em100
00007ff90134aeb0 (__TEXT,__const) non-external _c_1em2000
00007ff90134ad70 (__TEXT,__const) non-external _c_1em40
00007ff90134add0 (__TEXT,__const) non-external _c_1em40.1128
00007ff90134ae20 (__TEXT,__const) non-external _c_1em40.1137
00007ff90134ae50 (__TEXT,__const) non-external _c_1em40.1156
00007ff90134aec0 (__TEXT,__const) non-external _c_1em40.1166
00007ff90134d910 (__TEXT,__const) non-external _c_1em40.1226
00007ff901399670 (__TEXT,__const) non-external _c_1em40.1247
00007ff90134aee0 (__TEXT,__const) non-external _c_2_ov_sqrt_pi
00007ff90134b0d0 (__TEXT,__const) non-external _c_4464
00007ff90134b090 (__TEXT,__const) non-external _c_4464_ln_10
00007ff90134ae70 (__TEXT,__const) non-external _c_64
00007ff90134d930 (__TEXT,__const) non-external _c_64.1228
00007ff90134ad80 (__TEXT,__const) non-external _c_7_10ths
00007ff90134ade0 (__TEXT,__const) non-external _c_7_10ths.1129
00007ff90134ae30 (__TEXT,__const) non-external _c_half
00007ff90134aea0 (__TEXT,__const) non-external _c_half.1159
00007ff90134b020 (__TEXT,__const) non-external _c_half.1182
00007ff90134b0b0 (__TEXT,__const) non-external _c_half.1188
00007ff90134b0f0 (__TEXT,__const) non-external _c_half.1192
00007ff90134d970 (__TEXT,__const) non-external _c_half.1231
00007ff90134b0c0 (__TEXT,__const) non-external _c_inv_log10
00007ff90134adc0 (__TEXT,__const) non-external _c_log10
00007ff90134ae10 (__TEXT,__const) non-external _c_log10.1134
00007ff90134b080 (__TEXT,__const) non-external _c_log_pi
00007ff90134b000 (__TEXT,__const) non-external _c_m1e34
00007ff90134d960 (__TEXT,__const) non-external _c_minus_half
00007ff90134b060 (__TEXT,__const) non-external _c_minus_one
00007ff90134aff0 (__TEXT,__const) non-external _c_neg_11000
00007ff901399660 (__TEXT,__const) non-external _c_neg_one
00007ff90134ad90 (__TEXT,__const) non-external _c_one
00007ff90134adf0 (__TEXT,__const) non-external _c_one.1130
00007ff90134ae60 (__TEXT,__const) non-external _c_one.1157
00007ff90134af00 (__TEXT,__const) non-external _c_one.1167
00007ff90134b050 (__TEXT,__const) non-external _c_one.1183
00007ff90134b0a0 (__TEXT,__const) non-external _c_one.1187
00007ff90134b0e0 (__TEXT,__const) non-external _c_one.1191
00007ff90134d920 (__TEXT,__const) non-external _c_one.1227
00007ff90134adb0 (__TEXT,__const) non-external _c_pi
00007ff90134b070 (__TEXT,__const) non-external _c_pi.1184
00007ff90134ae40 (__TEXT,__const) non-external _c_pi_ov_2
00007ff90134d900 (__TEXT,__const) non-external _c_pi_ov_2.1223
00007ff901399650 (__TEXT,__const) non-external _c_pi_ov_2.1244
00007ff90134ada0 (__TEXT,__const) non-external _c_zero
00007ff90134ae00 (__TEXT,__const) non-external _c_zero.1131
00007ff90134ae80 (__TEXT,__const) non-external _c_zero.1158
00007ff90134d940 (__TEXT,__const) non-external _c_zero.1229
00007ff901314f17 (__TEXT,__text) non-external _calc_parser_read_buffer
00007ff9013180a5 (__TEXT,__text) non-external _calc_yy_create_buffer
00007ff901318203 (__TEXT,__text) non-external _calc_yy_init_buffer
00007ff9013182d4 (__TEXT,__text) non-external _calc_yy_scan_bytes
00007ff901318024 (__TEXT,__text) non-external _calc_yyensure_buffer_stack
00007ff942168ea8 (__DATA,__bss) non-external _calc_yyin
00007ff942168618 (__DATA,__data) non-external _calc_yyleng
00007ff942168770 (__DATA,__data) non-external _calc_yylineno
00007ff9421685b0 (__DATA,__data) non-external _calc_yyout
00007ff942168628 (__DATA,__data) non-external _calc_yytext
00007ff942168cc8 (__DATA,__bss) non-external _calculateRequestLock
00007ff942168ce8 (__DATA,__bss) non-external _calculateRequestUpdating
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cbrt (from libSystem)
                 (undefined) external _clearerr (from libSystem)
00007ff942168dd8 (__DATA,__bss) non-external _closeParenthesesSet
00007ff901347910 (__TEXT,__const) non-external _cmpTable
00007ff9013446c0 (__TEXT,__const) non-external _consumerSecret
00007ff9012e39c8 (__TEXT,__text) non-external _copyTree
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosh (from libSystem)
00007ff942168da8 (__DATA,__bss) non-external _digitSet
00007ff942168e48 (__DATA,__bss) non-external _dispatchQueue.dispatchQueue
00007ff942168e40 (__DATA,__bss) non-external _dispatchQueue.once
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_barrier_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
00007ff942168dc8 (__DATA,__bss) non-external _divideSet
                 (undefined) external _erf (from libSystem)
                 (undefined) external _erfc (from libSystem)
00007ff942168d40 (__DATA,__bss) non-external _evaluate:options:needsUpdate:.calculateUnitTypeToUnitTypeMap
00007ff942168d38 (__DATA,__bss) non-external _evaluate:options:needsUpdate:.loadUnitDictionaryOnce
00007ff9012e37f7 (__TEXT,__text) non-external _evaluateBinary
00007ff9012e2474 (__TEXT,__text) non-external _evaluateTree
00007ff9012e231c (__TEXT,__text) non-external _evaluateUnary
                 (undefined) external _exit (from libSystem)
                 (undefined) external _exp (from libSystem)
00007ff942168e08 (__DATA,__bss) non-external _explicitConversionRegularExpression
00007ff942168de0 (__DATA,__bss) non-external _exponentiateSet
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fmod (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff9012e3999 (__TEXT,__text) non-external _freeTree
00007ff9012ea8c9 (__TEXT,__text) non-external _functionACos
00007ff9012ebe3c (__TEXT,__text) non-external _functionACosD
00007ff9012ed980 (__TEXT,__text) non-external _functionACosH
00007ff9012f2e0f (__TEXT,__text) non-external _functionAND
00007ff9012ea629 (__TEXT,__text) non-external _functionASin
00007ff9012eb9e4 (__TEXT,__text) non-external _functionASinD
00007ff9012ed71e (__TEXT,__text) non-external _functionASinH
00007ff9012eac69 (__TEXT,__text) non-external _functionATan
00007ff9012ec1e3 (__TEXT,__text) non-external _functionATanD
00007ff9012ee08c (__TEXT,__text) non-external _functionATanH
00007ff9012e66c7 (__TEXT,__text) non-external _functionAdd
00007ff9012ee38a (__TEXT,__text) non-external _functionCeil
00007ff9012e6b38 (__TEXT,__text) non-external _functionCoefficientUnit
00007ff9012f3754 (__TEXT,__text) non-external _functionCompose
00007ff9012e218e (__TEXT,__text) non-external _functionConstant
00007ff9012f4015 (__TEXT,__text) non-external _functionConvert
00007ff9012ea030 (__TEXT,__text) non-external _functionCos
00007ff9012eb25b (__TEXT,__text) non-external _functionCosD
00007ff9012eccbe (__TEXT,__text) non-external _functionCosH
00007ff9012e8ff0 (__TEXT,__text) non-external _functionCubeRoot
00007ff9012e79ec (__TEXT,__text) non-external _functionDivide
00007ff9012f000d (__TEXT,__text) non-external _functionERF
00007ff9012f03bd (__TEXT,__text) non-external _functionERFC
00007ff9012e92c6 (__TEXT,__text) non-external _functionExp
00007ff9012f17eb (__TEXT,__text) non-external _functionFMod
00007ff9012ef407 (__TEXT,__text) non-external _functionFabs
00007ff9012f0c48 (__TEXT,__text) non-external _functionFactorial
00007ff9012f4030 (__TEXT,__text) non-external _functionFail
00007ff9012eea74 (__TEXT,__text) non-external _functionFloor
00007ff9012f1d3b (__TEXT,__text) non-external _functionHypot
00007ff9012e8d55 (__TEXT,__text) non-external _functionImplicitAdd
00007ff9012f4021 (__TEXT,__text) non-external _functionImplicitConvert
00007ff9012ef621 (__TEXT,__text) non-external _functionJ0
00007ff9012ef784 (__TEXT,__text) non-external _functionJ1
00007ff9012efdcb (__TEXT,__text) non-external _functionLGamma
00007ff9012f33ce (__TEXT,__text) non-external _functionLeftShift
00007ff9012e9521 (__TEXT,__text) non-external _functionLn
00007ff9012e9775 (__TEXT,__text) non-external _functionLog
00007ff9012e99d0 (__TEXT,__text) non-external _functionLogBase
00007ff9012f28b4 (__TEXT,__text) non-external _functionMax
00007ff9012f2359 (__TEXT,__text) non-external _functionMin
00007ff9012e79a0 (__TEXT,__text) non-external _functionMultiply
00007ff9012f30ed (__TEXT,__text) non-external _functionNOR
00007ff9012e7f26 (__TEXT,__text) non-external _functionNegate
00007ff9012e260f (__TEXT,__text) non-external _functionNoOp
00007ff9012f2f7e (__TEXT,__text) non-external _functionOR
00007ff9012e81b0 (__TEXT,__text) non-external _functionPercent
00007ff9012e88a2 (__TEXT,__text) non-external _functionPercentDecrease
00007ff9012e8421 (__TEXT,__text) non-external _functionPercentIncrease
00007ff9012e6b84 (__TEXT,__text) non-external _functionPow
00007ff9012efbad (__TEXT,__text) non-external _functionRInt
00007ff9012f2050 (__TEXT,__text) non-external _functionRem
00007ff9012f3591 (__TEXT,__text) non-external _functionRightShift
00007ff9012f12df (__TEXT,__text) non-external _functionRoot
00007ff9012eec99 (__TEXT,__text) non-external _functionRound
00007ff9012eeee3 (__TEXT,__text) non-external _functionRoundNearest
00007ff9012e7558 (__TEXT,__text) non-external _functionSameCurrency
00007ff9012eaf09 (__TEXT,__text) non-external _functionSinD
00007ff9012ec562 (__TEXT,__text) non-external _functionSinH
00007ff9012e9da6 (__TEXT,__text) non-external _functionSine
00007ff9012e8d9d (__TEXT,__text) non-external _functionSqrRoot
00007ff9012e670f (__TEXT,__text) non-external _functionSubtract
00007ff9012ea2ba (__TEXT,__text) non-external _functionTan
00007ff9012eb5ad (__TEXT,__text) non-external _functionTanD
00007ff9012ed329 (__TEXT,__text) non-external _functionTanH
00007ff9012e2d39 (__TEXT,__text) non-external _functionUnit
00007ff9012f325f (__TEXT,__text) non-external _functionXOR
00007ff9012ef8e7 (__TEXT,__text) non-external _functionY0
00007ff9012efa4a (__TEXT,__text) non-external _functionY1
                 (undefined) external _fwrite (from libSystem)
00007ff9421685d8 (__DATA,__data) non-external _g_BufferLen
00007ff942168e58 (__DATA,__bss) non-external _g_ErrorCode
00007ff942168b8c (__DATA,__bss) non-external _g_GeneratingConvertTerm
00007ff942168b88 (__DATA,__bss) non-external _g_PowNestingLevel
00007ff9421685e4 (__DATA,__data) non-external _g_Precision
00007ff9421685f0 (__DATA,__data) non-external _g_PreferredType
00007ff942168600 (__DATA,__data) non-external _g_ResultBuffer
00007ff942168e9e (__DATA,__bss) non-external _g_allowPartialExpressions
00007ff942168e9d (__DATA,__bss) non-external _g_allowUnits
00007ff942168d08 (__DATA,__bss) non-external _g_beforeConvertTree
00007ff942168d14 (__DATA,__bss) non-external _g_composedExponent
00007ff942168d10 (__DATA,__bss) non-external _g_composedType
00007ff942168e72 (__DATA,__bss) non-external _g_containsCurrencyConversion
00007ff942168cc0 (__DATA,__bss) non-external _g_currencyNeedsRefresh
00007ff942168e80 (__DATA,__bss) non-external _g_firstCoefficient.0
00007ff942168e90 (__DATA,__bss) non-external _g_firstCoefficient.1
00007ff942168e73 (__DATA,__bss) non-external _g_foundFirstCoefficient
00007ff942168e9c (__DATA,__bss) non-external _g_ignoreProbableSearches
00007ff942168e70 (__DATA,__bss) non-external _g_isTrivial
00007ff942168e98 (__DATA,__bss) non-external _g_negationCount
00007ff942168e60 (__DATA,__bss) non-external _g_parseTree
00007ff942168e68 (__DATA,__bss) non-external _g_resultTree
00007ff942168cf8 (__DATA,__bss) non-external _g_unitSuggestions
00007ff942168d00 (__DATA,__bss) non-external _g_unitSuggestionsSet
00007ff942168cf0 (__DATA,__bss) non-external _g_unitsInfo
00007ff942168c98 (__DATA,__bss) non-external _g_usingNewAPI
00007ff942168e71 (__DATA,__bss) non-external _g_wasTrivial
00007ff942168ca0 (__DATA,__bss) non-external _getMaximumFractionDigits:minimumFractionDigits:forValue:.decimalPlaces
00007ff942168ca8 (__DATA,__bss) non-external _getMaximumFractionDigits:minimumFractionDigits:forValue:.onceToken
                 (undefined) external _getc (from libSystem)
00007ff942168df8 (__DATA,__bss) non-external _hebrewSet
                 (undefined) external _hypot (from libSystem)
00007ff942168e10 (__DATA,__bss) non-external _implicitConversionRegularExpression
                 (undefined) external _index (from libSystem)
00007ff942168e18 (__DATA,__bss) non-external _initialize.once
00007ff942168e28 (__DATA,__bss) non-external _inputUnitIndex1
00007ff942168e30 (__DATA,__bss) non-external _inputUnitIndex2
00007ff942168e38 (__DATA,__bss) non-external _inputValueIndex
                 (undefined) external _j0 (from libSystem)
                 (undefined) external _j1 (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00007ff942168e00 (__DATA,__bss) non-external _knownSet
00007ff942168de8 (__DATA,__bss) non-external _letterSet
                 (undefined) external _lgamma (from libSystem)
00007ff942168cb0 (__DATA,__bss) non-external _localizedConversions.allCurrencies
00007ff942168cb8 (__DATA,__bss) non-external _localizedConversions.onceToken
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _modf (from libSystem)
00007ff942168dc0 (__DATA,__bss) non-external _multiplySet
00007ff942168b80 (__DATA,__bss) non-external _my_fpsf
00007ff942168614 (__DATA,__data) non-external _my_rnd_mode
00007ff9012e210a (__TEXT,__text) non-external _newConstantNode
00007ff9012e26df (__TEXT,__text) non-external _newDecimalNode
00007ff9012e35cf (__TEXT,__text) non-external _newTreeObject
00007ff9012e34c2 (__TEXT,__text) non-external _newUnitIDNode
00007ff9012e2c04 (__TEXT,__text) non-external _newUnitNode
00007ff942168690 (__DATA,__data) non-external _normalizationCache
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_msgSend_stret (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_self (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
00007ff942168dd0 (__DATA,__bss) non-external _openParenthesesSet
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
00007ff942168e20 (__DATA,__bss) non-external _outputUnitIndex
                 (undefined) external _pow (from libSystem)
                 (undefined) external _raise (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _remainder (from libSystem)
00007ff942168680 (__DATA,__data) non-external _sCalculateLock
00007ff942168cd8 (__DATA,__bss) non-external _serialQueue.onceToken
00007ff942168ce0 (__DATA,__bss) non-external _serialQueue.queue
00007ff942168638 (__DATA,__data) non-external _shared.onceToken
00007ff942168630 (__DATA,__data) non-external _shared.shared
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinh (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtold (from libSystem)
                 (undefined) external _strtoull (from libSystem)
00007ff942168db8 (__DATA,__bss) non-external _subtractSet
00007ff942168df0 (__DATA,__bss) non-external _symbolSet
                 (undefined) external _tan (from libSystem)
                 (undefined) external _tanh (from libSystem)
                 (undefined) external _tgamma (from libSystem)
00007ff942168d20 (__DATA,__bss) non-external _tmp_unitSuggestions
00007ff942168d28 (__DATA,__bss) non-external _tmp_unitSuggestionsSet
00007ff942168d30 (__DATA,__bss) non-external _tmp_unitsInfo
00007ff9012e20ba (__TEXT,__text) non-external _treeDecimalValue
00007ff9012e6a35 (__TEXT,__text) non-external _trivialCoefficient
                 (undefined) external _u_austrcpy (from libicucore)
                 (undefined) external _u_charDigitValue (from libicucore)
                 (undefined) external _u_isdigit (from libicucore)
                 (undefined) external _u_uastrncpy (from libicucore)
00007ff942168688 (__DATA,__data) non-external _unitsInfo
                 (undefined) external _unum_close (from libicucore)
                 (undefined) external _unum_formatDoubleCurrency (from libicucore)
                 (undefined) external _unum_open (from libicucore)
00007ff942168c70 (__DATA,__bss) non-external _usesWhitespace.nonWhitespaceLanguages
00007ff942168c78 (__DATA,__bss) non-external _usesWhitespace.onceToken
00007ff942168da0 (__DATA,__bss) non-external _whitespaceSet
                 (undefined) external _y0 (from libSystem)
                 (undefined) external _y1 (from libSystem)
00007ff901345e00 (__TEXT,__const) non-external _yy_accept
00007ff901346520 (__TEXT,__const) non-external _yy_base
00007ff942168648 (__DATA,__data) non-external _yy_buffer_stack
00007ff942168678 (__DATA,__data) non-external _yy_buffer_stack_max
00007ff942168650 (__DATA,__data) non-external _yy_c_buf_p
00007ff901346090 (__TEXT,__const) non-external _yy_chk
00007ff9013467c0 (__TEXT,__const) non-external _yy_def
00007ff901345d00 (__TEXT,__const) non-external _yy_ec
00007ff9013181da (__TEXT,__text) non-external _yy_fatal_error
00007ff901318102 (__TEXT,__text) non-external _yy_get_previous_state
00007ff942168658 (__DATA,__data) non-external _yy_hold_char
00007ff942168640 (__DATA,__data) non-external _yy_init
00007ff942168660 (__DATA,__data) non-external _yy_last_accepting_cpos
00007ff94216865c (__DATA,__data) non-external _yy_last_accepting_state
00007ff901346a60 (__TEXT,__const) non-external _yy_meta
00007ff942168670 (__DATA,__data) non-external _yy_n_chars
00007ff901346ab0 (__TEXT,__const) non-external _yy_nxt
00007ff901346f40 (__TEXT,__const) non-external _yy_rule_can_match_eol
00007ff942168644 (__DATA,__data) non-external _yy_start
00007ff9421685c4 (__DATA,__data) non-external _yychar
00007ff901344b40 (__TEXT,__const) non-external _yycheck
00007ff901345900 (__TEXT,__const) non-external _yydefact
00007ff901345b80 (__TEXT,__const) non-external _yydefgoto
00007ff942168780 (__DATA,__bss) non-external _yylval
00007ff9421685d0 (__DATA,__data) non-external _yynerrs
00007ff901344770 (__TEXT,__const) non-external _yypact
00007ff901345b40 (__TEXT,__const) non-external _yypgoto
00007ff901345ac0 (__TEXT,__const) non-external _yyr1
00007ff901345a40 (__TEXT,__const) non-external _yyr2
00007ff901345bc0 (__TEXT,__const) non-external _yystos
00007ff901345220 (__TEXT,__const) non-external _yytable
00007ff9013449f0 (__TEXT,__const) non-external _yytranslate
