00000001c6a787e0 (__TEXT,__text) non-external +[Cube initialize]
00000001c68b1954 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001c68b1ad0 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001c68b1a8c (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00000001c68b202c (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001c68b3c1c (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00000001c68b3138 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001c68b199c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001c68b1a44 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001c68b34d4 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001c68b2de8 (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001c68b3bd4 (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001c68b4ca4 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001c68b4c38 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001c687c0f0 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001c687c0e8 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001c68bb180 (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001c68bb114 (__TEXT,__text) non-external +[MPCropController sharedController]
00000001c68c0bbc (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001c68c0aa8 (__TEXT,__text) non-external +[MPDocument initialize]
00000001c68c0c0c (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001c68c09c8 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001c68c7e88 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001c68c0bf8 (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001c68c0bb4 (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001c68c087c (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001c68c0894 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001c68c7e18 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001c68c0be4 (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001c68c7f00 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001c68c7f50 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001c68c7f8c (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001c68c7fd0 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001c68c8014 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001c68c7ef8 (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001c68d07c4 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001c68d07ec (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001c68d0b04 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001c68d47e8 (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001c68d4894 (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001c68d4820 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001c68d7864 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001c68d8570 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001c68d88ac (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001c68d8a78 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001c68d8350 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001c68d8314 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001c68d8328 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001c68d833c (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001c68d8ba4 (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001c68d8b9c (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001c68da844 (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001c68da7d0 (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001c68db5fc (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001c68dbec0 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001c68dbeb8 (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001c68dc84c (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001c68dc7d8 (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001c68dcf28 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001c687d55c (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001c687d554 (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001c68ddb68 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001c68ddbf0 (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001c68ddb90 (__TEXT,__text) non-external +[MPLayer layer]
00000001c68ddbc0 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001c68ddc20 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001c68e2828 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001c68e2864 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001c68e28a8 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001c68e28ec (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001c68e7604 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001c68e767c (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001c68f0f9c (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001c68f46f4 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001c68f46cc (__TEXT,__text) non-external +[MPSlide slide]
00000001c68f46c4 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001c68f9b20 (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001c68f9ae4 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001c68f9abc (__TEXT,__text) non-external +[MPSong song]
00000001c68f9ab4 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001c68fad78 (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001c68fad04 (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001c687d118 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001c687d110 (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001c68fba74 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001c686bd40 (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001c68fd2d4 (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001c68febfc (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001c68fec04 (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001c69007ec (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001c69007b0 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001c687d948 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001c687d950 (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001c6901e40 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001c6901dcc (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001c6902984 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001c690645c (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001c69081d8 (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001c6905fe0 (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001c6906088 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001c6905ad0 (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001c69050c0 (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001c6904b68 (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001c6905308 (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001c6905e60 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001c6905f20 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001c6908348 (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001c6906e94 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001c69071c8 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001c6907144 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001c6907da4 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001c6907c94 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001c6907e70 (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001c6907e08 (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001c6905678 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001c69055bc (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001c6905944 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001c6907b88 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001c69076a8 (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001c69075fc (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001c6906974 (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001c6907adc (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001c690708c (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001c6907860 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001c690492c (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001c6904a2c (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001c6908acc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001c6908bb4 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001c6908ddc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001c6908e70 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001c6909470 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001c6908a80 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001c6908a0c (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001c6909228 (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001c6909604 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001c69097b0 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001c6908f00 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001c6909034 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001c6908684 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001c6908e60 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001c6909848 (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001c6909200 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001c6908efc (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001c6908d88 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001c6908a40 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001c69089a4 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001c6882f04 (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001c6882830 (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001c6882a10 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001c6882888 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001c6882974 (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001c6882838 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001c688293c (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001c6883000 (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001c690c4e0 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001c690c550 (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001c690c544 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001c6a814d4 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001c6912c00 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001c6912c08 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001c6912dc0 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001c69131b8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001c6912dc8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001c6912f80 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001c6914e04 (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001c6914e0c (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001c6914dfc (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001c6914948 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001c69158c0 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001c69158c8 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001c6a35bb4 (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001c6a35bac (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001c6a38c20 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001c6a38c28 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001c6a5dcb8 (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001c6a5d68c (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001c6a5d684 (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001c6a5c9a8 (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001c6a5d75c (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001c6a5da54 (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001c6a316b8 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001c6a316b0 (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001c6a312b8 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001c6a6b770 (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001c6a6a8d0 (__TEXT,__text) non-external +[MREffectFloating hasCustomTiming]
00000001c6a6a8d8 (__TEXT,__text) non-external +[MREffectFloating supportsDynamicExpansionForEffectID:]
00000001c6a6a8e0 (__TEXT,__text) non-external +[MREffectFloating typicalSlideBatchSizeForEffectID:]
00000001c6a59598 (__TEXT,__text) non-external +[MREffectFramedSlide initialize]
