00007ffa00df2f83 (__TEXT,__text) non-external -[OS_axr_data copy]
00007ffa00e87602 (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_PIZ20GetCompressionMethodEv
00007ffa00e7a9ba (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_PIZ26HuffmanUnpackDecodingTableEPKNS_11PIZPoolInfoERPvR9TileBytesR11axr_error_t
00007ffa00e7a090 (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_RLE10DecompressEP13AXRBufferPoolIhERK8TileInfoPmP11axr_error_t
00007ffa00e7a2e6 (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_RLE19GetMinimumTileBytesEv
00007ffa00e7a2f2 (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_RLE20GetCompressionMethodEv
00007ffa00ea3716 (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_Zip19GetMinimumTileBytesEv
00007ffa00ea372a (__TEXT,__text) non-external (was a private external) __ZNK15TileDecoder_Zip20GetCompressionMethodEv
00007ffa00e1bac6 (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_B44A10InterleaveEPKvmRK8TileInfojjPvm
00007ffa00e359ec (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_B44A12ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvm
00007ffa00e36bfe (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_B44A20GetCompressionMethodEv
00007ffa00e79f28 (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_Zips10DecompressEP13AXRBufferPoolIhERK8TileInfoPmP11axr_error_t
00007ffa00e7a2a8 (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_Zips19GetMinimumTileBytesEv
00007ffa00e7a2b4 (__TEXT,__text) non-external (was a private external) __ZNK16TileDecoder_Zips20GetCompressionMethodEv
00007ffa00e8ba04 (__TEXT,__text) non-external (was a private external) __ZNK17AttributeListNode6EncodeEP13EncoderStream
00007ffa00e37118 (__TEXT,__text) non-external (was a private external) __ZNK17TileDecoder_PXR2410DecompressEP13AXRBufferPoolIhERK8TileInfoPmP11axr_error_t
00007ffa00e37364 (__TEXT,__text) non-external (was a private external) __ZNK17TileDecoder_PXR2410InterleaveEPKvmRK8TileInfojjPvm
00007ffa00e71098 (__TEXT,__text) non-external (was a private external) __ZNK17TileDecoder_PXR2412ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvm
00007ffa00e7297a (__TEXT,__text) non-external (was a private external) __ZNK17TileDecoder_PXR2420GetCompressionMethodEv
00007ffa00e8844e (__TEXT,__text) non-external (was a private external) __ZNK18ChannelDescription14GetChannelInfoEPKv
00007ffa00e36c0c (__TEXT,__text) non-external (was a private external) __ZNK18ChannelDescription18GetLocationForTileEmmj
00007ffa00e87da4 (__TEXT,__text) non-external (was a private external) __ZNK18ChannelDescription5PrintEPcmPKv11axr_flags_t
00007ffa00e88918 (__TEXT,__text) non-external (was a private external) __ZNK18ChannelDescription8CopyNameEPK7AXRDataPcm
00007ffa00e9cdfc (__TEXT,__text) non-external (was a private external) __ZNK25TileDecoder_NoCompression10DecompressEP13AXRBufferPoolIhERK8TileInfoPmP11axr_error_t
00007ffa00e9ce22 (__TEXT,__text) non-external (was a private external) __ZNK25TileDecoder_NoCompression10InterleaveEPKvmRK8TileInfojjPvm
00007ffa00ea3484 (__TEXT,__text) non-external (was a private external) __ZNK25TileDecoder_NoCompression12ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvm
00007ffa00ea3636 (__TEXT,__text) non-external (was a private external) __ZNK25TileDecoder_NoCompression17ReleaseDataToPoolEPKvP13AXRBufferPoolIhE
00007ffa00ea3646 (__TEXT,__text) non-external (was a private external) __ZNK25TileDecoder_NoCompression20GetCompressionMethodEv
00007ffa00e72988 (__TEXT,__text) non-external (was a private external) __ZNK30TileDecoder_ScanlineCompressed10InterleaveEPKvmRK8TileInfojjPvm
00007ffa00e7982e (__TEXT,__text) non-external (was a private external) __ZNK30TileDecoder_ScanlineCompressed12ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvm
00007ffa00e72958 (__TEXT,__text) non-external (was a private external) __ZNK30TileDecoder_ScanlineCompressed17ReleaseDataToPoolEPKvP13AXRBufferPoolIhE
00007ffa00e8e1a4 (__TEXT,__text) non-external (was a private external) __ZNK4Part10GetChannelEm11axr_flags_t
00007ffa00ea8209 (__TEXT,__text) non-external __ZNK4Part10GetChannelEm11axr_flags_t.cold.1
00007ffa00ea867e (__TEXT,__text) non-external __ZNK4Part10GetChannelEm11axr_flags_t.cold.1
00007ffa00ea875a (__TEXT,__text) non-external __ZNK4Part10GetChannelEm11axr_flags_t.cold.1
00007ffa00e8e2e0 (__TEXT,__text) non-external (was a private external) __ZNK4Part10ReadPixelsEP11axr_decoderPvm11axr_flags_t
00007ffa00e8fa80 (__TEXT,__text) non-external (was a private external) __ZNK4Part10ReadPlanesEP11axr_decoderP16axr_pixel_data_t11axr_flags_t
00007ffa00e8e232 (__TEXT,__text) non-external (was a private external) __ZNK4Part11GetPropertyEm11axr_flags_t
00007ffa00ea8260 (__TEXT,__text) non-external __ZNK4Part11GetPropertyEm11axr_flags_t.cold.1
00007ffa00e8e058 (__TEXT,__text) non-external (was a private external) __ZNK4Part12GetImageInfoEPKv
00007ffa00e7a8f0 (__TEXT,__text) non-external (was a private external) __ZNK4Part12GetImageSizeEm11axr_flags_t
00007ffa00ea7b6c (__TEXT,__text) non-external __ZNK4Part12GetImageSizeEm11axr_flags_t.cold.1
00007ffa00ea808e (__TEXT,__text) non-external __ZNK4Part12GetImageSizeEm11axr_flags_t.cold.1
00007ffa00ea8613 (__TEXT,__text) non-external __ZNK4Part12GetImageSizeEm11axr_flags_t.cold.1
00007ffa00ea86ef (__TEXT,__text) non-external __ZNK4Part12GetImageSizeEm11axr_flags_t.cold.1
00007ffa00e8e274 (__TEXT,__text) non-external (was a private external) __ZNK4Part12GetLayerInfoEm
00007ffa00e8e172 (__TEXT,__text) non-external (was a private external) __ZNK4Part14GetChannelInfoEPKvm11axr_flags_t
00007ffa00e8e50e (__TEXT,__text) non-external (was a private external) __ZNK4Part14ReadRGBAPixelsEP11axr_decoderPvmd11axr_flags_t
00007ffa00e92884 (__TEXT,__text) non-external (was a private external) __ZNK4Part16CreateColorSpaceEPK11axr_decoderPv11axr_flags_tb
00007ffa00e8e1ca (__TEXT,__text) non-external (was a private external) __ZNK4Part16GetImagePropertyEPKvm11axr_flags_t
00007ffa00ea3670 (__TEXT,__text) non-external (was a private external) __ZNK4Part8GetChunkEPKvmmPm
00007ffa00e94770 (__TEXT,__text) non-external (was a private external) __ZNK7AXRData10GetChannelEmm11axr_flags_t
00007ffa00ea85c3 (__TEXT,__text) non-external __ZNK7AXRData10GetChannelEmm11axr_flags_t.cold.1
00007ffa00e88f88 (__TEXT,__text) non-external (was a private external) __ZNK7AXRData10ReadPixelsEP11axr_decoderPvm11axr_flags_t
00007ffa00ea7bda (__TEXT,__text) non-external __ZNK7AXRData10ReadPixelsEP11axr_decoderPvm11axr_flags_t.cold.1
00007ffa00e8900c (__TEXT,__text) non-external (was a private external) __ZNK7AXRData10ReadPlanesEP11axr_decoderP16axr_pixel_data_t11axr_flags_t
00007ffa00ea7c7a (__TEXT,__text) non-external __ZNK7AXRData10ReadPlanesEP11axr_decoderP16axr_pixel_data_t11axr_flags_t.cold.1
00007ffa00e88fca (__TEXT,__text) non-external (was a private external) __ZNK7AXRData14ReadRGBAPixelsEP11axr_decoderPvmd11axr_flags_t
00007ffa00ea7c2a (__TEXT,__text) non-external __ZNK7AXRData14ReadRGBAPixelsEP11axr_decoderPvmd11axr_flags_t.cold.1
00007ffa00e88bfe (__TEXT,__text) non-external (was a private external) __ZNK7AXRData16DebugDescriptionEPcm
00007ffa00e943bc (__TEXT,__text) non-external (was a private external) __ZNK7AXRData24CreateColorSpaceForImageEP11axr_decoderPv11axr_flags_tb
00007ffa00ea8473 (__TEXT,__text) non-external __ZNK7AXRData24CreateColorSpaceForImageEP11axr_decoderPv11axr_flags_tb.cold.1
00007ffa00e88df0 (__TEXT,__text) non-external (was a private external) __ZNK7AXRData7GetHashEv
00007ffa00e88dde (__TEXT,__text) non-external (was a private external) __ZNK7AXRData7IsEqualEPKS_
                 (undefined) external __ZSt9terminatev (from libc++)
00007ffa400abac8 (__DATA_CONST,__const) non-external (was a private external) __ZTI10Compressor
00007ffa400abd50 (__DATA_CONST,__const) non-external (was a private external) __ZTI11TileDecoder
00007ffa400aa8a8 (__DATA_CONST,__const) non-external (was a private external) __ZTI11axr_error_t
00007ffa400aa868 (__DATA_CONST,__const) non-external (was a private external) __ZTI13EncoderBuffer
00007ffa400ab8c8 (__DATA_CONST,__const) non-external (was a private external) __ZTI13EncoderStream
00007ffa400abad8 (__DATA_CONST,__const) non-external (was a private external) __ZTI13RowCompressor
00007ffa400abb38 (__DATA_CONST,__const) non-external (was a private external) __ZTI13ZipCompressor
00007ffa400aabe0 (__DATA_CONST,__const) non-external (was a private external) __ZTI15TileDecoder_B44
00007ffa400ab370 (__DATA_CONST,__const) non-external (was a private external) __ZTI15TileDecoder_PIZ
00007ffa400ab1b0 (__DATA_CONST,__const) non-external (was a private external) __ZTI15TileDecoder_RLE
00007ffa400abdd8 (__DATA_CONST,__const) non-external (was a private external) __ZTI15TileDecoder_Zip
00007ffa400aac58 (__DATA_CONST,__const) non-external (was a private external) __ZTI16TileDecoder_B44A
00007ffa400ab138 (__DATA_CONST,__const) non-external (was a private external) __ZTI16TileDecoder_Zips
00007ffa400aaee0 (__DATA_CONST,__const) non-external (was a private external) __ZTI17TileDecoder_PXR24
00007ffa400aa828 (__DATA_CONST,__const) non-external (was a private external) __ZTI18EncoderBufferCache
00007ffa400abd60 (__DATA_CONST,__const) non-external (was a private external) __ZTI25TileDecoder_NoCompression
00007ffa400ab0c0 (__DATA_CONST,__const) non-external (was a private external) __ZTI30TileDecoder_ScanlineCompressed
00007ffa400ab770 (__DATA_CONST,__const) non-external (was a private external) __ZTI7AXRData
00007ffa400aa818 (__DATA_CONST,__const) non-external (was a private external) __ZTI8Retained
00007ffa00ec9950 (__TEXT,__const) non-external (was a private external) __ZTS10Compressor
00007ffa00ec9b1c (__TEXT,__const) non-external (was a private external) __ZTS11TileDecoder
00007ffa00ea8a3f (__TEXT,__const) non-external (was a private external) __ZTS11axr_error_t
00007ffa00ea8a2f (__TEXT,__const) non-external (was a private external) __ZTS13EncoderBuffer
00007ffa00ec96c8 (__TEXT,__const) non-external (was a private external) __ZTS13EncoderStream
00007ffa00ec9940 (__TEXT,__const) non-external (was a private external) __ZTS13RowCompressor
00007ffa00ec995d (__TEXT,__const) non-external (was a private external) __ZTS13ZipCompressor
00007ffa00ec8b20 (__TEXT,__const) non-external (was a private external) __ZTS15TileDecoder_B44
00007ffa00ec94e0 (__TEXT,__const) non-external (was a private external) __ZTS15TileDecoder_PIZ
00007ffa00ec8bf4 (__TEXT,__const) non-external (was a private external) __ZTS15TileDecoder_RLE
00007ffa00ec9b2a (__TEXT,__const) non-external (was a private external) __ZTS15TileDecoder_Zip
00007ffa00ec8b32 (__TEXT,__const) non-external (was a private external) __ZTS16TileDecoder_B44A
00007ffa00ec8be1 (__TEXT,__const) non-external (was a private external) __ZTS16TileDecoder_Zips
00007ffa00ec8ba0 (__TEXT,__const) non-external (was a private external) __ZTS17TileDecoder_PXR24
00007ffa00ea8a10 (__TEXT,__const) non-external (was a private external) __ZTS18EncoderBufferCache
00007ffa00ec9b00 (__TEXT,__const) non-external (was a private external) __ZTS25TileDecoder_NoCompression
00007ffa00ec8bc0 (__TEXT,__const) non-external (was a private external) __ZTS30TileDecoder_ScanlineCompressed
00007ffa00ec955c (__TEXT,__const) non-external (was a private external) __ZTS7AXRData
00007ffa00ea8a25 (__TEXT,__const) non-external (was a private external) __ZTS8Retained
00007ffa400abb50 (__DATA_CONST,__const) non-external (was a private external) __ZTV11TileDecoder
00007ffa400aa840 (__DATA_CONST,__const) non-external (was a private external) __ZTV13EncoderBuffer
00007ffa400ab8a0 (__DATA_CONST,__const) non-external (was a private external) __ZTV13EncoderStream
00007ffa400aba80 (__DATA_CONST,__const) non-external (was a private external) __ZTV13RowCompressor
00007ffa400abaf0 (__DATA_CONST,__const) non-external (was a private external) __ZTV13ZipCompressor
00007ffa400aab80 (__DATA_CONST,__const) non-external (was a private external) __ZTV15TileDecoder_B44
00007ffa400ab310 (__DATA_CONST,__const) non-external (was a private external) __ZTV15TileDecoder_PIZ
00007ffa400ab150 (__DATA_CONST,__const) non-external (was a private external) __ZTV15TileDecoder_RLE
00007ffa400abd78 (__DATA_CONST,__const) non-external (was a private external) __ZTV15TileDecoder_Zip
00007ffa400aabf8 (__DATA_CONST,__const) non-external (was a private external) __ZTV16TileDecoder_B44A
00007ffa400ab0d8 (__DATA_CONST,__const) non-external (was a private external) __ZTV16TileDecoder_Zips
00007ffa400aae80 (__DATA_CONST,__const) non-external (was a private external) __ZTV17TileDecoder_PXR24
00007ffa400aa7f0 (__DATA_CONST,__const) non-external (was a private external) __ZTV18EncoderBufferCache
00007ffa400abcf0 (__DATA_CONST,__const) non-external (was a private external) __ZTV25TileDecoder_NoCompression
00007ffa400ab060 (__DATA_CONST,__const) non-external (was a private external) __ZTV30TileDecoder_ScanlineCompressed
00007ffa400ab750 (__DATA_CONST,__const) non-external (was a private external) __ZTV7AXRData
00007ffa400aa880 (__DATA_CONST,__const) non-external (was a private external) __ZTV8Retained
                 (undefined) external __ZTVN10__cxxabiv116__enum_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv117__class_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv120__si_class_type_infoE (from libc++)
00007ffa41c40000 (__DATA,__bss) non-external __ZZ19AXRCreateColorSpaceE22CGFunctionsInitialized
00007ffa00ec9760 (__TEXT,__const) non-external __ZZ23axr_decoder_create_rgbaE12kColorModels
00007ffa400ab800 (__DATA_CONST,__const) non-external __ZZ24GetEXRNameForChannelTypeE20kDefaultChannelNames
00007ffa400ab880 (__DATA_CONST,__const) non-external __ZZL19CreateRGBColorSpaceDv4_fS_fPK14__CFDictionary11axr_flags_tE10colorNames
00007ffa00ec9750 (__TEXT,__const) non-external __ZZL21CalculatePXR24RowSizeRKN18ChannelDescription30ChannelDescriptionLocationInfoEjjj10axr_type_tE9kTypeSize
00007ffa00ec9610 (__TEXT,__const) non-external __ZZL35GetDefaultCompressionMethodTileSize17axr_compression_tE27kCompressionMethodTileSizes
00007ffa00ec9710 (__TEXT,__const) non-external __ZZL35GetDefaultCompressionMethodTileSize17axr_compression_tE27kCompressionMethodTileSizes
00007ffa00ec95d0 (__TEXT,__const) non-external __ZZN11EncoderPart16CreateColorSpaceE11axr_flags_tPK14__CFDictionarybE16kChannelTypeMask
00007ffa400ab5d0 (__DATA_CONST,__const) non-external __ZZN18ChannelDescription20ConfigureChannelTypeEPKcmRP5LayerE10kColorList
00007ffa400aba00 (__DATA_CONST,__const) non-external __ZZN4Part11InitOffsetsEPKvmRm11axr_flags_tE13kRowSizeProcs
00007ffa400abbb0 (__DATA_CONST,__const) non-external __ZZNK11TileDecoder23Interleave_UncompressedEPKvmRK8TileInfojjPvmE5Read2
00007ffa400abbf0 (__DATA_CONST,__const) non-external __ZZNK11TileDecoder23Interleave_UncompressedEPKvmRK8TileInfojjPvmE5Read4
00007ffa400aba40 (__DATA_CONST,__const) non-external __ZZNK13RowCompressor8ReadDataER15CompressionInfoE8FuncList
00007ffa400aa8c0 (__DATA_CONST,__const) non-external __ZZNK15TileDecoder_B4410InterleaveEPKvmRK8TileInfojjPvmE9funcTable
00007ffa400aa900 (__DATA_CONST,__const) non-external __ZZNK15TileDecoder_B4410InterleaveEPKvmRK8TileInfojjPvmE9funcTable_0
00007ffa400aaa00 (__DATA_CONST,__const) non-external __ZZNK15TileDecoder_B4412ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvmE9funcTable
00007ffa400ab1d0 (__DATA_CONST,__const) non-external __ZZNK15TileDecoder_PIZ10InterleaveEPKvmRK8TileInfojjPvmE9funcTable
00007ffa400ab210 (__DATA_CONST,__const) non-external __ZZNK15TileDecoder_PIZ10InterleaveEPKvmRK8TileInfojjPvmE9funcTable_0
00007ffa400aaa20 (__DATA_CONST,__const) non-external __ZZNK16TileDecoder_B44A10InterleaveEPKvmRK8TileInfojjPvmE9funcTable
00007ffa400aaa60 (__DATA_CONST,__const) non-external __ZZNK16TileDecoder_B44A10InterleaveEPKvmRK8TileInfojjPvmE9funcTable_0
00007ffa400aab60 (__DATA_CONST,__const) non-external __ZZNK16TileDecoder_B44A12ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvmE10kFuncTable
00007ffa400aac70 (__DATA_CONST,__const) non-external __ZZNK17TileDecoder_PXR2410InterleaveEPKvmRK8TileInfojjPvmE9funcTable
00007ffa400aacd0 (__DATA_CONST,__const) non-external __ZZNK17TileDecoder_PXR2410InterleaveEPKvmRK8TileInfojjPvmE9funcTable_0
00007ffa400aae50 (__DATA_CONST,__const) non-external __ZZNK17TileDecoder_PXR2412ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvmE10kFuncTable
00007ffa400aaf00 (__DATA_CONST,__const) non-external __ZZNK30TileDecoder_ScanlineCompressed10InterleaveEPKvmRK8TileInfojjPvmE9funcTable
00007ffa400aaf40 (__DATA_CONST,__const) non-external __ZZNK30TileDecoder_ScanlineCompressed10InterleaveEPKvmRK8TileInfojjPvmE9funcTable_0
00007ffa400ab040 (__DATA_CONST,__const) non-external __ZZNK30TileDecoder_ScanlineCompressed12ExtractPlaneEPKvmRK11ChannelInfoRK8TileInfoPvmE10kFuncTable
                 (undefined) weak external __ZdaPv (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znam (from libc++)
                 (undefined) weak external __Znwm (from libc++)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa00e89610 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa00e89630 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffa00e88bb0 (__TEXT,__text) non-external (was a private external) ___clang_call_terminate
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_begin_catch (from libc++)
                 (undefined) external ___cxa_end_catch (from libc++)
                 (undefined) external ___cxa_pure_virtual (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___extendhfsf2 (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___truncdfhf2 (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __os_object_alloc (from libSystem)
                 (undefined) external __os_object_dealloc (from libSystem)
00007ffa00e87d67 (__TEXT,__text) external _axr_channel_type_get_name
00007ffa00e87bae (__TEXT,__text) external _axr_compression_get_name
00007ffa400ab430 (__DATA_CONST,__const) non-external _axr_compression_get_name.kCompressionMethodNames
00007ffa00df2caa (__TEXT,__text) external _axr_data_create
00007ffa00e89060 (__TEXT,__text) external _axr_data_get_channel_count
00007ffa00ea7cca (__TEXT,__text) non-external _axr_data_get_channel_count.cold.1
00007ffa00e890a0 (__TEXT,__text) external _axr_data_get_channel_info
00007ffa00ea7d1a (__TEXT,__text) non-external _axr_data_get_channel_info.cold.1
00007ffa00ea7d57 (__TEXT,__text) non-external _axr_data_get_channel_info.cold.2
00007ffa00e89276 (__TEXT,__text) external _axr_data_get_layer_count
00007ffa00ea7f11 (__TEXT,__text) non-external _axr_data_get_layer_count.cold.1
00007ffa00e892b9 (__TEXT,__text) external _axr_data_get_layer_info
00007ffa00ea7f61 (__TEXT,__text) non-external _axr_data_get_layer_info.cold.1
00007ffa00ea7f9e (__TEXT,__text) non-external _axr_data_get_layer_info.cold.2
00007ffa00e8932e (__TEXT,__text) external _axr_data_get_level_count
00007ffa00ea7fee (__TEXT,__text) non-external _axr_data_get_level_count.cold.1
00007ffa00e89378 (__TEXT,__text) external _axr_data_get_level_size
00007ffa00ea803e (__TEXT,__text) non-external _axr_data_get_level_size.cold.1
00007ffa00e8904e (__TEXT,__text) external _axr_data_get_part_count
00007ffa00e89120 (__TEXT,__text) external _axr_data_get_part_info
00007ffa00ea7da7 (__TEXT,__text) non-external _axr_data_get_part_info.cold.1
00007ffa00ea7de4 (__TEXT,__text) non-external _axr_data_get_part_info.cold.2
00007ffa00e891f8 (__TEXT,__text) external _axr_data_get_property
00007ffa00ea7e84 (__TEXT,__text) non-external _axr_data_get_property.cold.1
00007ffa00ea7ec1 (__TEXT,__text) non-external _axr_data_get_property.cold.2
00007ffa00e891b4 (__TEXT,__text) external _axr_data_get_property_count
00007ffa00ea7e34 (__TEXT,__text) non-external _axr_data_get_property_count.cold.1
00007ffa00e93ffa (__TEXT,__text) external _axr_decoder_append_channel
00007ffa00ea8383 (__TEXT,__text) non-external _axr_decoder_append_channel.cold.1
00007ffa00ea83d3 (__TEXT,__text) non-external _axr_decoder_append_channel.cold.2
00007ffa00e942d5 (__TEXT,__text) external _axr_decoder_append_constant_value_channel
00007ffa00e93fc5 (__TEXT,__text) external _axr_decoder_clear_channel_list
00007ffa00e93580 (__TEXT,__text) external _axr_decoder_copy
00007ffa00e9362c (__TEXT,__text) external _axr_decoder_create
00007ffa00ea82c0 (__TEXT,__text) non-external _axr_decoder_create.cold.1
00007ffa00ea8323 (__TEXT,__text) non-external _axr_decoder_create.cold.2
00007ffa00e94331 (__TEXT,__text) external _axr_decoder_create_colorspace
00007ffa00e9375b (__TEXT,__text) external _axr_decoder_create_rgba
00007ffa00e94402 (__TEXT,__text) external _axr_decoder_create_rgba_colorspace
00007ffa00e94328 (__TEXT,__text) external _axr_decoder_get_channel_count
00007ffa00e9460d (__TEXT,__text) external _axr_decoder_get_channel_info
00007ffa00ea8513 (__TEXT,__text) non-external _axr_decoder_get_channel_info.cold.1
00007ffa00ea8563 (__TEXT,__text) non-external _axr_decoder_get_channel_info.cold.2
00007ffa00e947b1 (__TEXT,__text) external _axr_decoder_get_data
00007ffa00e9452d (__TEXT,__text) external _axr_decoder_get_info
00007ffa00ea84c3 (__TEXT,__text) non-external _axr_decoder_get_info.cold.1
00007ffa00e893db (__TEXT,__text) external _axr_decoder_read_pixels
00007ffa00e89585 (__TEXT,__text) external _axr_decoder_read_planes
00007ffa00e894b4 (__TEXT,__text) external _axr_decoder_read_rgba_pixels
00007ffa00e94145 (__TEXT,__text) external _axr_decoder_set_subregion
00007ffa00ea8423 (__TEXT,__text) non-external _axr_decoder_set_subregion.cold.1
00007ffa00e944eb (__TEXT,__text) external _axr_decoder_translate_channel_index
00007ffa00e8d9b5 (__TEXT,__text) external _axr_encoder_append_part
00007ffa00ea81b5 (__TEXT,__text) non-external _axr_encoder_append_part.cold.1
00007ffa00e8da50 (__TEXT,__text) external _axr_encoder_compress
00007ffa00e8d97b (__TEXT,__text) external _axr_encoder_create
00007ffa00e87a94 (__TEXT,__text) external _axr_error_get_name
00007ffa400ab390 (__DATA_CONST,__const) non-external _axr_error_get_name.kErrorNames
00007ffa00e87ab6 (__TEXT,__text) external _axr_flags_get_name
00007ffa400ab410 (__DATA_CONST,__const) non-external _axr_flags_get_name.kFlagNames
00007ffa00e87c67 (__TEXT,__text) external _axr_get_version
00007ffa41c3fff8 (__DATA,__bss) non-external _axr_get_version.version
00007ffa00e889a0 (__TEXT,__text) external _axr_introspect_data
00007ffa00e96ddb (__TEXT,__text) non-external (was a private external) _axr_introspect_data__Assert_file_data_is_as_big_as_claimed
00007ffa00e96db3 (__TEXT,__text) non-external (was a private external) _axr_introspect_data__Assert_file_exists_and_nonnull
00007ffa00e96dc6 (__TEXT,__text) non-external (was a private external) _axr_introspect_data__Assert_file_header_is_as_big_as_claimed
00007ffa00e87c47 (__TEXT,__text) external _axr_level_mode_get_name
00007ffa400ab4b0 (__DATA_CONST,__const) non-external _axr_level_mode_get_name.kLevelMode
00007ffa00e87d87 (__TEXT,__text) external _axr_line_order_get_name
00007ffa400ab5b0 (__DATA_CONST,__const) non-external _axr_line_order_get_name.kLineOrderNames
00007ffa00e898d6 (__TEXT,__text) external _axr_part_append_attribute
00007ffa00e89d4c (__TEXT,__text) external _axr_part_append_channels
00007ffa00e89cc5 (__TEXT,__text) external _axr_part_create_colorspace
00007ffa00e89660 (__TEXT,__text) external _axr_part_get_rip_level_counts
00007ffa00e8a06d (__TEXT,__text) external _axr_part_get_tile_size
00007ffa00e89678 (__TEXT,__text) external _axr_part_set_chromaticities
00007ffa00ea8100 (__TEXT,__text) non-external _axr_part_set_chromaticities.cold.1
00007ffa00e897c8 (__TEXT,__text) external _axr_part_set_preview
00007ffa00e87bee (__TEXT,__text) external _axr_property_flags_get_name
00007ffa00e87bce (__TEXT,__text) external _axr_type_get_name
00007ffa00e87c2b (__TEXT,__text) external _axr_type_get_size
                 (undefined) external _calloc (from libSystem)
00007ffa41c40048 (__DATA,__common) non-external (was a private external) _cfArrayCreate
00007ffa41c40050 (__DATA,__common) non-external (was a private external) _cfDataCreate
00007ffa41c40038 (__DATA,__common) non-external (was a private external) _cfDictionaryAddValue
00007ffa41c40058 (__DATA,__common) non-external (was a private external) _cfDictionaryCreate
00007ffa41c40030 (__DATA,__common) non-external (was a private external) _cfDictionaryCreateMutable
00007ffa41c40060 (__DATA,__common) non-external (was a private external) _cfDictionaryCreateMutableCopy
00007ffa41c40068 (__DATA,__common) non-external (was a private external) _cfDictionaryGetCount
00007ffa41c40020 (__DATA,__common) non-external (was a private external) _cfDictionaryGetTypeID
00007ffa41c40018 (__DATA,__common) non-external (was a private external) _cfGetTypeID
00007ffa41c40040 (__DATA,__common) non-external (was a private external) _cfNumberCreate
00007ffa41c40028 (__DATA,__common) non-external (was a private external) _cfRelease
00007ffa41c40080 (__DATA,__common) non-external (was a private external) _cgColorSpaceCreateWithColorSyncProfile
00007ffa41c40078 (__DATA,__common) non-external (was a private external) _cgColorSpaceCreateWithName
00007ffa41c400b8 (__DATA,__common) non-external (was a private external) _colorsyncMakeProfile
00007ffa41c400c8 (__DATA,__common) non-external (was a private external) _colorsyncProfileCreateMutableCopy
00007ffa41c400c0 (__DATA,__common) non-external (was a private external) _colorsyncProfileCreateWithName
00007ffa41c400d8 (__DATA,__common) non-external (was a private external) _colorsyncProfileRemoveTag
00007ffa41c400e0 (__DATA,__common) non-external (was a private external) _colorsyncProfileSetDescriptionTag
00007ffa41c400d0 (__DATA,__common) non-external (was a private external) _colorsyncProfileSetTag
                 (undefined) external _compress (from libz)
                 (undefined) external _compressBound (from libz)
                 (undefined) external _compression_decode_buffer (from libcompression)
                 (undefined) external _dispatch_apply_f (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once_f (from libSystem)
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fmaf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _getenv (from libSystem)
00007ffa41c400f0 (__DATA,__common) non-external (was a private external) _kDefaultAXRLogFlags
00007ffa400ab490 (__DATA_CONST,__const) non-external _kPropertiesFlagsNames
00007ffa400ab470 (__DATA_CONST,__const) non-external _kSampleTypeNames
00007ffa41c40070 (__DATA,__common) non-external (was a private external) _kcfBooleanTrue
00007ffa41c400a0 (__DATA,__common) non-external (was a private external) _kcfDictionaryKeyCallBacks
