0000000182cbb2a8 (__DATA,__data) non-external _C
0000000180b87594 (__TEXT,__text) non-external _tre_search_cnames
0000000180b81238 (__TEXT,__text) non-external _tre_set_empty
0000000180b811c0 (__TEXT,__text) non-external _tre_set_one
0000000180b81274 (__TEXT,__text) non-external _tre_set_union
0000000180b87764 (__TEXT,__text) external _tre_stack_destroy
0000000180b876d8 (__TEXT,__text) external _tre_stack_new
0000000180b877a0 (__TEXT,__text) external _tre_stack_num_objects
0000000180b87880 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
0000000180b8789c (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180b877b0 (__TEXT,__text) non-external _tre_stack_push
0000000180b877a8 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
0000000180b8787c (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
0000000180b81b48 (__TEXT,__text) external _tre_tnfa_run_backtrack
0000000180b83bdc (__TEXT,__text) external _tre_tnfa_run_parallel
0000000180b759e0 (__TEXT,__text) non-external _trecurse
0000000180b75918 (__TEXT,__text) external _tsearch
0000000180b43b04 (__TEXT,__text) external _ttyname
0000000182cbd0a8 (__DATA,__bss) non-external _ttyname_init
0000000182cbd0b0 (__DATA,__bss) non-external _ttyname_key
0000000182cbb928 (__DATA,__data) non-external _ttyname_lock
0000000180b43c34 (__TEXT,__text) external _ttyname_r
0000000180b43d08 (__TEXT,__text) external _ttyslot
0000000180b759cc (__TEXT,__text) external _twalk
0000000180b66074 (__TEXT,__text) non-external _typesequiv
0000000180b63f90 (__TEXT,__text) non-external _tzload
0000000182cbbf48 (__DATA,__data) external _tzname
0000000180b64870 (__TEXT,__text) non-external _tzparse
0000000180b64f90 (__TEXT,__text) external _tzset
0000000180b63ca4 (__TEXT,__text) external _tzsetwall
0000000180b63cac (__TEXT,__text) non-external _tzsetwall_basic
0000000180b43d10 (__TEXT,__text) external _ualarm
0000000182cbbdb8 (__DATA,__data) non-external _uglue
0000000180b43d9c (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180b29100 (__TEXT,__text) external _uname
0000000180b8d150 (__TEXT,__const) non-external _unbound_variable_str
0000000180b23920 (__TEXT,__text) non-external _underflow
0000000180b57fe8 (__TEXT,__text) external _ungetc
0000000180b582cc (__TEXT,__text) external _ungetwc
0000000180b5834c (__TEXT,__text) external _ungetwc_l
0000000182cbce29 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
0000000180b75c94 (__TEXT,__text) external _unlockpt
0000000180b73ee4 (__TEXT,__text) external _unsetenv
0000000180b43e34 (__TEXT,__text) external _unvis
0000000180b8a4bc (__TEXT,__text) non-external _unvis.cold.1
0000000180b8a4e8 (__TEXT,__text) non-external _unvis.cold.2
0000000180b2bf5c (__TEXT,__text) external _uselocale
0000000180b87b48 (__TEXT,__text) external _usleep
0000000180b44564 (__TEXT,__text) external _usleep$NOCANCEL
0000000182cbe0f0 (__DATA,__bss) non-external _usual
0000000182cbd320 (__DATA,__bss) non-external _usual_extra
0000000180b445b4 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
0000000180b2da80 (__TEXT,__text) external _uuid_clear
0000000180b2da88 (__TEXT,__text) external _uuid_compare
0000000180b2db48 (__TEXT,__text) external _uuid_copy
0000000180b2df0c (__TEXT,__text) external _uuid_generate
0000000180b2de6c (__TEXT,__text) external _uuid_generate_random
0000000180b2db64 (__TEXT,__text) external _uuid_generate_time
0000000182cbcf60 (__DATA,__bss) non-external _uuid_generate_time.has_init
0000000182cbcf58 (__DATA,__bss) non-external _uuid_generate_time.node_id
0000000180b2df10 (__TEXT,__text) external _uuid_is_null
0000000180b2df38 (__TEXT,__text) external _uuid_pack
0000000180b2df88 (__TEXT,__text) external _uuid_parse
0000000180b2e0e4 (__TEXT,__text) external _uuid_unpack
0000000180b2e204 (__TEXT,__text) external _uuid_unparse
0000000180b2e134 (__TEXT,__text) external _uuid_unparse_lower
0000000180b2e19c (__TEXT,__text) external _uuid_unparse_upper
0000000180c99198 (__DATA_CONST,__const) non-external _validlist
0000000180b5858c (__TEXT,__text) external _vasprintf
0000000180b58570 (__TEXT,__text) external _vasprintf_l
0000000180b2ca84 (__TEXT,__text) external _vasxprintf
0000000180b2d49c (__TEXT,__text) external _vasxprintf_exec
0000000180b58724 (__TEXT,__text) external _vdprintf
0000000180b58708 (__TEXT,__text) external _vdprintf_l
0000000180b2ca9c (__TEXT,__text) external _vdxprintf
0000000180b2d4b8 (__TEXT,__text) external _vdxprintf_exec
0000000180b8a12c (__TEXT,__text) external _verr
0000000180b8a034 (__TEXT,__text) external _verrc
0000000180b8a1a4 (__TEXT,__text) external _verrx
0000000180b2e53c (__TEXT,__text) external _vfork
0000000180b5881c (__TEXT,__text) external _vfprintf
0000000180b5875c (__TEXT,__text) external _vfprintf_l
0000000180b5bd00 (__TEXT,__text) external _vfscanf
0000000180b5da14 (__TEXT,__text) external _vfscanf_l
0000000180b6076c (__TEXT,__text) external _vfwprintf
0000000180b5dc58 (__TEXT,__text) external _vfwprintf_l
0000000180b60f84 (__TEXT,__text) external _vfwscanf
0000000180b627ec (__TEXT,__text) external _vfwscanf_l
0000000180b2cab4 (__TEXT,__text) external _vfxprintf
0000000180b2d4d4 (__TEXT,__text) external _vfxprintf_exec
0000000180b44e60 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
0000000180b62888 (__TEXT,__text) external _vprintf
0000000180b628c0 (__TEXT,__text) external _vprintf_l
0000000180b628dc (__TEXT,__text) external _vscanf
0000000180b62958 (__TEXT,__text) external _vscanf_l
0000000180b62b08 (__TEXT,__text) external _vsnprintf
0000000180b62ae8 (__TEXT,__text) external _vsnprintf_l
0000000180b62c44 (__TEXT,__text) external _vsprintf
0000000180b62b44 (__TEXT,__text) external _vsprintf_l
0000000180b62e20 (__TEXT,__text) external _vsscanf
0000000180b62c70 (__TEXT,__text) external _vsscanf_l
0000000180b63050 (__TEXT,__text) external _vswprintf
0000000180b62e4c (__TEXT,__text) external _vswprintf_l
0000000180b63250 (__TEXT,__text) external _vswscanf
0000000180b6307c (__TEXT,__text) external _vswscanf_l
0000000180b2cacc (__TEXT,__text) external _vsxprintf
0000000180b2d4f0 (__TEXT,__text) external _vsxprintf_exec
0000000180b8a370 (__TEXT,__text) external _vwarn
0000000180b8a2b0 (__TEXT,__text) external _vwarnc
0000000180b8a40c (__TEXT,__text) external _vwarnx
0000000180b6327c (__TEXT,__text) external _vwprintf
0000000180b632b4 (__TEXT,__text) external _vwprintf_l
0000000180b632d0 (__TEXT,__text) external _vwscanf
0000000180b63308 (__TEXT,__text) external _vwscanf_l
0000000180b2caf0 (__TEXT,__text) external _vxprintf
0000000180b2d514 (__TEXT,__text) external _vxprintf_exec
0000000180b87b98 (__TEXT,__text) external _wait
0000000180b4592c (__TEXT,__text) external _wait$NOCANCEL
0000000180b45940 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
0000000180b87bac (__TEXT,__text) external _waitpid
0000000180b45954 (__TEXT,__text) external _waitpid$NOCANCEL
0000000180b8a26c (__TEXT,__text) external _warn
0000000180b8a3b4 (__TEXT,__text) external _warnc
0000000180b8a3e0 (__TEXT,__text) external _warnx
0000000180b6acf0 (__TEXT,__text) external _wcpcpy
0000000180b6ad10 (__TEXT,__text) external _wcpncpy
0000000180b4ca6c (__TEXT,__text) external _wcrtomb
0000000180b4ca2c (__TEXT,__text) external _wcrtomb_l
0000000180b6ae28 (__TEXT,__text) external _wcscasecmp
0000000180b6ad80 (__TEXT,__text) external _wcscasecmp_l
0000000180b6ae4c (__TEXT,__text) external _wcscat
0000000180b6ae74 (__TEXT,__text) external _wcschr
0000000180b6ae94 (__TEXT,__text) external _wcscmp
0000000180b6b32c (__TEXT,__text) external _wcscoll
0000000180b6aebc (__TEXT,__text) external _wcscoll_l
0000000180b6b350 (__TEXT,__text) external _wcscpy
0000000180b6be38 (__TEXT,__text) external _wcscspn
0000000180b6be7c (__TEXT,__text) external _wcsdup
0000000180b4ccb0 (__TEXT,__text) external _wcsftime
0000000180b4cab0 (__TEXT,__text) external _wcsftime_l
0000000180b6bee4 (__TEXT,__text) external _wcslcat
0000000180b6bf8c (__TEXT,__text) external _wcslcpy
0000000180b6bfdc (__TEXT,__text) external _wcslen
0000000180b6c0c4 (__TEXT,__text) external _wcsncasecmp
0000000180b6bff8 (__TEXT,__text) external _wcsncasecmp_l
0000000180b6c0e8 (__TEXT,__text) external _wcsncat
0000000180b6c12c (__TEXT,__text) external _wcsncmp
0000000180b6c168 (__TEXT,__text) external _wcsncpy
0000000180b6c1d0 (__TEXT,__text) external _wcsnlen
0000000180b4cd14 (__TEXT,__text) external _wcsnrtombs
0000000180b4ccd4 (__TEXT,__text) external _wcsnrtombs_l
0000000180b6c200 (__TEXT,__text) external _wcspbrk
0000000180b6c238 (__TEXT,__text) external _wcsrchr
0000000180b4cfa0 (__TEXT,__text) external _wcsrtombs
0000000180b4cf54 (__TEXT,__text) external _wcsrtombs_l
0000000180b6c25c (__TEXT,__text) external _wcsspn
0000000180b6c658 (__TEXT,__text) external _wcsstr
0000000180b4d278 (__TEXT,__text) external _wcstod
0000000180b4d054 (__TEXT,__text) external _wcstod_l
0000000180b4d4c0 (__TEXT,__text) external _wcstof
0000000180b4d29c (__TEXT,__text) external _wcstof_l
0000000180b4d724 (__TEXT,__text) external _wcstoimax
0000000180b4d4e4 (__TEXT,__text) external _wcstoimax_l
0000000180b6c6e0 (__TEXT,__text) external _wcstok
0000000180b4d988 (__TEXT,__text) external _wcstol
0000000180b4d748 (__TEXT,__text) external _wcstol_l
0000000180b4dbd0 (__TEXT,__text) external _wcstold
0000000180b4d9ac (__TEXT,__text) external _wcstold_l
0000000180b4de34 (__TEXT,__text) external _wcstoll
0000000180b4dbf4 (__TEXT,__text) external _wcstoll_l
0000000180b4df00 (__TEXT,__text) external _wcstombs
0000000180b4de58 (__TEXT,__text) external _wcstombs_l
0000000180b4e1e4 (__TEXT,__text) external _wcstoul
0000000180b4dfa8 (__TEXT,__text) external _wcstoul_l
0000000180b4e444 (__TEXT,__text) external _wcstoull
0000000180b4e208 (__TEXT,__text) external _wcstoull_l
0000000180b4e6a4 (__TEXT,__text) external _wcstoumax
0000000180b4e468 (__TEXT,__text) external _wcstoumax_l
0000000180b6c7f4 (__TEXT,__text) external _wcswidth
0000000180b6c764 (__TEXT,__text) external _wcswidth_l
0000000180b6c928 (__TEXT,__text) external _wcsxfrm
0000000180b6c818 (__TEXT,__text) external _wcsxfrm_l
0000000180b4e784 (__TEXT,__text) external _wctob
0000000180b4e6c8 (__TEXT,__text) external _wctob_l
0000000180b4e824 (__TEXT,__text) external _wctomb
0000000180b4e7a8 (__TEXT,__text) external _wctomb_l
0000000180b4e9a8 (__TEXT,__text) external _wctrans
0000000180b4ea44 (__TEXT,__text) external _wctrans_l
0000000180b4eb50 (__TEXT,__text) external _wctype
0000000180b4ea48 (__TEXT,__text) external _wctype_l
0000000180c99530 (__DATA_CONST,__const) non-external _wctype_l.props
0000000180b4eb74 (__TEXT,__text) external _wcwidth
0000000180b4ebf4 (__TEXT,__text) external _wcwidth_l
0000000180b6bdbc (__TEXT,__text) non-external _we_read_fully
0000000180b8d048 (__TEXT,__const) non-external _wildabbr
0000000180b6c94c (__TEXT,__text) external _wmemchr
0000000180b6c970 (__TEXT,__text) external _wmemcmp
0000000180b6c9a8 (__TEXT,__text) external _wmemcpy
0000000180b6c9b0 (__TEXT,__text) external _wmemmove
0000000180b6c9b8 (__TEXT,__text) external _wmemset
0000000180b63a80 (__TEXT,__text) non-external _wmemstream_close
0000000180b639cc (__TEXT,__text) non-external _wmemstream_seek
0000000180b8a9a4 (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180b8a9d0 (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180b637ac (__TEXT,__text) non-external _wmemstream_update
0000000180b8a978 (__TEXT,__text) non-external _wmemstream_update.cold.1
0000000180b637e0 (__TEXT,__text) non-external _wmemstream_write
0000000180b6b368 (__TEXT,__text) external _wordexp
0000000180b6bd74 (__TEXT,__text) external _wordfree
0000000180b6341c (__TEXT,__text) external _wprintf
0000000180b63478 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180b634b8 (__TEXT,__text) external _wscanf
0000000180b63514 (__TEXT,__text) external _wscanf_l
0000000180b2ca3c (__TEXT,__text) external _xprintf
0000000182cbcf50 (__DATA,__bss) non-external _xprintf_domain_default
0000000180b2d458 (__TEXT,__text) external _xprintf_exec
0000000180b8d050 (__TEXT,__const) non-external _year_lengths
0000000182cbce90 (__DATA,__bss) non-external _zapchar
0000000180b8ceaf (__TEXT,__const) non-external _zeroes
0000000180b8cfa0 (__TEXT,__const) non-external _zeroes
0000000182cbc110 (__DATA,__data) non-external _zeroes
