00000002265c04a8 (__TEXT,__text) non-external _DiToMD5
00000002265d2d64 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000002265d2d90 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00000002265d2dbc (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00000002265d2de8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.7
00000002265d0c38 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00000002265d0cc0 (__TEXT,__text) non-external __ZL16OSMappedFile_NewP11OSMetaClass
00000002265a1968 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject
00000002265d2468 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject.cold.1
00000002265d13d4 (__TEXT,__text) non-external __ZL16OSOrderedSet_NewP11OSMetaClass
00000002265a0f98 (__TEXT,__text) non-external __ZL16getCFEncodedDataP12parser_statePj
00000002265c1cb4 (__TEXT,__text) non-external __ZL17IOCommandPool_NewP11OSMetaClass
00000002265c76e4 (__TEXT,__text) non-external __ZL18IOReportLegend_NewP11OSMetaClass
00000002265a9698 (__TEXT,__text) non-external __ZL18OSObjectQueueIndexP8OSObjectPKc
000000022659f960 (__TEXT,__text) non-external __ZL18OSUnserializeerrorP12parser_statePKc
00000002265c3934 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
00000002265c7614 (__TEXT,__text) non-external __ZL19IOStateReporter_NewP11OSMetaClass
00000002265af054 (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
00000002265af9b0 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
00000002265d43c8 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
00000002265d43f4 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
00000002265afa0c (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
00000002265d4420 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
00000002265d444c (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
00000002265d4478 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
00000002265d44a4 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
00000002265d145c (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
0000000298ddfed0 (__DATA_DIRTY,__bss) non-external __ZL19OSUniqueStringsLock
00000002265bbb78 (__TEXT,__text) non-external __ZL19channelListWithDataP6OSData
00000002949c4c68 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
00000002265c3e74 (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00000002265c75ac (__TEXT,__text) non-external __ZL20IOSimpleReporter_NewP11OSMetaClass
00000002265af114 (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
00000002265aec64 (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
00000002265a3c74 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
00000002265d2ec4 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
00000002265d2f04 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
00000002265b1690 (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
00000002265a5a90 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec
00000002265d3608 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.1
00000002265d3634 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.2
00000002265d3660 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.3
00000002265d6430 (__TEXT,__const) non-external __ZL21__CFPLDataDecodeTable
00000002265c686c (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
00000002265c767c (__TEXT,__text) non-external __ZL23IOHistogramReporter_NewP11OSMetaClass
00000002265af28c (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
00000002265afef0 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry
00000002265d45d8 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.1
00000002265d4604 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.2
00000002949c4c50 (__DATA,__bss) non-external __ZL23gIOExecutableSDKVersion
00000002265c4e20 (__TEXT,__text) non-external __ZL24IOExtensiblePaniclog_NewP11OSMetaClass
00000002265db2b0 (__TEXT,__const) non-external __ZL24OSClassDescription_OSSet
00000002265ae4b8 (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
00000002265cd94c (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00000002265da8d8 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
00000002265ae574 (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
00000002265b2b64 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
00000002265d47e8 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
00000002265d4814 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
00000002265d4840 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
00000002265d15b4 (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
00000002265a5a2c (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy
00000002265d35dc (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy.cold.1
00000002265da220 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
00000002265db970 (__TEXT,__const) non-external __ZL27OSClassDescription_IOThread
00000002265da0a8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00000002265da4d0 (__TEXT,__const) non-external __ZL27OSClassDescription_OSBundle
00000002265dace0 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
00000002265dae80 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
00000002265db408 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
00000002265a0064 (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
00000002265c1768 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
00000002265a5570 (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
00000002265d6d58 (__TEXT,__const) non-external __ZL28OSClassDescription_IOCommand
00000002265d8fe0 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
00000002265da378 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
00000002265aeb74 (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00000002265ae7a4 (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
00000002265d423c (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_.cold.1
00000002265c2900 (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
00000002265c5ca8 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00000002265d83d0 (__TEXT,__const) non-external __ZL29OSClassDescription_IOReporter
00000002265aed0c (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
00000002265d7980 (__TEXT,__const) non-external __ZL30OSClassDescription_IOEventLink
00000002265d8248 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
00000002265d9ec0 (__TEXT,__const) non-external __ZL30OSClassDescription_IOWorkGroup
00000002265da780 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
00000002265b2880 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
00000002265d470c (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.1
00000002265d4738 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.2
00000002265d4764 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.3
00000002265d4790 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.4
00000002265ada2c (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj
00000002265d402c (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj.cold.1
00000002265a6320 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv
00000002265d36e4 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv.cold.1
00000002265d70d8 (__TEXT,__const) non-external __ZL31OSClassDescription_IODMACommand
00000002265d98d8 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserClient
00000002265d9cd0 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserServer
00000002265da628 (__TEXT,__const) non-external __ZL31OSClassDescription_OSCollection
00000002265daa30 (__TEXT,__const) non-external __ZL31OSClassDescription_OSDictionary
00000002265dab88 (__TEXT,__const) non-external __ZL31OSClassDescription_OSMappedFile
00000002265daff8 (__TEXT,__const) non-external __ZL31OSClassDescription_OSOrderedSet
00000002265aee6c (__TEXT,__text) non-external __ZL31OSCollectionEntryGetUInt64ValueP15OSSerialization17OSCollectionEntry
00000002265d6eb0 (__TEXT,__const) non-external __ZL32OSClassDescription_IOCommandPool
00000002949c4c54 (__DATA,__bss) non-external __ZL32gIOTimerInterruptDispatchLeakFix
00000002265d88d0 (__TEXT,__const) non-external __ZL33OSClassDescription_IOReportLegend
00000002265d7560 (__TEXT,__const) non-external __ZL34OSClassDescription_IODispatchQueue
00000002265d8650 (__TEXT,__const) non-external __ZL34OSClassDescription_IOStateReporter
00000002265db150 (__TEXT,__const) non-external __ZL34OSClassDescription_OSSerialization
00000002265d7778 (__TEXT,__const) non-external __ZL35OSClassDescription_IODispatchSource
00000002265d8510 (__TEXT,__const) non-external __ZL35OSClassDescription_IOSimpleReporter
00000002265d8088 (__TEXT,__const) non-external __ZL37OSClassDescription_IOMemoryDescriptor
00000002265d8790 (__TEXT,__const) non-external __ZL38OSClassDescription_IOHistogramReporter
00000002265cc69c (__TEXT,__text) non-external __ZL39IOServiceNotificationDispatchSource_NewP11OSMetaClass
00000002265d7c08 (__TEXT,__const) non-external __ZL39OSClassDescription_IOExtensiblePaniclog
00000002265ad778 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj
00000002265d3fa8 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.1
00000002265d3fd4 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.2
00000002265d4000 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.3
00000002265d9688 (__TEXT,__const) non-external __ZL40OSClassDescription_IOTimerDispatchSource
00000002265db5e0 (__TEXT,__const) non-external __ZL40OSClassDescription__IOBlockStorageDevice
00000002265cf210 (__TEXT,__text) non-external __ZL42OSAction_IOUserClient_KernelCompletion_NewP11OSMetaClass
00000002265d6ba8 (__TEXT,__const) non-external __ZL43OSClassDescription_IOBufferMemoryDescriptor
00000002265cd044 (__TEXT,__text) non-external __ZL44IOServiceStateNotificationDispatchSource_NewP11OSMetaClass
00000002265d7370 (__TEXT,__const) non-external __ZL44OSClassDescription_IODataQueueDispatchSource
00000002265d7e48 (__TEXT,__const) non-external __ZL44OSClassDescription_IOInterruptDispatchSource
00000002265d5fef (__TEXT,__const) non-external __ZL4yyr1
00000002265d5fce (__TEXT,__const) non-external __ZL4yyr2
00000002265d1f14 (__TEXT,__text) non-external __ZL51OSAction__IOBlockStorageDevice_KernelCompletion_NewP11OSMetaClass
00000002265d91d8 (__TEXT,__const) non-external __ZL54OSClassDescription_IOServiceNotificationDispatchSource
00000002265d9a58 (__TEXT,__const) non-external __ZL57OSClassDescription_OSAction_IOUserClient_KernelCompletion
00000002265d9428 (__TEXT,__const) non-external __ZL59OSClassDescription_IOServiceStateNotificationDispatchSource
00000002265db720 (__TEXT,__const) non-external __ZL66OSClassDescription_OSAction__IOBlockStorageDevice_KernelCompletion
00000002265acad8 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_
00000002265d3e74 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.1
00000002265d3ea0 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.2
00000002265a0918 (__TEXT,__text) non-external __ZL6getTagP12parser_statePcPiPA32_cS4_
00000002265d5d98 (__TEXT,__const) non-external __ZL6yypact
00000002949c4c60 (__DATA,__bss) non-external __ZL7gServer
00000002265d5ecc (__TEXT,__const) non-external __ZL7yycheck
00000002265d6010 (__TEXT,__const) non-external __ZL7yypgoto
00000002265d5f39 (__TEXT,__const) non-external __ZL7yytable
00000002265bfb08 (__TEXT,__text) non-external __ZL8deepcopyP7OSArray
00000002265c0080 (__TEXT,__text) non-external __ZL8deepcopyP8OSObject
00000002265d5fa6 (__TEXT,__const) non-external __ZL8yydefact
00000002265a2ea0 (__TEXT,__text) non-external __ZL9DidActionP8OSAction
00000002265d29c8 (__TEXT,__text) non-external __ZL9DidActionP8OSAction.cold.1
00000002265d14c4 (__TEXT,__text) non-external __ZL9OSSet_NewP11OSMetaClass
00000002265a1518 (__TEXT,__text) non-external __ZL9argnumcpyxPvj
00000002265d6030 (__TEXT,__const) non-external __ZL9crc32_tab
00000002949c4840 (__DATA,__bss) non-external __ZL9gBootArgs
00000002265a11ac (__TEXT,__text) non-external __ZL9getNumberP12parser_state
00000002265a12d0 (__TEXT,__text) non-external __ZL9getStringP12parser_statePi
00000002265a0d54 (__TEXT,__text) non-external __ZL9newObjectP12parser_state
00000002265d601f (__TEXT,__const) non-external __ZL9yydefgoto
00000002265bc4ec (__TEXT,__text) external __ZN10IOReporter10addChannelEyPKc
00000002265d4944 (__TEXT,__text) non-external __ZN10IOReporter10addChannelEyPKc.cold.1
00000002265bc784 (__TEXT,__text) external __ZN10IOReporter12createLegendEv
00000002265bc0bc (__TEXT,__text) external __ZN10IOReporter12updateReportEP19IOReportChannelListjRjRPhRm
00000002265bbc68 (__TEXT,__text) external __ZN10IOReporter15configureReportEP19IOReportChannelListjRj
00000002265bbdb4 (__TEXT,__text) external __ZN10IOReporter16updateAllReportsEP12OSCollectionP6OSDatajPjyyP18IOMemoryDescriptor
00000002265bb9f4 (__TEXT,__text) external __ZN10IOReporter19configureAllReportsEP12OSCollectionP6OSDatajPj
00000002265bc368 (__TEXT,__text) external __ZN10IOReporter4freeEv
00000002265abc68 (__TEXT,__text) external __ZN11IOEventLink10InvalidateEv
00000002265c4950 (__TEXT,__text) external __ZN11IOEventLink11Create_CallEP8OSStringP12IOUserClientPPS_
00000002265abf68 (__TEXT,__text) external __ZN11IOEventLink12DisassociateEv
00000002265c4c40 (__TEXT,__text) external __ZN11IOEventLink13Create_InvokeE5IORPCPFiP8OSStringP12IOUserClientPPS_E
00000002265abd64 (__TEXT,__text) external __ZN11IOEventLink13SignalAndWaitEPy
00000002265c4b5c (__TEXT,__text) external __ZN11IOEventLink16InvalidateKernelEP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00000002265c4a74 (__TEXT,__text) external __ZN11IOEventLink16SetEventlinkPortEjPFiP15OSMetaClassBase5IORPCE
00000002265abdc8 (__TEXT,__text) external __ZN11IOEventLink18SignalAndWaitUntilEyyPy
00000002265abbcc (__TEXT,__text) external __ZN11IOEventLink21SetEventlinkPort_ImplEj
00000002265d3ce8 (__TEXT,__text) non-external __ZN11IOEventLink21SetEventlinkPort_ImplEj.cold.1
00000002265c4d3c (__TEXT,__text) external __ZN11IOEventLink23InvalidateKernel_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12IOUserClientE
00000002265c4864 (__TEXT,__text) external __ZN11IOEventLink23SetEventlinkPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000002265abeb0 (__TEXT,__text) external __ZN11IOEventLink4WaitEPy
00000002265abaec (__TEXT,__text) external __ZN11IOEventLink4freeEv
00000002265aba64 (__TEXT,__text) external __ZN11IOEventLink4initEv
00000002265abce8 (__TEXT,__text) external __ZN11IOEventLink6CancelEv
00000002265ab954 (__TEXT,__text) external __ZN11IOEventLink6CreateEP8OSStringP12IOUserClientPPS_
00000002265abd20 (__TEXT,__text) external __ZN11IOEventLink6SignalEv
00000002265abfac (__TEXT,__text) external __ZN11IOEventLink8ActivateEv
00000002265c4790 (__TEXT,__text) external __ZN11IOEventLink8DispatchE5IORPC
00000002265abf14 (__TEXT,__text) external __ZN11IOEventLink9AssociateEy
00000002265abe3c (__TEXT,__text) external __ZN11IOEventLink9WaitUntilEyyPy
00000002265c47c4 (__TEXT,__text) external __ZN11IOEventLink9_DispatchEPS_5IORPC
00000002265a8af0 (__TEXT,__text) external __ZN11IOMemoryMap10GetAddressEv
00000002265c7384 (__TEXT,__text) external __ZN11IOMemoryMap10_CopyStateEP24_IOMemoryMapPrivateStatePFiP15OSMetaClassBase5IORPCE
00000002265c74ac (__TEXT,__text) external __ZN11IOMemoryMap17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P24_IOMemoryMapPrivateStateE
00000002265a8b80 (__TEXT,__text) external __ZN11IOMemoryMap4freeEv
00000002265a8b08 (__TEXT,__text) external __ZN11IOMemoryMap4initEv
00000002265d39fc (__TEXT,__text) non-external __ZN11IOMemoryMap4initEv.cold.1
00000002265c728c (__TEXT,__text) external __ZN11IOMemoryMap8DispatchE5IORPC
00000002265a8afc (__TEXT,__text) external __ZN11IOMemoryMap9GetLengthEv
00000002265a8bd0 (__TEXT,__text) external __ZN11IOMemoryMap9GetOffsetEv
00000002265c72dc (__TEXT,__text) external __ZN11IOMemoryMap9_DispatchEPS_5IORPC
00000002265ab798 (__TEXT,__text) external __ZN11IOWorkGroup10InvalidateEv
00000002265cfe1c (__TEXT,__text) external __ZN11IOWorkGroup11Create_CallEP8OSStringP12IOUserClientPPS_
00000002265ab8b4 (__TEXT,__text) external __ZN11IOWorkGroup12GetTokenSizeEv
