000000022657b4a8 (__TEXT,__text) non-external _DiToMD5
000000022658dde8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.7
000000022658bc38 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
000000022658bcc0 (__TEXT,__text) non-external __ZL16OSMappedFile_NewP11OSMetaClass
000000022655c968 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject
000000022658d468 (__TEXT,__text) non-external __ZL16OSObjectAllocateP11OSMetaClasstPP8OSObject.cold.1
000000022658c3d4 (__TEXT,__text) non-external __ZL16OSOrderedSet_NewP11OSMetaClass
000000022655bf98 (__TEXT,__text) non-external __ZL16getCFEncodedDataP12parser_statePj
000000022657ccb4 (__TEXT,__text) non-external __ZL17IOCommandPool_NewP11OSMetaClass
00000002265826e4 (__TEXT,__text) non-external __ZL18IOReportLegend_NewP11OSMetaClass
0000000226564698 (__TEXT,__text) non-external __ZL18OSObjectQueueIndexP8OSObjectPKc
000000022655a960 (__TEXT,__text) non-external __ZL18OSUnserializeerrorP12parser_statePKc
000000022657e934 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
0000000226582614 (__TEXT,__text) non-external __ZL19IOStateReporter_NewP11OSMetaClass
000000022656a054 (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
000000022656a9b0 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
000000022658f3c8 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
000000022658f3f4 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
000000022656aa0c (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
000000022658f420 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
000000022658f44c (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
000000022658f478 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
000000022658f4a4 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
000000022658c45c (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
0000000298b8b7f0 (__DATA_DIRTY,__bss) non-external __ZL19OSUniqueStringsLock
0000000226576b78 (__TEXT,__text) non-external __ZL19channelListWithDataP6OSData
000000029462a528 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
000000022657ee74 (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00000002265825ac (__TEXT,__text) non-external __ZL20IOSimpleReporter_NewP11OSMetaClass
000000022656a114 (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
0000000226569c64 (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
000000022655ec74 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
000000022658dec4 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
000000022658df04 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
000000022656c690 (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
0000000226560a90 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec
000000022658e608 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.1
000000022658e634 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.2
000000022658e660 (__TEXT,__text) non-external __ZL21_IODispatchQueueSleepP26IODispatchQueue_LocalIVarsyPv8timespec.cold.3
0000000226591430 (__TEXT,__const) non-external __ZL21__CFPLDataDecodeTable
000000022658186c (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
000000022658267c (__TEXT,__text) non-external __ZL23IOHistogramReporter_NewP11OSMetaClass
000000022656a28c (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
000000022656aef0 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry
000000022658f5d8 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.1
000000022658f604 (__TEXT,__text) non-external __ZL23OSCollectionEntryTypeIDP15OSSerialization17OSCollectionEntry.cold.2
000000029462a510 (__DATA,__bss) non-external __ZL23gIOExecutableSDKVersion
000000022657fe20 (__TEXT,__text) non-external __ZL24IOExtensiblePaniclog_NewP11OSMetaClass
00000002265962b0 (__TEXT,__const) non-external __ZL24OSClassDescription_OSSet
00000002265694b8 (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
000000022658894c (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00000002265958d8 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
0000000226569574 (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
000000022656db64 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
000000022658f7e8 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
000000022658f814 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
000000022658f840 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
000000022658c5b4 (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
0000000226560a2c (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy
000000022658e5dc (__TEXT,__text) non-external __ZL25convert_mach_time_to_nsecPy.cold.1
0000000226595220 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
0000000226596970 (__TEXT,__const) non-external __ZL27OSClassDescription_IOThread
00000002265950a8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00000002265954d0 (__TEXT,__const) non-external __ZL27OSClassDescription_OSBundle
0000000226595ce0 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
0000000226595e80 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
0000000226596408 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
000000022655b064 (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
000000022657c768 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
0000000226560570 (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
0000000226591d58 (__TEXT,__const) non-external __ZL28OSClassDescription_IOCommand
0000000226593fe0 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
0000000226595378 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
0000000226569b74 (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00000002265697a4 (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
000000022658f23c (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_.cold.1
000000022657d900 (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
0000000226580ca8 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00000002265933d0 (__TEXT,__const) non-external __ZL29OSClassDescription_IOReporter
0000000226569d0c (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
0000000226592980 (__TEXT,__const) non-external __ZL30OSClassDescription_IOEventLink
0000000226593248 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
0000000226594ec0 (__TEXT,__const) non-external __ZL30OSClassDescription_IOWorkGroup
0000000226595780 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
000000022656d880 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
000000022658f70c (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.1
000000022658f738 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.2
000000022658f764 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.3
000000022658f790 (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE.cold.4
0000000226568a2c (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj
000000022658f02c (__TEXT,__text) non-external __ZL30OSSerializationGetStringLengthPKj.cold.1
0000000226561320 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv
000000022658e6e4 (__TEXT,__text) non-external __ZL31IOInterruptDispatchSourceThreadPv.cold.1
00000002265920d8 (__TEXT,__const) non-external __ZL31OSClassDescription_IODMACommand
00000002265948d8 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserClient
0000000226594cd0 (__TEXT,__const) non-external __ZL31OSClassDescription_IOUserServer
0000000226595628 (__TEXT,__const) non-external __ZL31OSClassDescription_OSCollection
0000000226595a30 (__TEXT,__const) non-external __ZL31OSClassDescription_OSDictionary
0000000226595b88 (__TEXT,__const) non-external __ZL31OSClassDescription_OSMappedFile
0000000226595ff8 (__TEXT,__const) non-external __ZL31OSClassDescription_OSOrderedSet
0000000226569e6c (__TEXT,__text) non-external __ZL31OSCollectionEntryGetUInt64ValueP15OSSerialization17OSCollectionEntry
0000000226591eb0 (__TEXT,__const) non-external __ZL32OSClassDescription_IOCommandPool
000000029462a514 (__DATA,__bss) non-external __ZL32gIOTimerInterruptDispatchLeakFix
00000002265938d0 (__TEXT,__const) non-external __ZL33OSClassDescription_IOReportLegend
0000000226592560 (__TEXT,__const) non-external __ZL34OSClassDescription_IODispatchQueue
0000000226593650 (__TEXT,__const) non-external __ZL34OSClassDescription_IOStateReporter
0000000226596150 (__TEXT,__const) non-external __ZL34OSClassDescription_OSSerialization
0000000226592778 (__TEXT,__const) non-external __ZL35OSClassDescription_IODispatchSource
0000000226593510 (__TEXT,__const) non-external __ZL35OSClassDescription_IOSimpleReporter
0000000226593088 (__TEXT,__const) non-external __ZL37OSClassDescription_IOMemoryDescriptor
0000000226593790 (__TEXT,__const) non-external __ZL38OSClassDescription_IOHistogramReporter
000000022658769c (__TEXT,__text) non-external __ZL39IOServiceNotificationDispatchSource_NewP11OSMetaClass
0000000226592c08 (__TEXT,__const) non-external __ZL39OSClassDescription_IOExtensiblePaniclog
0000000226568778 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj
000000022658efa8 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.1
000000022658efd4 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.2
000000022658f000 (__TEXT,__text) non-external __ZL39OSCreateObjectFromSerializationInternalP15OSSerializationj.cold.3
0000000226594688 (__TEXT,__const) non-external __ZL40OSClassDescription_IOTimerDispatchSource
00000002265965e0 (__TEXT,__const) non-external __ZL40OSClassDescription__IOBlockStorageDevice
000000022658a210 (__TEXT,__text) non-external __ZL42OSAction_IOUserClient_KernelCompletion_NewP11OSMetaClass
0000000226591ba8 (__TEXT,__const) non-external __ZL43OSClassDescription_IOBufferMemoryDescriptor
0000000226588044 (__TEXT,__text) non-external __ZL44IOServiceStateNotificationDispatchSource_NewP11OSMetaClass
0000000226592370 (__TEXT,__const) non-external __ZL44OSClassDescription_IODataQueueDispatchSource
0000000226592e48 (__TEXT,__const) non-external __ZL44OSClassDescription_IOInterruptDispatchSource
0000000226590fef (__TEXT,__const) non-external __ZL4yyr1
0000000226590fce (__TEXT,__const) non-external __ZL4yyr2
000000022658cf14 (__TEXT,__text) non-external __ZL51OSAction__IOBlockStorageDevice_KernelCompletion_NewP11OSMetaClass
00000002265941d8 (__TEXT,__const) non-external __ZL54OSClassDescription_IOServiceNotificationDispatchSource
0000000226594a58 (__TEXT,__const) non-external __ZL57OSClassDescription_OSAction_IOUserClient_KernelCompletion
0000000226594428 (__TEXT,__const) non-external __ZL59OSClassDescription_IOServiceStateNotificationDispatchSource
0000000226596720 (__TEXT,__const) non-external __ZL66OSClassDescription_OSAction__IOBlockStorageDevice_KernelCompletion
0000000226567ad8 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_
000000022658ee74 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.1
000000022658eea0 (__TEXT,__text) non-external __ZL6ServerPvP17mach_msg_header_tS1_.cold.2
000000022655b918 (__TEXT,__text) non-external __ZL6getTagP12parser_statePcPiPA32_cS4_
0000000226590d98 (__TEXT,__const) non-external __ZL6yypact
000000029462a520 (__DATA,__bss) non-external __ZL7gServer
0000000226590ecc (__TEXT,__const) non-external __ZL7yycheck
0000000226591010 (__TEXT,__const) non-external __ZL7yypgoto
0000000226590f39 (__TEXT,__const) non-external __ZL7yytable
000000022657ab08 (__TEXT,__text) non-external __ZL8deepcopyP7OSArray
000000022657b080 (__TEXT,__text) non-external __ZL8deepcopyP8OSObject
0000000226590fa6 (__TEXT,__const) non-external __ZL8yydefact
000000022655dea0 (__TEXT,__text) non-external __ZL9DidActionP8OSAction
000000022658d9c8 (__TEXT,__text) non-external __ZL9DidActionP8OSAction.cold.1
000000022658c4c4 (__TEXT,__text) non-external __ZL9OSSet_NewP11OSMetaClass
000000022655c518 (__TEXT,__text) non-external __ZL9argnumcpyxPvj
0000000226591030 (__TEXT,__const) non-external __ZL9crc32_tab
000000029462a100 (__DATA,__bss) non-external __ZL9gBootArgs
000000022655c1ac (__TEXT,__text) non-external __ZL9getNumberP12parser_state
000000022655c2d0 (__TEXT,__text) non-external __ZL9getStringP12parser_statePi
000000022655bd54 (__TEXT,__text) non-external __ZL9newObjectP12parser_state
000000022659101f (__TEXT,__const) non-external __ZL9yydefgoto
00000002265774ec (__TEXT,__text) external __ZN10IOReporter10addChannelEyPKc
000000022658f944 (__TEXT,__text) non-external __ZN10IOReporter10addChannelEyPKc.cold.1
0000000226577784 (__TEXT,__text) external __ZN10IOReporter12createLegendEv
00000002265770bc (__TEXT,__text) external __ZN10IOReporter12updateReportEP19IOReportChannelListjRjRPhRm
0000000226576c68 (__TEXT,__text) external __ZN10IOReporter15configureReportEP19IOReportChannelListjRj
0000000226576db4 (__TEXT,__text) external __ZN10IOReporter16updateAllReportsEP12OSCollectionP6OSDatajPjyyP18IOMemoryDescriptor
00000002265769f4 (__TEXT,__text) external __ZN10IOReporter19configureAllReportsEP12OSCollectionP6OSDatajPj
0000000226577368 (__TEXT,__text) external __ZN10IOReporter4freeEv
0000000226566c68 (__TEXT,__text) external __ZN11IOEventLink10InvalidateEv
000000022657f950 (__TEXT,__text) external __ZN11IOEventLink11Create_CallEP8OSStringP12IOUserClientPPS_
0000000226566f68 (__TEXT,__text) external __ZN11IOEventLink12DisassociateEv
000000022657fc40 (__TEXT,__text) external __ZN11IOEventLink13Create_InvokeE5IORPCPFiP8OSStringP12IOUserClientPPS_E
0000000226566d64 (__TEXT,__text) external __ZN11IOEventLink13SignalAndWaitEPy
000000022657fb5c (__TEXT,__text) external __ZN11IOEventLink16InvalidateKernelEP12IOUserClientPFiP15OSMetaClassBase5IORPCE
000000022657fa74 (__TEXT,__text) external __ZN11IOEventLink16SetEventlinkPortEjPFiP15OSMetaClassBase5IORPCE
0000000226566dc8 (__TEXT,__text) external __ZN11IOEventLink18SignalAndWaitUntilEyyPy
0000000226566bcc (__TEXT,__text) external __ZN11IOEventLink21SetEventlinkPort_ImplEj
000000022658ece8 (__TEXT,__text) non-external __ZN11IOEventLink21SetEventlinkPort_ImplEj.cold.1
000000022657fd3c (__TEXT,__text) external __ZN11IOEventLink23InvalidateKernel_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12IOUserClientE
000000022657f864 (__TEXT,__text) external __ZN11IOEventLink23SetEventlinkPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
0000000226566eb0 (__TEXT,__text) external __ZN11IOEventLink4WaitEPy
0000000226566aec (__TEXT,__text) external __ZN11IOEventLink4freeEv
0000000226566a64 (__TEXT,__text) external __ZN11IOEventLink4initEv
0000000226566ce8 (__TEXT,__text) external __ZN11IOEventLink6CancelEv
0000000226566954 (__TEXT,__text) external __ZN11IOEventLink6CreateEP8OSStringP12IOUserClientPPS_
0000000226566d20 (__TEXT,__text) external __ZN11IOEventLink6SignalEv
0000000226566fac (__TEXT,__text) external __ZN11IOEventLink8ActivateEv
000000022657f790 (__TEXT,__text) external __ZN11IOEventLink8DispatchE5IORPC
0000000226566f14 (__TEXT,__text) external __ZN11IOEventLink9AssociateEy
0000000226566e3c (__TEXT,__text) external __ZN11IOEventLink9WaitUntilEyyPy
000000022657f7c4 (__TEXT,__text) external __ZN11IOEventLink9_DispatchEPS_5IORPC
0000000226563af0 (__TEXT,__text) external __ZN11IOMemoryMap10GetAddressEv
0000000226582384 (__TEXT,__text) external __ZN11IOMemoryMap10_CopyStateEP24_IOMemoryMapPrivateStatePFiP15OSMetaClassBase5IORPCE
00000002265824ac (__TEXT,__text) external __ZN11IOMemoryMap17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P24_IOMemoryMapPrivateStateE
0000000226563b80 (__TEXT,__text) external __ZN11IOMemoryMap4freeEv
0000000226563b08 (__TEXT,__text) external __ZN11IOMemoryMap4initEv
000000022658e9fc (__TEXT,__text) non-external __ZN11IOMemoryMap4initEv.cold.1
000000022658228c (__TEXT,__text) external __ZN11IOMemoryMap8DispatchE5IORPC
0000000226563afc (__TEXT,__text) external __ZN11IOMemoryMap9GetLengthEv
0000000226563bd0 (__TEXT,__text) external __ZN11IOMemoryMap9GetOffsetEv
00000002265822dc (__TEXT,__text) external __ZN11IOMemoryMap9_DispatchEPS_5IORPC
0000000226566798 (__TEXT,__text) external __ZN11IOWorkGroup10InvalidateEv
000000022658ae1c (__TEXT,__text) external __ZN11IOWorkGroup11Create_CallEP8OSStringP12IOUserClientPPS_
00000002265668b4 (__TEXT,__text) external __ZN11IOWorkGroup12GetTokenSizeEv
