00000001e7e705e8 (__DATA,__data) non-external _.compoundliteral
00000001d7279cd8 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001d7278a24 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001d7278ef4 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001d72792f0 (__TEXT,__text) external _ShGetUniformIndex
00000001d7278490 (__TEXT,__text) external _ShGetUniformLocation
00000001d72781c4 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001d7277000 (__TEXT,__text) external _ShInitialize
00000001d727a4b4 (__TEXT,__text) external _ShInitializeLibrary
00000001d7277544 (__TEXT,__text) external _ShLink
00000001d7278664 (__TEXT,__text) external _ShSetInitialUniformValue
00000001d727a4b8 (__TEXT,__text) external _ShTerminateLibrary
00000001d7278854 (__TEXT,__text) external _ShTransformFeedbackVaryings
00000001d726a124 (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00000001d72dc088 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000001d72875a4 (__TEXT,__text) non-external (was a private external) _UngetToken
00000001d72da490 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00000001d72d8080 (__TEXT,__text) non-external _UnrollConstantLoopsInner
00000001d72d7f28 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d7280670 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000001d727fd18 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000001d72809e0 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000001d72803b4 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000001d728054c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000001d72808ec (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000001d7232c5c (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00000001d722c4b8 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00000001e4f83b78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83bb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83cd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83cf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83f70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83ff0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f84818 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f84910 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f84950 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f849d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f84c30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f86e48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f86ec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001f2203430 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f2203460 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f22037c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001e4f83c10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e4f84d30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e4f84d50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001f22039a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001f22039d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
00000001e4f84d70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001f2203a00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000001e4f86e68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
00000001e4f83c30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001e4f83f90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001f2203a50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
00000001f2203a80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
00000001e4f83d10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001e4f84d90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f2203820 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f2203b50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f2203ab0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000001e4f86e88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
00000001e4f84db0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00000001e4f86ea8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
00000001f2203b80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001e4f83fb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001e4f83bd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e4f84c50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001f2203490 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e4f83fd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
00000001e4f83c50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001e4f86ee8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001f2203850 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e4f83c70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001e4f84c70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001e4f83c90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001f2203880 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001e4f83cb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00000001e4f84c90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001f22034c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e4f84cb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001f2203570 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001f22034f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e4f83bf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e4f84cd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001f22037f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e4f84cf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00000001f22038b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001f22038e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001f22035a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
00000001f2203910 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001f2203940 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
00000001f22035d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000001e4f849f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00000001f2203600 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001e4f84d10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00000001f2203b20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001e4f84a10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
00000001f2203520 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001f2203630 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001e4f84930 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
00000001f2203970 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
00000001f2203290 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f22032b0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f22033d0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2203410 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2203550 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2203a30 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2203bb0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2203310 (__AUTH_CONST,__const) non-external ___block_literal_global.12
00000001f2203330 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f22033f0 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f2203ae0 (__AUTH_CONST,__const) non-external ___block_literal_global.169
00000001f2203b00 (__AUTH_CONST,__const) non-external ___block_literal_global.173
00000001f2203350 (__AUTH_CONST,__const) non-external ___block_literal_global.32
00000001f22032d0 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001f22032f0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001d7255b54 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00000001d7268abc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001d72c9324 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000001d726c0dc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001d726c030 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001d727fdec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001d7290d6c (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000001d7290348 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000001d728f2bc (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000001d7290710 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000001d728ec74 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000001d728ed70 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000001d729534c (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000001d7290b34 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000001d7276f78 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000001d7290c44 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000001d7290d10 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000001d728bd70 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000001d728d23c (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000001d728fc00 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00000001d7268acc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001d72c9374 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000001d726c0ec (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001d726c080 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001d727fe4c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000001d72352cc (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000001d7271f68 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00000001d7255630 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00000001d7255644 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00000001d7255b5c (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00000001d722c090 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00000001d722c1e4 (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00000001d722c1b0 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000001d722c148 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00000001d722c17c (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000001d722c1f0 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000001d7273208 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000001d72732a8 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000001d726bfb8 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000001d726c0c4 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000001d727e3b4 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000001d727e8c8 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00000001d7268a04 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00000001d7255fc0 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000001d72bafbc (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000001d72badd8 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000001d72badfc (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000001d72bae80 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000001d72baeac (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000001d72bb0ec (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000001d72bb110 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000001d72bb128 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000001d72bb134 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000001d72ba9dc (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000001d72baf98 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000001d727472c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000001d7274770 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
00000001d72bb07c (__TEXT,__text) non-external ___glpSAStructType_block_invoke
00000001d72ba9b8 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
00000001d72ba7b8 (__TEXT,__text) non-external ___glpSATypeIdentifier_block_invoke
00000001d72ba934 (__TEXT,__text) non-external ___glpSAUndeterminedCall_block_invoke
