00007ffa42ae00c0 (__DATA,__data) non-external _.compoundliteral
00007ffa1808b59c (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffa1808cdb9 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00007ffa1808d66f (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00007ffa1808d5c3 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00007ffa1808d5a8 (__TEXT,__text) external _ShGetNumActiveSubroutines
00007ffa1808c663 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00007ffa1808d167 (__TEXT,__text) external _ShGetNumActiveUniforms
00007ffa1808c3b9 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00007ffa1808b8c4 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00007ffa1808c046 (__TEXT,__text) external _ShGetPPStreamManager
00007ffa1808c05d (__TEXT,__text) external _ShGetShaderByteCode
00007ffa1808d87c (__TEXT,__text) external _ShGetSubroutineIndex
00007ffa1808d780 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00007ffa1808c332 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00007ffa1808c7ed (__TEXT,__text) external _ShGetUniformBlockIndex
00007ffa1808ccc0 (__TEXT,__text) external _ShGetUniformIndex
00007ffa1808bdfc (__TEXT,__text) external _ShGetUniformLocation
00007ffa1808bb44 (__TEXT,__text) external _ShGetUniformPartitionInfo
00007ffa1808a9e0 (__TEXT,__text) external _ShInitialize
00007ffa1808df20 (__TEXT,__text) external _ShInitializeLibrary
00007ffa1808af0e (__TEXT,__text) external _ShLink
00007ffa1808bf9c (__TEXT,__text) external _ShSetInitialUniformValue
00007ffa1808df26 (__TEXT,__text) external _ShTerminateLibrary
00007ffa1808c17f (__TEXT,__text) external _ShTransformFeedbackVaryings
00007ffa1807d6bc (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00007ffa180eed34 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00007ffa1809a067 (__TEXT,__text) non-external (was a private external) _UngetToken
00007ffa180ecba8 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00007ffa180ea101 (__TEXT,__text) non-external _UnrollConstantLoopsInner
00007ffa180e9fcc (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffa180939f0 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00007ffa180931d4 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00007ffa18093d0d (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ffa18093712 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00007ffa180938d1 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00007ffa18093c1e (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00007ffa18041c29 (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00007ffa1803b841 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00007ffa419e76d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7728 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7970 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7990 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e79d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7a90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7b08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7b38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7b98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7c00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7cf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e7d38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e81f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419ea408 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419ea428 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419ea7e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa419e82f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ffa419ea638 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.101
00007ffa419ea668 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.108
00007ffa419e7828 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffa419e8310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffa419ea698 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.119
00007ffa419e8330 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffa419ea488 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffa419ea6d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.124
00007ffa419ea708 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.132
00007ffa419ea738 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.135
00007ffa419e7a10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffa419ea838 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffa419ea768 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.141
00007ffa419ea7a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.144
00007ffa419e79b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa419e8350 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa419ea868 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa419e7868 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa419e8370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa419ea4b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa419e7a50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00007ffa419e7a70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffa419ea898 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffa419e7768 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa419e7b68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa419e8210 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa419e7888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffa419ea4e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffa419e78a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00007ffa419e8230 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00007ffa419e78e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffa419e8250 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffa419ea458 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffa419e7c20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffa419e77a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffa419e8270 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffa419e7d58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ffa419e7c50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffa419e8290 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ffa419ea518 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffa419ea548 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.66
00007ffa419ea578 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffa419e82b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00007ffa419ea5a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.70
00007ffa419e7d88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.78
00007ffa419e77e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00007ffa419e7db8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffa419ea5d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffa419e7de8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00007ffa419e7e08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffa419e7e38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
00007ffa419e7e58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffa419e82d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffa419ea808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffa419e7c80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffa419e7cb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.94
00007ffa419ea608 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.98
00007ffa419e76f0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419e7748 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419e79f0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419e7ab0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419e7cd0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419ea6b8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419ea8b8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa419e7848 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ffa419ea788 (__DATA_CONST,__const) non-external ___block_literal_global.142
00007ffa419ea7c8 (__DATA_CONST,__const) non-external ___block_literal_global.145
00007ffa419e7a30 (__DATA_CONST,__const) non-external ___block_literal_global.15
00007ffa419e78c8 (__DATA_CONST,__const) non-external ___block_literal_global.27
00007ffa419e7788 (__DATA_CONST,__const) non-external ___block_literal_global.3
00007ffa419e77c8 (__DATA_CONST,__const) non-external ___block_literal_global.6
00007ffa419e7808 (__DATA_CONST,__const) non-external ___block_literal_global.9
                 (undefined) external ___bzero (from libSystem)
00007ffa17fb8bd0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa17fb8bf0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffa18066f74 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00007ffa1807bb71 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffa180db3d4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00007ffa18088074 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffa18086bf4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffa180caf16 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00007ffa180a262a (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00007ffa180a1d1c (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00007ffa180a0cbc (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00007ffa180a20ac (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00007ffa180a06f8 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00007ffa180a07ae (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00007ffa180a67a0 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00007ffa180a2484 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00007ffa1808a958 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00007ffa180a2543 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00007ffa180a25df (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00007ffa1809da66 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00007ffa1809eee6 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00007ffa180a1618 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00007ffa1807bb88 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffa180db40c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00007ffa1807f286 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffa18086c2c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00007ffa180caf60 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00007ffa18044784 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00007ffa1808586a (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00007ffa18066acd (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00007ffa18066adf (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00007ffa18066f82 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00007ffa1803b4c4 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00007ffa1803b5ef (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00007ffa1803b5ba (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00007ffa1803b550 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00007ffa1803b585 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00007ffa1803b600 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00007ffa18086b74 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00007ffa18086c57 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00007ffa1807f20c (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00007ffa1807f266 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00007ffa18091745 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00007ffa18091c9d (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00007ffa1807bad4 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00007ffa18067430 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00007ffa180cb0c4 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00007ffa180cae85 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00007ffa180caea9 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.65
00007ffa180caf99 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.67
00007ffa180cafc5 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.69
00007ffa180cb1c0 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00007ffa180cb1e4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.134
00007ffa180cb1fd (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.140
00007ffa180cb20a (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00007ffa180caac4 (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00007ffa180cb0a0 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00007ffa1808803c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00007ffa1808808e (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.92
00007ffa180cb16a (__TEXT,__text) non-external ___glpSAStructType_block_invoke
00007ffa180caaa0 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
