00000001d5486d78 (__DATA,__data) non-external _C
000000018032242c (__TEXT,__text) external _scandir
000000018033f348 (__TEXT,__text) external _scandir_b
000000018032fb80 (__TEXT,__text) external _scanf
000000018032fc00 (__TEXT,__text) external _scanf_l
000000018034b408 (__TEXT,__const) non-external _sccsid
000000018034b450 (__TEXT,__const) non-external _sccsid
00000001803225bc (__TEXT,__text) external _seed48
00000001d54887f8 (__DATA,__bss) non-external _seed48.sseed
0000000180322624 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001802e3b3c (__TEXT,__text) external _send
00000001802e3b24 (__TEXT,__text) external _send$NOCANCEL
000000018034be40 (__TEXT,__const) non-external _seps
00000001d5488018 (__DATA,__bss) non-external _seq
000000018030baa0 (__TEXT,__text) non-external _set_asl
000000018030bdec (__TEXT,__text) non-external _set_file
                 (undefined) external _setattrlist (from libsystem_kernel)
000000018032fc90 (__TEXT,__text) external _setbuf
000000018032fca4 (__TEXT,__text) external _setbuffer
00000001802d727c (__TEXT,__text) external _setenv
0000000180312e8c (__TEXT,__text) external _sethostid
000000018032267c (__TEXT,__text) external _sethostname
00000001803126e8 (__TEXT,__text) external _setinvalidrune
00000001d54886dc (__DATA,__bss) non-external _setinvalidrune.warn_depreciated
000000018032b470 (__TEXT,__text) external _setipv4sourcefilter
00000001803484d4 (__TEXT,__text) non-external _setipv4sourcefilter.cold.1
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180308060 (__TEXT,__text) external _setkey
00000001802fdf04 (__TEXT,__text) external _setlinebuf
00000001802db408 (__TEXT,__text) external _setlocale
0000000180302fa4 (__TEXT,__text) external _setlogin
0000000180322808 (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180312f00 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
00000001802fd5ec (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180312f44 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180312f4c (__TEXT,__text) external _setruid
00000001803276c0 (__TEXT,__text) external _setrunelocale
                 (undefined) external _setsid (from libsystem_kernel)
                 (undefined) external _setsockopt (from libsystem_kernel)
000000018032b6dc (__TEXT,__text) external _setsourcefilter
000000018033b700 (__TEXT,__text) external _setstate
0000000180311c2c (__TEXT,__text) external _settimeofday
00000001803096f4 (__TEXT,__text) external _setttyent
00000001802daab8 (__TEXT,__text) non-external _settzname
000000018030a228 (__TEXT,__text) external _setusershell
0000000180341620 (__TEXT,__text) external _setutxent
000000018030b6bc (__TEXT,__text) external _setutxent_wtmp
00000001802fb0ac (__TEXT,__text) external _setvbuf
000000018032c728 (__TEXT,__text) non-external _sflush_locked
00000001803125c8 (__TEXT,__text) non-external (was a private external) _sgetrune
00000001d54886d4 (__DATA,__bss) non-external _sgetrune.warn_depreciated
00000001d5488090 (__DATA,__bss) non-external _shells
0000000180306f1c (__TEXT,__text) non-external _shiftLeftMP
0000000180306ce4 (__TEXT,__text) non-external _shiftRightMPWithRounding
00000001d5487070 (__DATA,__data) non-external _sig_init_once
00000001d5488c90 (__DATA,__bss) non-external _sig_key
0000000180336f04 (__TEXT,__text) non-external _sig_keycreate
00000001d5488c88 (__DATA,__bss) non-external _sig_keycreated
00000001802f2048 (__TEXT,__text) external _sigaction
000000018030a780 (__TEXT,__text) external _sigaddset
0000000180304688 (__TEXT,__text) external _sigaltstack
0000000180304780 (__TEXT,__text) external _sigblock
000000018030a7dc (__TEXT,__text) external _sigdelset
000000018030a764 (__TEXT,__text) external _sigemptyset
000000018030a770 (__TEXT,__text) external _sigfillset
00000001802fbb2c (__TEXT,__text) external _sighold
000000018030485c (__TEXT,__text) external _sigignore
0000000180322ecc (__TEXT,__text) external _siginterrupt
000000018030a838 (__TEXT,__text) external _sigismember
00000001802f1fc4 (__TEXT,__text) external _signal
00000001802f1fcc (__TEXT,__text) non-external _signal__
00000001d5488770 (__DATA,__bss) non-external _signo
00000001803465c8 (__TEXT,__text) external _sigpause
00000001803047c0 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001802fbb88 (__TEXT,__text) external _sigrelse
00000001802fba28 (__TEXT,__text) external _sigset
0000000180304740 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
00000001803046d4 (__TEXT,__text) external _sigvec
00000001803046dc (__TEXT,__text) non-external _sigvec__
0000000180309ecc (__TEXT,__text) non-external _skip
00000001d548715c (__DATA,__data) external _skip
0000000180322fd8 (__TEXT,__text) external _sl_add
00000001803230c8 (__TEXT,__text) external _sl_find
0000000180323050 (__TEXT,__text) external _sl_free
0000000180322f84 (__TEXT,__text) external _sl_init
00000001803481d0 (__TEXT,__text) non-external _sl_init.cold.1
00000001803481ec (__TEXT,__text) non-external _sl_init.cold.2
00000001d5488750 (__DATA,__bss) non-external _slash
00000001802e8088 (__TEXT,__text) external _sleep
00000001802f8a9c (__TEXT,__text) external _sleep$NOCANCEL
00000001d5488010 (__DATA,__bss) non-external _slot
00000001802ddc48 (__TEXT,__text) external _snprintf
00000001802ddbf4 (__TEXT,__text) external _snprintf_l
00000001803243a4 (__TEXT,__text) external _snvis
000000018032b430 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
00000001802e3d24 (__TEXT,__text) external _sprintf
00000001802f1a3c (__TEXT,__text) external _sprintf_l
0000000180312654 (__TEXT,__text) non-external (was a private external) _sputrune
00000001d54886d8 (__DATA,__bss) non-external _sputrune.warn_depreciated
000000018033af30 (__TEXT,__text) external _sradixsort
00000001802f9174 (__TEXT,__text) external _srand
00000001802f9930 (__TEXT,__text) external _srand48
000000018033b4fc (__TEXT,__text) external _sranddev
00000001802e0148 (__TEXT,__text) external _srandom
00000001802f6d24 (__TEXT,__text) external _srandomdev
00000001802e19ec (__TEXT,__text) external _sscanf
00000001802db8f4 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180310438 (__TEXT,__text) external _stat_with_subsystem
00000001d54870c0 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
00000001802fb3c8 (__TEXT,__text) external _statvfs
00000001802e8118 (__TEXT,__text) non-external _statx1
0000000180311cbc (__TEXT,__text) external _statx_np
00000001802e82f4 (__TEXT,__text) non-external _statx_syscall
00000001802df458 (__TEXT,__text) external _stpcpy
00000001802de378 (__TEXT,__text) external _stpncpy
0000000180324564 (__TEXT,__text) external _stravis
00000001802d8a18 (__TEXT,__text) external _strcasecmp
00000001802d8a3c (__TEXT,__text) external _strcasecmp_l
00000001802df048 (__TEXT,__text) external _strcasestr
00000001802df06c (__TEXT,__text) external _strcasestr_l
00000001802da3ac (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
00000001802fa978 (__TEXT,__text) external _strcoll
00000001802fa99c (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
00000001802e3788 (__TEXT,__text) external _strcspn
00000001802d3abc (__TEXT,__text) external _strdup
00000001803245fc (__TEXT,__text) external _strenvisx
00000001802e392c (__TEXT,__text) external _strerror
00000001802e4c4c (__TEXT,__text) external _strerror_r
0000000180342450 (__TEXT,__text) external _strfmon
0000000180343150 (__TEXT,__text) external _strfmon_l
00000001802fa034 (__TEXT,__text) external _strftime
00000001802f08ec (__TEXT,__text) external _strftime_l
00000001d5488098 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180336ba4 (__TEXT,__text) external _strmode
00000001802e3b54 (__TEXT,__text) external _strncasecmp
00000001802d88b0 (__TEXT,__text) external _strncasecmp_l
00000001802e619c (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
00000001802dec70 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
00000001802d3b10 (__TEXT,__text) external _strnstr
000000018032428c (__TEXT,__text) external _strnunvis
0000000180324108 (__TEXT,__text) external _strnunvisx
0000000180348260 (__TEXT,__text) non-external _strnunvisx.cold.1
000000018034828c (__TEXT,__text) non-external _strnunvisx.cold.2
00000001803482b8 (__TEXT,__text) non-external _strnunvisx.cold.3
00000001802f4a48 (__TEXT,__text) external _strnvis
00000001803245c4 (__TEXT,__text) external _strnvisx
00000001802fddec (__TEXT,__text) external _strpbrk
0000000180336a00 (__TEXT,__text) external _strptime
00000001802f7304 (__TEXT,__text) external _strptime_l
00000001802d3bac (__TEXT,__text) external _strrchr
00000001803244d4 (__TEXT,__text) external _strsenvisx
00000001802e3a48 (__TEXT,__text) external _strsep
0000000180336e3c (__TEXT,__text) external _strsignal
0000000180336ce8 (__TEXT,__text) external _strsignal_r
0000000180324438 (__TEXT,__text) external _strsnvis
00000001803244a4 (__TEXT,__text) external _strsnvisx
00000001802e3844 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180324400 (__TEXT,__text) external _strsvis
0000000180324464 (__TEXT,__text) external _strsvisx
00000001802f6134 (__TEXT,__text) external _strtod
00000001802d89e0 (__TEXT,__text) external _strtod_l
0000000180304bf4 (__TEXT,__text) external _strtoencf16
0000000180304cc0 (__TEXT,__text) external _strtoencf32
0000000180304f8c (__TEXT,__text) external _strtoencf64
00000001803053c0 (__TEXT,__text) external _strtoencf64x
00000001802e5600 (__TEXT,__text) external _strtof
00000001802e47f4 (__TEXT,__text) external _strtof_l
000000018030a924 (__TEXT,__text) external _strtofflags
000000018033c70c (__TEXT,__text) external _strtoimax
00000001802dd068 (__TEXT,__text) external _strtoimax_l
00000001802ff720 (__TEXT,__text) external _strtok
00000001d5488c98 (__DATA,__bss) non-external _strtok.last
00000001802e77cc (__TEXT,__text) external _strtok_r
00000001802db3e4 (__TEXT,__text) external _strtol
00000001802d82e0 (__TEXT,__text) external _strtol_l
0000000180301d34 (__TEXT,__text) external _strtold
00000001803034fc (__TEXT,__text) external _strtold_l
00000001802d3824 (__TEXT,__text) external _strtoll
00000001802d3848 (__TEXT,__text) external _strtoll_l
000000018032d2b4 (__TEXT,__text) external _strtonum
000000018033c730 (__TEXT,__text) external _strtoq
000000018033c754 (__TEXT,__text) external _strtoq_l
00000001802de994 (__TEXT,__text) external _strtoul
00000001802de9b8 (__TEXT,__text) external _strtoul_l
00000001802f048c (__TEXT,__text) external _strtoull
00000001802f04b0 (__TEXT,__text) external _strtoull_l
000000018030369c (__TEXT,__text) external _strtoumax
00000001802e1a3c (__TEXT,__text) external _strtoumax_l
00000001802f1f94 (__TEXT,__text) external _strtouq
000000018033c758 (__TEXT,__text) external _strtouq_l
000000018032427c (__TEXT,__text) external _strunvis
000000018032426c (__TEXT,__text) external _strunvisx
000000018030276c (__TEXT,__text) external _strvis
0000000180324580 (__TEXT,__text) external _strvisx
0000000180337204 (__TEXT,__text) external _strxfrm
0000000180336f44 (__TEXT,__text) external _strxfrm_l
00000001d5488da8 (__DATA,__common) external _suboptarg
00000001d5488620 (__DATA,__bss) non-external _subsystem_root_path
000000018032434c (__TEXT,__text) external _svis
0000000180337228 (__TEXT,__text) external _swab
000000018032fcbc (__TEXT,__text) external _swprintf
000000018032fd0c (__TEXT,__text) external _swprintf_l
000000018032fd38 (__TEXT,__text) external _swscanf
000000018032fd88 (__TEXT,__text) external _swscanf_l
0000000180310b00 (__TEXT,__text) external _sxprintf
0000000180311258 (__TEXT,__text) external _sxprintf_exec
0000000180312978 (__TEXT,__text) external _sync_volume_np
000000018034bd2f (__TEXT,__const) non-external _syntax_error_str
00000001d3301180 (__DATA_CONST,__const) external _sys_errlist
000000018034aef8 (__TEXT,__const) external _sys_nerr
00000001d3301b10 (__DATA_CONST,__const) external _sys_siglist
00000001d3301a10 (__DATA_CONST,__const) external _sys_signame
00000001802dd524 (__TEXT,__text) external _sysconf
00000001802d794c (__TEXT,__text) external _sysctl
00000001802d7b48 (__TEXT,__text) external _sysctlbyname
000000018030176c (__TEXT,__text) external _sysctlnametomib
                 (undefined) external _syslog$DARWIN_EXTSN (from libsystem_asl)
00000001803466f0 (__TEXT,__text) external _system
000000018033c75c (__TEXT,__text) external _system$NOCANCEL
                 (undefined) external _task_set_special_port (from libsystem_kernel)
00000001803466b0 (__TEXT,__text) external _tcdrain
0000000180323744 (__TEXT,__text) external _tcdrain$NOCANCEL
00000001803237e4 (__TEXT,__text) external _tcflow
0000000180323770 (__TEXT,__text) external _tcflush
00000001802f5ca8 (__TEXT,__text) external _tcgetattr
00000001802f49e8 (__TEXT,__text) external _tcgetpgrp
0000000180311aa8 (__TEXT,__text) external _tcgetsid
00000001803236bc (__TEXT,__text) external _tcsendbreak
0000000180302194 (__TEXT,__text) external _tcsetattr
000000018030213c (__TEXT,__text) external _tcsetpgrp
0000000180302674 (__TEXT,__text) external _tdelete
0000000180323490 (__TEXT,__text) external _telldir
000000018032fdb4 (__TEXT,__text) external _tempnam
00000001d5488008 (__DATA,__bss) non-external _tf
0000000180302378 (__TEXT,__text) external _tfind
000000018030ac74 (__TEXT,__text) external _thread_stack_async_pcs
00000001802dfb5c (__TEXT,__text) external _thread_stack_pcs
00000001d5486d60 (__DATA,__data) non-external _threadsafe
00000001802ddf58 (__TEXT,__text) external _time
00000001802e8928 (__TEXT,__text) non-external _time2
00000001803366f0 (__TEXT,__text) external _time2posix
00000001802e89b8 (__TEXT,__text) non-external _time2sub
00000001802f8a78 (__TEXT,__text) external _timegm
00000001803366bc (__TEXT,__text) external _timelocal
00000001803366cc (__TEXT,__text) external _timeoff
0000000180323894 (__TEXT,__text) external _times
000000018033d0c4 (__TEXT,__text) external _timespec_get
00000001802daf5c (__TEXT,__text) non-external _timesub
00000001d65f31c0 (__DATA_DIRTY,__common) external _timezone
00000001802f0718 (__TEXT,__text) external _timingsafe_bcmp
00000001d5488c28 (__DATA,__bss) non-external _tm
0000000180301814 (__TEXT,__text) non-external _tmcomp
000000018032ff78 (__TEXT,__text) external _tmpfile
00000001803300c4 (__TEXT,__text) external _tmpnam
00000001d5488ab8 (__DATA,__bss) non-external _tmpnam.tmpcount
00000001d5488ac0 (__DATA,__bss) non-external _tmpnam_buf
0000000180330178 (__TEXT,__text) non-external _tmpnam_buf_allocate
00000001d5487038 (__DATA,__data) non-external _tmpnam_buf_control
000000018034af38 (__TEXT,__const) non-external _tmundef
000000018030ca4c (__TEXT,__text) external _toascii
00000001802fde74 (__TEXT,__text) external _tolower
000000018030d620 (__TEXT,__text) external _tolower_l
00000001d5488728 (__DATA,__bss) non-external _toprec
00000001d5488730 (__DATA,__bss) non-external _topreclen
000000018030ca54 (__TEXT,__text) external _toupper
000000018030d640 (__TEXT,__text) external _toupper_l
000000018032980c (__TEXT,__text) external _towctrans
000000018032972c (__TEXT,__text) external _towctrans_l
000000018030db28 (__TEXT,__text) external _towlower
000000018030e138 (__TEXT,__text) external _towlower_l
000000018030db64 (__TEXT,__text) external _towupper
000000018030e158 (__TEXT,__text) external _towupper_l
00000001802da708 (__TEXT,__text) non-external _transtime
00000001802ed2d4 (__TEXT,__text) non-external _tre_add_tag_left
0000000180344428 (__TEXT,__text) non-external _tre_add_tag_right
00000001802eba54 (__TEXT,__text) non-external _tre_add_tags
00000001802eba08 (__TEXT,__text) external _tre_ast_new_catenation
00000001802eb7c0 (__TEXT,__text) external _tre_ast_new_iter
00000001802eb584 (__TEXT,__text) external _tre_ast_new_literal
00000001802eb5d0 (__TEXT,__text) external _tre_ast_new_node
00000001802eb774 (__TEXT,__text) external _tre_ast_new_union
00000001802ed94c (__TEXT,__text) non-external _tre_ast_to_tnfa
00000001802e9218 (__TEXT,__text) external _tre_compile
0000000180343d64 (__TEXT,__text) non-external _tre_compute_nfl
00000001803040a4 (__TEXT,__text) non-external _tre_copy_ast
0000000180343868 (__TEXT,__text) non-external _tre_expand_ast
00000001803464a8 (__TEXT,__text) non-external _tre_expand_macro
00000001802f1a68 (__TEXT,__text) external _tre_fill_pmatch
00000001802f1c30 (__TEXT,__text) external _tre_free
00000001d33028f8 (__DATA_CONST,__const) non-external _tre_macros
00000001802eda44 (__TEXT,__text) non-external _tre_make_trans
00000001802ede4c (__TEXT,__text) non-external _tre_match
00000001802ed398 (__TEXT,__text) non-external _tre_match_empty
00000001802eb658 (__TEXT,__text) external _tre_mem_alloc_impl
00000001802edd58 (__TEXT,__text) external _tre_mem_destroy
00000001802e9910 (__TEXT,__text) external _tre_mem_new_impl
00000001802ed13c (__TEXT,__text) non-external _tre_merge_branches
00000001802eb958 (__TEXT,__text) non-external _tre_new_item
00000001802e9934 (__TEXT,__text) external _tre_parse
0000000180303e9c (__TEXT,__text) non-external _tre_parse_bound
00000001803024a4 (__TEXT,__text) non-external _tre_reset_last_matched_branches
0000000180346528 (__TEXT,__text) non-external _tre_search_cnames
000000018030131c (__TEXT,__text) non-external _tre_set_empty
0000000180301358 (__TEXT,__text) non-external _tre_set_one
00000001802ed5a4 (__TEXT,__text) non-external _tre_set_union
00000001802eddb8 (__TEXT,__text) external _tre_stack_destroy
00000001802e98a4 (__TEXT,__text) external _tre_stack_new
00000001802eb480 (__TEXT,__text) external _tre_stack_num_objects
00000001802eb568 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
00000001802eb9f0 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
00000001802eb490 (__TEXT,__text) non-external _tre_stack_push
00000001802eb488 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
00000001802eb770 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
000000018034450c (__TEXT,__text) external _tre_tnfa_run_backtrack
00000001802ee008 (__TEXT,__text) external _tre_tnfa_run_parallel
000000018033c9d8 (__TEXT,__text) non-external _trecurse
0000000180302400 (__TEXT,__text) external _tsearch
00000001802fdbfc (__TEXT,__text) external _ttyname
00000001d5488800 (__DATA,__bss) non-external _ttyname_init
00000001d5488808 (__DATA,__bss) non-external _ttyname_key
00000001d5486e48 (__DATA,__data) non-external _ttyname_lock
00000001802fdd18 (__TEXT,__text) external _ttyname_r
00000001803239dc (__TEXT,__text) external _ttyslot
000000018033c9c4 (__TEXT,__text) external _twalk
00000001802da400 (__TEXT,__text) non-external _typesequiv
00000001802d934c (__TEXT,__text) non-external _tzload
00000001d65f1818 (__DATA_DIRTY,__data) external _tzname
00000001802d9cbc (__TEXT,__text) non-external _tzparse
00000001802ddc40 (__TEXT,__text) external _tzset
00000001803366a8 (__TEXT,__text) external _tzsetwall
00000001802d9124 (__TEXT,__text) non-external _tzsetwall_basic
00000001803239e4 (__TEXT,__text) external _ualarm
00000001d5487000 (__DATA,__data) non-external _uglue
0000000180323a70 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180311de8 (__TEXT,__text) external _umaskx_np
00000001802e544c (__TEXT,__text) external _uname
000000018034bd3c (__TEXT,__const) non-external _unbound_variable_str
00000001803068a8 (__TEXT,__text) non-external _underflow
00000001802f61d4 (__TEXT,__text) external _ungetc
0000000180330244 (__TEXT,__text) external _ungetwc
00000001803302c8 (__TEXT,__text) external _ungetwc_l
00000001d5488d30 (__DATA,__bss) non-external _union_arg_queue
00000001d5487fb9 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
00000001802f4864 (__TEXT,__text) external _unlockpt
00000001802d7c18 (__TEXT,__text) external _unsetenv
0000000180323b08 (__TEXT,__text) external _unvis
0000000180348208 (__TEXT,__text) non-external _unvis.cold.1
0000000180348234 (__TEXT,__text) non-external _unvis.cold.2
00000001802e5284 (__TEXT,__text) external _uselocale
00000001802df1cc (__TEXT,__text) external _usleep
0000000180324294 (__TEXT,__text) external _usleep$NOCANCEL
00000001d65f2760 (__DATA_DIRTY,__bss) non-external _usual
00000001d65f1990 (__DATA_DIRTY,__bss) non-external _usual_extra
00000001803242e4 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
00000001d3301728 (__DATA_CONST,__const) non-external _utmpx_types
0000000180342350 (__TEXT,__text) external _utmpxname
00000001802d8be4 (__TEXT,__text) external _uuid_clear
00000001802ddc98 (__TEXT,__text) external _uuid_compare
00000001802d788c (__TEXT,__text) external _uuid_copy
00000001802e3ae8 (__TEXT,__text) external _uuid_generate
00000001802e00a8 (__TEXT,__text) external _uuid_generate_random
000000018031179c (__TEXT,__text) external _uuid_generate_time
00000001d5488678 (__DATA,__bss) non-external _uuid_generate_time.has_init
00000001d5488670 (__DATA,__bss) non-external _uuid_generate_time.node_id
00000001802e39b8 (__TEXT,__text) external _uuid_is_null
00000001802dec20 (__TEXT,__text) external _uuid_pack
00000001802de838 (__TEXT,__text) external _uuid_parse
00000001802ddd68 (__TEXT,__text) external _uuid_unpack
00000001802e39e0 (__TEXT,__text) external _uuid_unparse
00000001802f9184 (__TEXT,__text) external _uuid_unparse_lower
00000001802ddfbc (__TEXT,__text) external _uuid_unparse_upper
00000001d33019c0 (__DATA_CONST,__const) non-external _validlist
00000001802d3bd4 (__TEXT,__text) external _vasprintf
00000001802df1b0 (__TEXT,__text) external _vasprintf_l
00000001802ffb7c (__TEXT,__text) external _vasxprintf
00000001803112e4 (__TEXT,__text) external _vasxprintf_exec
00000001802fe244 (__TEXT,__text) external _vdprintf
00000001802fe228 (__TEXT,__text) external _vdprintf_l
0000000180310b90 (__TEXT,__text) external _vdxprintf
0000000180311300 (__TEXT,__text) external _vdxprintf_exec
0000000180347e60 (__TEXT,__text) external _verr
0000000180347d6c (__TEXT,__text) external _verrc
0000000180347ed8 (__TEXT,__text) external _verrx
0000000180311b74 (__TEXT,__text) external _vfork
0000000180302d5c (__TEXT,__text) external _vfprintf
00000001802e3484 (__TEXT,__text) external _vfprintf_l
00000001803309b0 (__TEXT,__text) external _vfscanf
0000000180330cb0 (__TEXT,__text) external _vfscanf_l
000000018033380c (__TEXT,__text) external _vfwprintf
0000000180330d58 (__TEXT,__text) external _vfwprintf_l
0000000180334000 (__TEXT,__text) external _vfwscanf
0000000180335a24 (__TEXT,__text) external _vfwscanf_l
0000000180310ba8 (__TEXT,__text) external _vfxprintf
000000018031131c (__TEXT,__text) external _vfxprintf_exec
00000001803027a8 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
00000001802fe044 (__TEXT,__text) external _vprintf
0000000180335ac4 (__TEXT,__text) external _vprintf_l
0000000180335ae0 (__TEXT,__text) external _vscanf
0000000180335b5c (__TEXT,__text) external _vscanf_l
00000001802d7118 (__TEXT,__text) external _vsnprintf
00000001802ddc20 (__TEXT,__text) external _vsnprintf_l
00000001802dde28 (__TEXT,__text) external _vsprintf
00000001802dde54 (__TEXT,__text) external _vsprintf_l
0000000180335be0 (__TEXT,__text) external _vsscanf
00000001802db920 (__TEXT,__text) external _vsscanf_l
0000000180335dfc (__TEXT,__text) external _vswprintf
0000000180335c0c (__TEXT,__text) external _vswprintf_l
0000000180335ff4 (__TEXT,__text) external _vswscanf
0000000180335e28 (__TEXT,__text) external _vswscanf_l
0000000180310bc0 (__TEXT,__text) external _vsxprintf
0000000180311338 (__TEXT,__text) external _vsxprintf_exec
00000001803480a0 (__TEXT,__text) external _vwarn
0000000180347fe0 (__TEXT,__text) external _vwarnc
000000018034813c (__TEXT,__text) external _vwarnx
0000000180336020 (__TEXT,__text) external _vwprintf
0000000180336058 (__TEXT,__text) external _vwprintf_l
0000000180336074 (__TEXT,__text) external _vwscanf
00000001803360ac (__TEXT,__text) external _vwscanf_l
0000000180310be4 (__TEXT,__text) external _vxprintf
000000018031135c (__TEXT,__text) external _vxprintf_exec
00000001802fcf38 (__TEXT,__text) external _wait
0000000180324960 (__TEXT,__text) external _wait$NOCANCEL
0000000180324974 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
00000001802f9878 (__TEXT,__text) external _waitpid
0000000180324988 (__TEXT,__text) external _waitpid$NOCANCEL
0000000180347f9c (__TEXT,__text) external _warn
00000001803480e4 (__TEXT,__text) external _warnc
0000000180348110 (__TEXT,__text) external _warnx
000000018033729c (__TEXT,__text) external _wcpcpy
00000001803372bc (__TEXT,__text) external _wcpncpy
0000000180327a40 (__TEXT,__text) external _wcrtomb
00000001802f9028 (__TEXT,__text) external _wcrtomb_l
00000001803373d4 (__TEXT,__text) external _wcscasecmp
000000018033732c (__TEXT,__text) external _wcscasecmp_l
00000001803373f8 (__TEXT,__text) external _wcscat
00000001802f5b48 (__TEXT,__text) external _wcschr
000000018033741c (__TEXT,__text) external _wcscmp
00000001803379ec (__TEXT,__text) external _wcscoll
0000000180337444 (__TEXT,__text) external _wcscoll_l
0000000180337a10 (__TEXT,__text) external _wcscpy
00000001803384a0 (__TEXT,__text) external _wcscspn
00000001803384e4 (__TEXT,__text) external _wcsdup
0000000180327c70 (__TEXT,__text) external _wcsftime
0000000180327a80 (__TEXT,__text) external _wcsftime_l
000000018033853c (__TEXT,__text) external _wcslcat
00000001803385e4 (__TEXT,__text) external _wcslcpy
00000001802f558c (__TEXT,__text) external _wcslen
0000000180338704 (__TEXT,__text) external _wcsncasecmp
0000000180338644 (__TEXT,__text) external _wcsncasecmp_l
0000000180338728 (__TEXT,__text) external _wcsncat
0000000180338778 (__TEXT,__text) external _wcsncmp
00000001803387b4 (__TEXT,__text) external _wcsncpy
000000018033881c (__TEXT,__text) external _wcsnlen
0000000180327cd0 (__TEXT,__text) external _wcsnrtombs
0000000180327c94 (__TEXT,__text) external _wcsnrtombs_l
000000018033884c (__TEXT,__text) external _wcspbrk
0000000180338884 (__TEXT,__text) external _wcsrchr
0000000180327f48 (__TEXT,__text) external _wcsrtombs
0000000180327f00 (__TEXT,__text) external _wcsrtombs_l
00000001803388a8 (__TEXT,__text) external _wcsspn
0000000180338c74 (__TEXT,__text) external _wcsstr
0000000180328228 (__TEXT,__text) external _wcstod
0000000180327ff8 (__TEXT,__text) external _wcstod_l
000000018032847c (__TEXT,__text) external _wcstof
000000018032824c (__TEXT,__text) external _wcstof_l
00000001803286e8 (__TEXT,__text) external _wcstoimax
00000001803284a0 (__TEXT,__text) external _wcstoimax_l
0000000180338cfc (__TEXT,__text) external _wcstok
0000000180328954 (__TEXT,__text) external _wcstol
000000018032870c (__TEXT,__text) external _wcstol_l
0000000180328ba8 (__TEXT,__text) external _wcstold
0000000180328978 (__TEXT,__text) external _wcstold_l
0000000180328e14 (__TEXT,__text) external _wcstoll
0000000180328bcc (__TEXT,__text) external _wcstoll_l
0000000180328edc (__TEXT,__text) external _wcstombs
0000000180328e38 (__TEXT,__text) external _wcstombs_l
00000001803291c4 (__TEXT,__text) external _wcstoul
0000000180328f80 (__TEXT,__text) external _wcstoul_l
000000018032942c (__TEXT,__text) external _wcstoull
00000001803291e8 (__TEXT,__text) external _wcstoull_l
0000000180329694 (__TEXT,__text) external _wcstoumax
0000000180329450 (__TEXT,__text) external _wcstoumax_l
0000000180338e10 (__TEXT,__text) external _wcswidth
0000000180338d80 (__TEXT,__text) external _wcswidth_l
0000000180338ffc (__TEXT,__text) external _wcsxfrm
0000000180338e34 (__TEXT,__text) external _wcsxfrm_l
0000000180303ce4 (__TEXT,__text) external _wctob
0000000180303d08 (__TEXT,__text) external _wctob_l
