00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001a01ab360 (__TEXT,__const) non-external _c_log10
00000001a01ab3b0 (__TEXT,__const) non-external _c_log10.889
00000001a01ab620 (__TEXT,__const) non-external _c_log_pi
00000001a01ab5a0 (__TEXT,__const) non-external _c_m1e34
00000001a01adf00 (__TEXT,__const) non-external _c_minus_half
00000001a01ab600 (__TEXT,__const) non-external _c_minus_one
00000001a01ab590 (__TEXT,__const) non-external _c_neg_11000
00000001a01f9bf0 (__TEXT,__const) non-external _c_neg_one
00000001a01ab330 (__TEXT,__const) non-external _c_one
00000001a01ab390 (__TEXT,__const) non-external _c_one.885
00000001a01ab400 (__TEXT,__const) non-external _c_one.912
00000001a01ab4a0 (__TEXT,__const) non-external _c_one.922
00000001a01ab5f0 (__TEXT,__const) non-external _c_one.938
00000001a01ab640 (__TEXT,__const) non-external _c_one.942
00000001a01ab680 (__TEXT,__const) non-external _c_one.946
00000001a01adec0 (__TEXT,__const) non-external _c_one.982
00000001a01ab350 (__TEXT,__const) non-external _c_pi
00000001a01ab610 (__TEXT,__const) non-external _c_pi.939
00000001a01ab3e0 (__TEXT,__const) non-external _c_pi_ov_2
00000001a01adea0 (__TEXT,__const) non-external _c_pi_ov_2.978
00000001a01f9be0 (__TEXT,__const) non-external _c_pi_ov_2.999
00000001a01ab340 (__TEXT,__const) non-external _c_zero
00000001a01ab3a0 (__TEXT,__const) non-external _c_zero.886
00000001a01ab420 (__TEXT,__const) non-external _c_zero.913
00000001a01adee0 (__TEXT,__const) non-external _c_zero.984
00000001a0181b48 (__TEXT,__text) non-external _calc_parser_read_buffer
00000001a0181cac (__TEXT,__text) non-external _calc_yy_create_buffer
00000001a0181e24 (__TEXT,__text) non-external _calc_yy_init_buffer
00000001a0181f20 (__TEXT,__text) non-external _calc_yy_scan_bytes
00000001a0181c20 (__TEXT,__text) non-external _calc_yyensure_buffer_stack
00000001e73cab90 (__DATA,__bss) non-external _calc_yyin
00000001e73ca300 (__DATA,__data) non-external _calc_yyleng
00000001e73ca468 (__DATA,__data) non-external _calc_yylineno
00000001e73ca298 (__DATA,__data) non-external _calc_yyout
00000001a017f01c (__TEXT,__text) non-external _calc_yyparse
00000001e73ca310 (__DATA,__data) non-external _calc_yytext
00000001e73ca9c0 (__DATA,__bss) non-external _calculateRequestLock
00000001e73ca9e0 (__DATA,__bss) non-external _calculateRequestUpdating
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cbrt (from libSystem)
                 (undefined) external _clearerr (from libSystem)
00000001e73caad0 (__DATA,__bss) non-external _closeParenthesesSet
00000001a01a7ec0 (__TEXT,__const) non-external _cmpTable
00000001a01a4cf0 (__TEXT,__const) non-external _consumerSecret
00000001a0154cd8 (__TEXT,__text) non-external _copyTree
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosh (from libSystem)
00000001e73caaa0 (__DATA,__bss) non-external _digitSet
00000001e73cab40 (__DATA,__bss) non-external _dispatchQueue.dispatchQueue
00000001e73cab38 (__DATA,__bss) non-external _dispatchQueue.once
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_barrier_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_wait (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
00000001e73caac0 (__DATA,__bss) non-external _divideSet
                 (undefined) external _erf (from libSystem)
                 (undefined) external _erfc (from libSystem)
00000001e73caa38 (__DATA,__bss) non-external _evaluate:options:needsUpdate:.calculateUnitTypeToUnitTypeMap
00000001e73caa30 (__DATA,__bss) non-external _evaluate:options:needsUpdate:.loadUnitDictionaryOnce
00000001a0154ac4 (__TEXT,__text) non-external _evaluateBinary
00000001a0153a24 (__TEXT,__text) non-external _evaluateTree
00000001a01538a8 (__TEXT,__text) non-external _evaluateUnary
                 (undefined) external _exit (from libSystem)
                 (undefined) external _exp (from libSystem)
00000001e73cab00 (__DATA,__bss) non-external _explicitConversionRegularExpression
00000001e73caad8 (__DATA,__bss) non-external _exponentiateSet
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fmod (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000001a0154c8c (__TEXT,__text) non-external _freeTree
00000001a015b6a8 (__TEXT,__text) non-external _functionACos
00000001a015cd08 (__TEXT,__text) non-external _functionACosD
00000001a015e830 (__TEXT,__text) non-external _functionACosH
00000001a0163b40 (__TEXT,__text) non-external _functionAND
00000001a015b3e4 (__TEXT,__text) non-external _functionASin
00000001a015c87c (__TEXT,__text) non-external _functionASinD
00000001a015e578 (__TEXT,__text) non-external _functionASinH
00000001a015ba74 (__TEXT,__text) non-external _functionATan
00000001a015d0e4 (__TEXT,__text) non-external _functionATanD
00000001a015eeb0 (__TEXT,__text) non-external _functionATanH
00000001a01570f8 (__TEXT,__text) non-external _functionAdd
00000001a015f1d8 (__TEXT,__text) non-external _functionCeil
00000001a0157c28 (__TEXT,__text) non-external _functionCoefficientUnit
00000001a0164724 (__TEXT,__text) non-external _functionCompose
00000001a01536dc (__TEXT,__text) non-external _functionConstant
00000001a0164f08 (__TEXT,__text) non-external _functionConvert
00000001a015ad9c (__TEXT,__text) non-external _functionCos
00000001a015c0ac (__TEXT,__text) non-external _functionCosD
00000001a015dbac (__TEXT,__text) non-external _functionCosH
00000001a0159ca4 (__TEXT,__text) non-external _functionCubeRoot
00000001a0158584 (__TEXT,__text) non-external _functionDivide
00000001a0160eac (__TEXT,__text) non-external _functionERF
00000001a016124c (__TEXT,__text) non-external _functionERFC
00000001a0159f9c (__TEXT,__text) non-external _functionExp
00000001a01624fc (__TEXT,__text) non-external _functionFMod
00000001a0160128 (__TEXT,__text) non-external _functionFabs
00000001a0161a20 (__TEXT,__text) non-external _functionFactorial
00000001a0164f18 (__TEXT,__text) non-external _functionFail
00000001a015f7e0 (__TEXT,__text) non-external _functionFloor
00000001a0162abc (__TEXT,__text) non-external _functionHypot
00000001a01599c0 (__TEXT,__text) non-external _functionImplicitAdd
00000001a0164f10 (__TEXT,__text) non-external _functionImplicitConvert
00000001a0160358 (__TEXT,__text) non-external _functionJ0
00000001a0160508 (__TEXT,__text) non-external _functionJ1
00000001a0160c48 (__TEXT,__text) non-external _functionLGamma
00000001a01642c4 (__TEXT,__text) non-external _functionLeftShift
00000001a015a214 (__TEXT,__text) non-external _functionLn
00000001a015a484 (__TEXT,__text) non-external _functionLog
00000001a015a6fc (__TEXT,__text) non-external _functionLogBase
00000001a0163664 (__TEXT,__text) non-external _functionMax
00000001a0163188 (__TEXT,__text) non-external _functionMin
00000001a0158514 (__TEXT,__text) non-external _functionMultiply
00000001a0163f00 (__TEXT,__text) non-external _functionNOR
00000001a0158afc (__TEXT,__text) non-external _functionNegate
00000001a0153b80 (__TEXT,__text) non-external _functionNoOp
00000001a0163d20 (__TEXT,__text) non-external _functionOR
00000001a0158da8 (__TEXT,__text) non-external _functionPercent
00000001a015950c (__TEXT,__text) non-external _functionPercentDecrease
00000001a0159058 (__TEXT,__text) non-external _functionPercentIncrease
00000001a01575f4 (__TEXT,__text) non-external _functionPow
00000001a0160a18 (__TEXT,__text) non-external _functionRInt
00000001a0162e2c (__TEXT,__text) non-external _functionRem
00000001a01644f4 (__TEXT,__text) non-external _functionRightShift
00000001a0161fd8 (__TEXT,__text) non-external _functionRoot
00000001a015fa18 (__TEXT,__text) non-external _functionRound
00000001a015fc60 (__TEXT,__text) non-external _functionRoundNearest
00000001a01580c0 (__TEXT,__text) non-external _functionSameCurrency
00000001a015bd38 (__TEXT,__text) non-external _functionSinD
00000001a015d4ac (__TEXT,__text) non-external _functionSinH
00000001a015aaec (__TEXT,__text) non-external _functionSine
00000001a0159a34 (__TEXT,__text) non-external _functionSqrRoot
00000001a0157168 (__TEXT,__text) non-external _functionSubtract
00000001a015b04c (__TEXT,__text) non-external _functionTan
00000001a015c420 (__TEXT,__text) non-external _functionTanD
00000001a015e1c4 (__TEXT,__text) non-external _functionTanH
00000001a01541b0 (__TEXT,__text) non-external _functionUnit
00000001a01640e4 (__TEXT,__text) non-external _functionXOR
00000001a01606b8 (__TEXT,__text) non-external _functionY0
00000001a0160868 (__TEXT,__text) non-external _functionY1
                 (undefined) external _fwrite (from libSystem)
00000001e73ca2c0 (__DATA,__data) non-external _g_BufferLen
00000001e73cab50 (__DATA,__bss) non-external _g_ErrorCode
00000001e73ca88c (__DATA,__bss) non-external _g_GeneratingConvertTerm
00000001e73ca888 (__DATA,__bss) non-external _g_PowNestingLevel
00000001e73ca2cc (__DATA,__data) non-external _g_Precision
00000001e73ca2d8 (__DATA,__data) non-external _g_PreferredType
00000001e73ca2e8 (__DATA,__data) non-external _g_ResultBuffer
00000001e73cab86 (__DATA,__bss) non-external _g_allowPartialExpressions
00000001e73cab85 (__DATA,__bss) non-external _g_allowUnits
00000001e73caa00 (__DATA,__bss) non-external _g_beforeConvertTree
00000001e73caa0c (__DATA,__bss) non-external _g_composedExponent
00000001e73caa08 (__DATA,__bss) non-external _g_composedType
00000001e73cab6a (__DATA,__bss) non-external _g_containsCurrencyConversion
00000001e73ca9b8 (__DATA,__bss) non-external _g_currencyNeedsRefresh
00000001e73cab70 (__DATA,__bss) non-external _g_firstCoefficient.0
00000001e73cab6b (__DATA,__bss) non-external _g_foundFirstCoefficient
00000001e73cab84 (__DATA,__bss) non-external _g_ignoreProbableSearches
00000001e73cab68 (__DATA,__bss) non-external _g_isTrivial
00000001e73cab80 (__DATA,__bss) non-external _g_negationCount
00000001e73cab58 (__DATA,__bss) non-external _g_parseTree
00000001e73cab60 (__DATA,__bss) non-external _g_resultTree
00000001e73ca9f0 (__DATA,__bss) non-external _g_unitSuggestions
00000001e73ca9f8 (__DATA,__bss) non-external _g_unitSuggestionsSet
00000001e73ca9e8 (__DATA,__bss) non-external _g_unitsInfo
00000001e73ca990 (__DATA,__bss) non-external _g_usingNewAPI
00000001e73cab69 (__DATA,__bss) non-external _g_wasTrivial
00000001e73ca998 (__DATA,__bss) non-external _getMaximumFractionDigits:minimumFractionDigits:forValue:.decimalPlaces
00000001e73ca9a0 (__DATA,__bss) non-external _getMaximumFractionDigits:minimumFractionDigits:forValue:.onceToken
                 (undefined) external _getc (from libSystem)
00000001e73caaf0 (__DATA,__bss) non-external _hebrewSet
                 (undefined) external _hypot (from libSystem)
00000001e73cab08 (__DATA,__bss) non-external _implicitConversionRegularExpression
                 (undefined) external _index (from libSystem)
00000001e73cab10 (__DATA,__bss) non-external _initialize.once
00000001e73cab20 (__DATA,__bss) non-external _inputUnitIndex1
00000001e73cab28 (__DATA,__bss) non-external _inputUnitIndex2
00000001e73cab30 (__DATA,__bss) non-external _inputValueIndex
                 (undefined) external _j0 (from libSystem)
                 (undefined) external _j1 (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00000001e73caaf8 (__DATA,__bss) non-external _knownSet
00000001e73caae0 (__DATA,__bss) non-external _letterSet
                 (undefined) external _lgamma (from libSystem)
00000001e73ca9a8 (__DATA,__bss) non-external _localizedConversions.allCurrencies
00000001e73ca9b0 (__DATA,__bss) non-external _localizedConversions.onceToken
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _modf (from libSystem)
00000001e73caab8 (__DATA,__bss) non-external _multiplySet
00000001e73ca880 (__DATA,__bss) non-external _my_fpsf
00000001e73ca2f4 (__DATA,__data) non-external _my_rnd_mode
00000001a015363c (__TEXT,__text) non-external _newConstantNode
00000001a0153c50 (__TEXT,__text) non-external _newDecimalNode
00000001a01548bc (__TEXT,__text) non-external _newTreeObject
00000001a01547ec (__TEXT,__text) non-external _newUnitIDNode
00000001a01540a0 (__TEXT,__text) non-external _newUnitNode
00000001e73ca388 (__DATA,__data) non-external _normalizationCache
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleasePoolPop (from libobjc)
                 (undefined) external _objc_autoreleasePoolPush (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001a02e6780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$JSONObjectWithData:options:error:
00000001a02e67a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$URLWithString:
00000001a02e67c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UTF8String
00000001a02e67e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_calculate:
00000001a02e6800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_consumerKey
00000001a02e6820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_consumerSecret
00000001a02e6840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_doubleWithoutUnrelevantDecimalsForNumber:
00000001a02e6860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_findTokens
00000001a02e6880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_loadIfNeeded
00000001a02e68a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_loadPersistedCurrencyCache
00000001a02e68c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_localizedPluralizedStringsforNumber:unit:
00000001a02e68e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_lock
00000001a02e6900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_needsRefresh
00000001a02e6920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_normalizedUnitNamesForName:
00000001a02e6940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_operateConversionForOutputUnit:
00000001a02e6960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_parseInputQuery
00000001a02e6980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_performUnitPluralization
00000001a02e69a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_queue_persistCurrencyCache
00000001a02e69c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_queue_refresh
00000001a02e69e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_queue_refresh:
00000001a02e6a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_resetGlobals
00000001a02e6a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_safe_subStringOf:withRange:
00000001a02e6a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setConversions:
00000001a02e6a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setDecimalValue:
00000001a02e6a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setExpression:
00000001a02e6aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setInputValueAndUnit:
00000001a02e6ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_setTerms:
00000001a02e6ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_standardizeInputAndOutputUnits
00000001a02e6b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_unitInfoForNormalizedName:
00000001a02e6b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_unlock
00000001a02e6b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateInputValueFromMatch:
00000001a02e6b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_valueWithoutIrrelevantDecimals
00000001a02e6b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addCharactersInString:
00000001a02e6ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001a02e6bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObjectsFromArray:
00000001a02e6be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObserverForName:object:queue:usingBlock:
00000001a02e6c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addUnitRank:
00000001a02e6c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allKeys
00000001a02e6c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allObjects
00000001a02e6c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allSubunitIDs
00000001a02e6c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$angleInfo
00000001a02e6ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001a02e6cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000001a02e6ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001a02e6d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObject:
00000001a02e6d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:
00000001a02e6d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$arrayWithObjects:count:
00000001a02e6d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$autoScientificNotation
00000001a02e6d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$availableLocaleNames
00000001a02e6da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$baseDenominator
00000001a02e6dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$baseNumerator
00000001a02e6de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$baseUnit
00000001a02e6e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bestConversion
00000001a02e6e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bestEquivalent
00000001a02e6e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$boolValue
00000001a02e6e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bundleForClass:
00000001a02e6e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$calendarWithIdentifier:
00000001a02e6ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterAtIndex:
00000001a02e6ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterCount
00000001a02e6ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterIsMember:
00000001a02e6f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterSetWithCharactersInString:
00000001a02e6f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterSetWithRange:
00000001a02e6f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characters
00000001a02e6f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compactNameForLocalization:
00000001a02e6f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001a02e6fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$componentsJoinedByString:
00000001a02e6fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$componentsSeparatedByString:
00000001a02e6fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compressed
00000001a02e7000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsCurrency
00000001a02e7020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsFrom
00000001a02e7040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001a02e7060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsTo
00000001a02e7080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsUnit
00000001a02e70a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$context
00000001a02e70c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$conversionsForMetric:US:UK:
00000001a02e70e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$convertedTo:
00000001a02e7100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$convertedTree:needsUpdate:
00000001a02e7120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001a02e7140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001a02e7160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001a02e7180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$createCredential
00000001a02e71a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currencyCode
00000001a02e71c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currencyData
00000001a02e71e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currencyDecimalSeparator
00000001a02e7200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currencyGroupingSeparator
00000001a02e7220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentLocale
00000001a02e7240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataTaskWithRequest:completionHandler:
00000001a02e7260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$date
00000001a02e7280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dateFromString:
00000001a02e72a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalDigitCharacterSet
00000001a02e72c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberByRoundingAccordingToBehavior:
00000001a02e72e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberHandlerWithRoundingMode:scale:raiseOnExactness:raiseOnOverflow:raiseOnUnderflow:raiseOnDivideByZero:
00000001a02e7300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberWithDecimal128:
00000001a02e7320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberWithDecimal:
00000001a02e7340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberWithMantissa:exponent:isNegative:
00000001a02e7360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalNumberWithString:
00000001a02e7380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalSeparator
00000001a02e73a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decimalValue
00000001a02e73c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decomposedStringWithCanonicalMapping
00000001a02e73e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decomposedStringWithCompatibilityMapping
00000001a02e7400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decomposition
00000001a02e7420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decompositionCoefficient
00000001a02e7440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCenter
00000001a02e7460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultNumberFormatter
00000001a02e7480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$degreesInfo
00000001a02e74a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithDictionary:
00000001a02e74c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001a02e74e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjectsAndKeys:
00000001a02e7500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dispatchQueue
00000001a02e7520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$displayNameExponent:
00000001a02e7540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$displayNameForKey:value:
00000001a02e7560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doNotSuggest
00000001a02e7580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$doubleValue
00000001a02e75a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$emptyNumeratorString
00000001a02e75c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enableMeasurementSystemsForLocale:metric:US:UK:
00000001a02e75e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateMatchesInString:options:range:usingBlock:
00000001a02e7600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$enumerateSubstringsInRange:options:usingBlock:
00000001a02e7620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$escapedPatternForString:
00000001a02e7640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$evaluate:options:needsUpdate:
00000001a02e7660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$exponent
00000001a02e7680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$expression
00000001a02e76a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$filteredArrayUsingPredicate:
00000001a02e76c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstByteCache
00000001a02e76e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstMatchInString:options:range:
00000001a02e7700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstObject
00000001a02e7720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$flexibleFractionDigits
00000001a02e7740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$floatValue
00000001a02e7760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formUnionWithCharacterSet:
00000001a02e7780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formatNextSmallest
00000001a02e77a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formatString:withExponent:formatter:
00000001a02e77c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formattedExpression
00000001a02e77e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formattedResult
00000001a02e7800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formattedUnit
00000001a02e7820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formattedUnitReplacingFirstNumerator:
00000001a02e7840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$formattedValue
00000001a02e7860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getCharacters:
00000001a02e7880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getMaximumFractionDigits:minimumFractionDigits:
00000001a02e78a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getMaximumFractionDigits:minimumFractionDigits:forValue:
00000001a02e78c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$groupingSeparator
00000001a02e78e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hasPrefix:
00000001a02e7900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hasSuffix:
