00000001e50fa568 (__DATA,__data) non-external _.compoundliteral
00000001dbeaadb4 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000001dbeaad90 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001dbeaa00c (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001dbeaa9e8 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001dbea9cfc (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001dbea9110 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001dbea9968 (__TEXT,__text) external _ShGetPPStreamManager
00000001dbea9978 (__TEXT,__text) external _ShGetShaderByteCode
00000001dbeab060 (__TEXT,__text) external _ShGetSubroutineIndex
00000001dbeaaf30 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001dbea9c68 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001dbeaa148 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001dbeaa544 (__TEXT,__text) external _ShGetUniformIndex
00000001dbea96d0 (__TEXT,__text) external _ShGetUniformLocation
00000001dbea9404 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001dbea81f8 (__TEXT,__text) external _ShInitialize
00000001dbeab778 (__TEXT,__text) external _ShInitializeLibrary
00000001dbea874c (__TEXT,__text) external _ShLink
00000001dbea98a4 (__TEXT,__text) external _ShSetInitialUniformValue
00000001dbeab77c (__TEXT,__text) external _ShTerminateLibrary
00000001dbea9aa8 (__TEXT,__text) external _ShTransformFeedbackVaryings
00000001dbe9b3fc (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00000001dbf0c068 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000001dbeb88e8 (__TEXT,__text) non-external (was a private external) _UngetToken
00000001dbf0a4c4 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00000001dbf080ac (__TEXT,__text) non-external _UnrollConstantLoopsInner
00000001dbf07f60 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001dbeb190c (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000001dbeb0fa8 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000001dbeb1c7c (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000001dbeb1644 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000001dbeb17e8 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000001dbeb1b88 (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000001dbe8c360 (__TEXT,__text) non-external ___abort_calloc
00000001dbdea2a8 (__TEXT,__text) non-external ___abort_malloc
00000001dbe8bee0 (__TEXT,__text) non-external ___abort_malloc
00000001dbe648ac (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00000001dbe5e108 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00000001e136bb98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136bbd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136bcf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136bd10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136bf90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136c010 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136c838 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136c930 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136c970 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136c9f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136cc50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136ee68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e136eee8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001ed443a80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001ed443ab0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001ed443e10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001e136bc30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e136cd50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e136cd70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001ed443ff0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001ed444020 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
00000001e136cd90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001ed444050 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000001e136ee88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
00000001e136bc50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001e136bfb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001ed4440a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
00000001ed4440d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
00000001e136bd30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001e136cdb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ed443e70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ed4441a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001ed444100 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000001e136eea8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
00000001e136cdd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00000001e136eec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
00000001ed4441d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001e136bfd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001e136bbf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e136cc70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001ed443ae0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e136bff0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
00000001e136bc70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001e136ef08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001ed443ea0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e136bc90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001e136cc90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001e136bcb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001ed443ed0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001e136bcd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00000001e136ccb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001ed443b10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e136ccd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001ed443bc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001ed443b40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e136bc10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e136ccf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ed443e40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e136cd10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00000001ed443f00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001ed443f30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001ed443bf0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
00000001ed443f60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001ed443f90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
00000001ed443c20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000001e136ca10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00000001ed443c50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001e136cd30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00000001ed444170 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001e136ca30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
00000001ed443b70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001ed443c80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001e136c950 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
00000001ed443fc0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
00000001ed4438e0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed443900 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed443a20 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed443a60 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed443ba0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed444080 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed444200 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ed443960 (__AUTH_CONST,__const) non-external ___block_literal_global.12
00000001ed443980 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001ed443a40 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001ed444130 (__AUTH_CONST,__const) non-external ___block_literal_global.169
00000001ed444150 (__AUTH_CONST,__const) non-external ___block_literal_global.173
00000001ed4439a0 (__AUTH_CONST,__const) non-external ___block_literal_global.32
00000001ed443920 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001ed443940 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001dbe86e34 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00000001dbe99e34 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001dbef936c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000001dbe9d3bc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001dbe9d310 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001dbeb107c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001dbec1fa4 (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000001dbec1594 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000001dbec0528 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000001dbec1958 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000001dbebfee4 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000001dbebffe0 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000001dbec6550 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000001dbec1d6c (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000001dbea8170 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000001dbec1e7c (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000001dbec1f48 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000001dbebd020 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000001dbebe4c0 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000001dbec0e60 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00000001dbe99e44 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001dbef93bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000001dbe9d3cc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001dbe9d360 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001dbeb10dc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000001dbe66f24 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000001dbea3214 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00000001dbe8691c (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00000001dbe86930 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00000001dbe86e3c (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00000001dbe5dcd8 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00000001dbe5de2c (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00000001dbe5ddf8 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000001dbe5dd90 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00000001dbe5ddc4 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000001dbe5de38 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000001dbea448c (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000001dbea452c (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000001dbe9d298 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000001dbe9d3a4 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000001dbeaf644 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000001dbeafb58 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00000001dbe99d7c (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00000001dbe872a8 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000001dbeeaf94 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000001dbeeadb0 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000001dbeeadd4 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000001dbeeae58 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000001dbeeae84 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000001dbeeb0c4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000001dbeeb0e8 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000001dbeeb100 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000001dbeeb10c (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000001dbeea9b4 (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000001dbeeaf70 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000001dbea59b8 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000001dbea59fc (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
00000001dbeeb054 (__TEXT,__text) non-external ___glpSAStructType_block_invoke
00000001dbeea990 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
