00000001d35f95b4 (__TEXT,__text) non-external +[Cube initialize]
00000001d3436b8c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001d34353d8 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001d3435480 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001d3436f28 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001d343683c (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001d3437628 (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001d3438704 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001d3438698 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001d33ffc78 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001d33ffc70 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001d343ebdc (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001d343eb70 (__TEXT,__text) non-external +[MPCropController sharedController]
00000001d3444670 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001d344455c (__TEXT,__text) non-external +[MPDocument initialize]
00000001d34446c0 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001d344447c (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001d344b88c (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001d34446ac (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001d3444668 (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001d3444330 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001d3444348 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001d344b88c (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001d3444698 (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001d344b91c (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001d344b96c (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001d344b9a8 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001d344b9ec (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001d344ba30 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001d344b914 (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001d34541e8 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001d3454210 (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001d3454528 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001d34581fc (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001d34582a8 (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001d3458234 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001d345b288 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001d345bf7c (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001d345c2bc (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001d345c484 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001d345bd74 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001d345bd38 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001d345bd4c (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001d345bd60 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001d345c5b0 (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001d345c5a8 (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001d345e258 (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001d345e1e4 (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001d345f010 (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001d345f8d4 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001d345f8cc (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001d3460260 (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001d34601ec (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001d3460938 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001d34010e4 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001d34010dc (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001d3461578 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001d3461600 (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001d34615a0 (__TEXT,__text) non-external +[MPLayer layer]
00000001d34615d0 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001d3461630 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001d3466230 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001d346626c (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001d34662b0 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001d34662f4 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001d346b010 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001d346b088 (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001d34749a4 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001d3478118 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001d34780f0 (__TEXT,__text) non-external +[MPSlide slide]
00000001d34780e8 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001d347d53c (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001d347d500 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001d347d4d8 (__TEXT,__text) non-external +[MPSong song]
00000001d347d4d0 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001d347e790 (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001d347e71c (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001d3400ca0 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001d3400c98 (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001d347f4a8 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001d33ef8d8 (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001d3480d08 (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001d3482630 (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001d3482638 (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001d3484220 (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001d34841e4 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001d34014d0 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001d34014d8 (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001d3485870 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001d34857fc (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001d34863a0 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001d3489ecc (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001d348bc48 (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001d3489a58 (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001d3489b00 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001d3489548 (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001d3488b38 (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001d34885dc (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001d3488d80 (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001d34898d8 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001d3489998 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001d348bdb8 (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001d348a904 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001d348ac38 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001d348abb4 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001d348b814 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001d348b704 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001d348b8e0 (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001d348b878 (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001d34890f0 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001d3489034 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001d34893bc (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001d348b5f8 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001d348b118 (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001d348b06c (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001d348a3e4 (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001d348b54c (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001d348aafc (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001d348b2d0 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001d3488390 (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001d3488490 (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001d348c53c (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001d348c624 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001d348c844 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001d348c8d8 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001d348ced8 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001d348c4f0 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001d348c47c (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001d348cc90 (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001d348d06c (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001d348d218 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001d348c968 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001d348ca9c (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001d348c0f4 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001d348c8c8 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001d348d2b0 (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001d348cc68 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001d348c964 (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001d348c7f0 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001d348c4b0 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001d348c414 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001d3406a54 (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001d340639c (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001d340657c (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001d34063f4 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001d34064e0 (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001d34063a4 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001d34064a8 (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001d3406b50 (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001d348fe9c (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001d348ff0c (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001d348ff00 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001d3602264 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001d34964b4 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001d34964bc (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001d3496674 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001d3496a68 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001d349667c (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001d3496834 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001d349869c (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001d34986a4 (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001d3498694 (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001d34981e0 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001d3499158 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001d3499160 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001d35b6cb8 (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001d35b6cb0 (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001d35b9d20 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001d35b9d28 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001d35dec2c (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001d35de600 (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001d35de5f8 (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001d35dd918 (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001d35de6d0 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001d35de9c8 (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001d35b27f4 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001d35b27ec (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001d35b23f4 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001d35ec5e0 (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001d35eb748 (__TEXT,__text) non-external +[MREffectFloating hasCustomTiming]
00000001d35eb750 (__TEXT,__text) non-external +[MREffectFloating supportsDynamicExpansionForEffectID:]
00000001d35eb758 (__TEXT,__text) non-external +[MREffectFloating typicalSlideBatchSizeForEffectID:]
00000001d35da5c8 (__TEXT,__text) non-external +[MREffectFramedSlide initialize]
