0000000182ba24b8 (__DATA,__data) non-external _C
0000000180a7bc2c (__TEXT,__text) external _tre_stack_num_objects
0000000180a7bd0c (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
0000000180a7bd28 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
0000000180a7bc3c (__TEXT,__text) non-external _tre_stack_push
0000000180a7bc34 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
0000000180a7bd08 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
0000000180a762bc (__TEXT,__text) external _tre_tnfa_run_backtrack
0000000180a78064 (__TEXT,__text) external _tre_tnfa_run_parallel
0000000180a6a1a0 (__TEXT,__text) non-external _trecurse
0000000180a6a0d8 (__TEXT,__text) external _tsearch
0000000180a38b5c (__TEXT,__text) external _ttyname
0000000182ba42b8 (__DATA,__bss) non-external _ttyname_init
0000000182ba42c0 (__DATA,__bss) non-external _ttyname_key
0000000182ba2b38 (__DATA,__data) non-external _ttyname_lock
0000000180a38c8c (__TEXT,__text) external _ttyname_r
0000000180a38d60 (__TEXT,__text) external _ttyslot
0000000180a6a18c (__TEXT,__text) external _twalk
0000000180a5a7c4 (__TEXT,__text) non-external _typesequiv
0000000180a586dc (__TEXT,__text) non-external _tzload
0000000182ba3158 (__DATA,__data) external _tzname
0000000180a58fbc (__TEXT,__text) non-external _tzparse
0000000180a596dc (__TEXT,__text) external _tzset
0000000180a583d0 (__TEXT,__text) external _tzsetwall
0000000180a583d8 (__TEXT,__text) non-external _tzsetwall_basic
0000000180a38d68 (__TEXT,__text) external _ualarm
0000000182ba2fc8 (__DATA,__data) non-external _uglue
0000000180a38df4 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180a1e118 (__TEXT,__text) external _uname
0000000180a81560 (__TEXT,__const) non-external _unbound_variable_str
0000000180a18920 (__TEXT,__text) non-external _underflow
0000000180a4c718 (__TEXT,__text) external _ungetc
0000000180a4c9fc (__TEXT,__text) external _ungetwc
0000000180a4ca7c (__TEXT,__text) external _ungetwc_l
0000000182ba4039 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
0000000180a6a45c (__TEXT,__text) external _unlockpt
0000000180a686a4 (__TEXT,__text) external _unsetenv
0000000180a38e8c (__TEXT,__text) external _unvis
0000000180a7e94c (__TEXT,__text) non-external _unvis.cold.1
0000000180a7e978 (__TEXT,__text) non-external _unvis.cold.2
0000000180a20f74 (__TEXT,__text) external _uselocale
0000000180a7bfd4 (__TEXT,__text) external _usleep
0000000180a395bc (__TEXT,__text) external _usleep$NOCANCEL
0000000182ba5300 (__DATA,__bss) non-external _usual
0000000182ba4530 (__DATA,__bss) non-external _usual_extra
0000000180a3960c (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
0000000180a22a98 (__TEXT,__text) external _uuid_clear
0000000180a22aa0 (__TEXT,__text) external _uuid_compare
0000000180a22b60 (__TEXT,__text) external _uuid_copy
0000000180a22f24 (__TEXT,__text) external _uuid_generate
0000000180a22e84 (__TEXT,__text) external _uuid_generate_random
0000000180a22b7c (__TEXT,__text) external _uuid_generate_time
0000000182ba4170 (__DATA,__bss) non-external _uuid_generate_time.has_init
0000000182ba4168 (__DATA,__bss) non-external _uuid_generate_time.node_id
0000000180a22f28 (__TEXT,__text) external _uuid_is_null
0000000180a22f50 (__TEXT,__text) external _uuid_pack
0000000180a22fa0 (__TEXT,__text) external _uuid_parse
0000000180a230fc (__TEXT,__text) external _uuid_unpack
0000000180a2321c (__TEXT,__text) external _uuid_unparse
0000000180a2314c (__TEXT,__text) external _uuid_unparse_lower
0000000180a231b4 (__TEXT,__text) external _uuid_unparse_upper
0000000180b827d8 (__DATA_CONST,__const) non-external _validlist
0000000180a4ccbc (__TEXT,__text) external _vasprintf
0000000180a4cca0 (__TEXT,__text) external _vasprintf_l
0000000180a21a9c (__TEXT,__text) external _vasxprintf
0000000180a224b4 (__TEXT,__text) external _vasxprintf_exec
0000000180a4ce54 (__TEXT,__text) external _vdprintf
0000000180a4ce38 (__TEXT,__text) external _vdprintf_l
0000000180a21ab4 (__TEXT,__text) external _vdxprintf
0000000180a224d0 (__TEXT,__text) external _vdxprintf_exec
0000000180a7e5bc (__TEXT,__text) external _verr
0000000180a7e4c4 (__TEXT,__text) external _verrc
0000000180a7e634 (__TEXT,__text) external _verrx
0000000180a23554 (__TEXT,__text) external _vfork
0000000180a4cf4c (__TEXT,__text) external _vfprintf
0000000180a4ce8c (__TEXT,__text) external _vfprintf_l
0000000180a50448 (__TEXT,__text) external _vfscanf
0000000180a5215c (__TEXT,__text) external _vfscanf_l
0000000180a54e98 (__TEXT,__text) external _vfwprintf
0000000180a523a0 (__TEXT,__text) external _vfwprintf_l
0000000180a556b0 (__TEXT,__text) external _vfwscanf
0000000180a56f18 (__TEXT,__text) external _vfwscanf_l
0000000180a21acc (__TEXT,__text) external _vfxprintf
0000000180a224ec (__TEXT,__text) external _vfxprintf_exec
0000000180a39eb8 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
0000000180a56fb4 (__TEXT,__text) external _vprintf
0000000180a56fec (__TEXT,__text) external _vprintf_l
0000000180a57008 (__TEXT,__text) external _vscanf
0000000180a57084 (__TEXT,__text) external _vscanf_l
0000000180a57234 (__TEXT,__text) external _vsnprintf
0000000180a57214 (__TEXT,__text) external _vsnprintf_l
0000000180a57370 (__TEXT,__text) external _vsprintf
0000000180a57270 (__TEXT,__text) external _vsprintf_l
0000000180a5754c (__TEXT,__text) external _vsscanf
0000000180a5739c (__TEXT,__text) external _vsscanf_l
0000000180a5777c (__TEXT,__text) external _vswprintf
0000000180a57578 (__TEXT,__text) external _vswprintf_l
0000000180a5797c (__TEXT,__text) external _vswscanf
0000000180a577a8 (__TEXT,__text) external _vswscanf_l
0000000180a21ae4 (__TEXT,__text) external _vsxprintf
0000000180a22508 (__TEXT,__text) external _vsxprintf_exec
0000000180a7e800 (__TEXT,__text) external _vwarn
0000000180a7e740 (__TEXT,__text) external _vwarnc
0000000180a7e89c (__TEXT,__text) external _vwarnx
0000000180a579a8 (__TEXT,__text) external _vwprintf
0000000180a579e0 (__TEXT,__text) external _vwprintf_l
0000000180a579fc (__TEXT,__text) external _vwscanf
0000000180a57a34 (__TEXT,__text) external _vwscanf_l
0000000180a21b08 (__TEXT,__text) external _vxprintf
0000000180a2252c (__TEXT,__text) external _vxprintf_exec
0000000180a7c024 (__TEXT,__text) external _wait
0000000180a3a984 (__TEXT,__text) external _wait$NOCANCEL
0000000180a3a998 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
0000000180a7c038 (__TEXT,__text) external _waitpid
0000000180a3a9ac (__TEXT,__text) external _waitpid$NOCANCEL
0000000180a7e6fc (__TEXT,__text) external _warn
0000000180a7e844 (__TEXT,__text) external _warnc
0000000180a7e870 (__TEXT,__text) external _warnx
0000000180a5f57c (__TEXT,__text) external _wcpcpy
0000000180a5f59c (__TEXT,__text) external _wcpncpy
0000000180a41860 (__TEXT,__text) external _wcrtomb
0000000180a41820 (__TEXT,__text) external _wcrtomb_l
0000000180a5f6b4 (__TEXT,__text) external _wcscasecmp
0000000180a5f60c (__TEXT,__text) external _wcscasecmp_l
0000000180a5f6d8 (__TEXT,__text) external _wcscat
0000000180a5f700 (__TEXT,__text) external _wcschr
0000000180a5f720 (__TEXT,__text) external _wcscmp
0000000180a5fbb8 (__TEXT,__text) external _wcscoll
0000000180a5f748 (__TEXT,__text) external _wcscoll_l
0000000180a5fbdc (__TEXT,__text) external _wcscpy
0000000180a606c4 (__TEXT,__text) external _wcscspn
0000000180a60708 (__TEXT,__text) external _wcsdup
0000000180a41aa4 (__TEXT,__text) external _wcsftime
0000000180a418a4 (__TEXT,__text) external _wcsftime_l
0000000180a60770 (__TEXT,__text) external _wcslcat
0000000180a60818 (__TEXT,__text) external _wcslcpy
0000000180a60868 (__TEXT,__text) external _wcslen
0000000180a60950 (__TEXT,__text) external _wcsncasecmp
0000000180a60884 (__TEXT,__text) external _wcsncasecmp_l
0000000180a60974 (__TEXT,__text) external _wcsncat
0000000180a609b8 (__TEXT,__text) external _wcsncmp
0000000180a609f4 (__TEXT,__text) external _wcsncpy
0000000180a60a5c (__TEXT,__text) external _wcsnlen
0000000180a41b08 (__TEXT,__text) external _wcsnrtombs
0000000180a41ac8 (__TEXT,__text) external _wcsnrtombs_l
0000000180a60a8c (__TEXT,__text) external _wcspbrk
0000000180a60ac4 (__TEXT,__text) external _wcsrchr
0000000180a41d94 (__TEXT,__text) external _wcsrtombs
0000000180a41d48 (__TEXT,__text) external _wcsrtombs_l
0000000180a60ae8 (__TEXT,__text) external _wcsspn
0000000180a60ee4 (__TEXT,__text) external _wcsstr
0000000180a4206c (__TEXT,__text) external _wcstod
0000000180a41e48 (__TEXT,__text) external _wcstod_l
0000000180a422b4 (__TEXT,__text) external _wcstof
0000000180a42090 (__TEXT,__text) external _wcstof_l
0000000180a42518 (__TEXT,__text) external _wcstoimax
0000000180a422d8 (__TEXT,__text) external _wcstoimax_l
0000000180a60f6c (__TEXT,__text) external _wcstok
0000000180a4277c (__TEXT,__text) external _wcstol
0000000180a4253c (__TEXT,__text) external _wcstol_l
0000000180a429c4 (__TEXT,__text) external _wcstold
0000000180a427a0 (__TEXT,__text) external _wcstold_l
0000000180a42c28 (__TEXT,__text) external _wcstoll
0000000180a429e8 (__TEXT,__text) external _wcstoll_l
0000000180a42cf4 (__TEXT,__text) external _wcstombs
0000000180a42c4c (__TEXT,__text) external _wcstombs_l
0000000180a42fd8 (__TEXT,__text) external _wcstoul
0000000180a42d9c (__TEXT,__text) external _wcstoul_l
0000000180a43238 (__TEXT,__text) external _wcstoull
0000000180a42ffc (__TEXT,__text) external _wcstoull_l
0000000180a43498 (__TEXT,__text) external _wcstoumax
0000000180a4325c (__TEXT,__text) external _wcstoumax_l
0000000180a61080 (__TEXT,__text) external _wcswidth
0000000180a60ff0 (__TEXT,__text) external _wcswidth_l
0000000180a61264 (__TEXT,__text) external _wcsxfrm
0000000180a610a4 (__TEXT,__text) external _wcsxfrm_l
0000000180a43578 (__TEXT,__text) external _wctob
0000000180a434bc (__TEXT,__text) external _wctob_l
0000000180a43618 (__TEXT,__text) external _wctomb
0000000180a4359c (__TEXT,__text) external _wctomb_l
0000000180a4379c (__TEXT,__text) external _wctrans
0000000180a43838 (__TEXT,__text) external _wctrans_l
0000000180a43944 (__TEXT,__text) external _wctype
0000000180a4383c (__TEXT,__text) external _wctype_l
0000000180b82b70 (__DATA_CONST,__const) non-external _wctype_l.props
0000000180a43968 (__TEXT,__text) external _wcwidth
0000000180a439e8 (__TEXT,__text) external _wcwidth_l
0000000180a60648 (__TEXT,__text) non-external _we_read_fully
0000000180a81458 (__TEXT,__const) non-external _wildabbr
0000000180a61288 (__TEXT,__text) external _wmemchr
0000000180a612ac (__TEXT,__text) external _wmemcmp
0000000180a612e4 (__TEXT,__text) external _wmemcpy
0000000180a612ec (__TEXT,__text) external _wmemmove
0000000180a612f4 (__TEXT,__text) external _wmemset
0000000180a581ac (__TEXT,__text) non-external _wmemstream_close
0000000180a580f8 (__TEXT,__text) non-external _wmemstream_seek
0000000180a7eddc (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180a7ee08 (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180a57ed8 (__TEXT,__text) non-external _wmemstream_update
0000000180a7edb0 (__TEXT,__text) non-external _wmemstream_update.cold.1
0000000180a57f0c (__TEXT,__text) non-external _wmemstream_write
0000000180a5fbf4 (__TEXT,__text) external _wordexp
0000000180a60600 (__TEXT,__text) external _wordfree
0000000180a57b48 (__TEXT,__text) external _wprintf
0000000180a57ba4 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180a57be4 (__TEXT,__text) external _wscanf
0000000180a57c40 (__TEXT,__text) external _wscanf_l
0000000180a21a54 (__TEXT,__text) external _xprintf
0000000182ba4160 (__DATA,__bss) non-external _xprintf_domain_default
0000000180a22470 (__TEXT,__text) external _xprintf_exec
0000000180a81460 (__TEXT,__const) non-external _year_lengths
0000000182ba40a0 (__DATA,__bss) non-external _zapchar
0000000180a812bf (__TEXT,__const) non-external _zeroes
0000000180a813b0 (__TEXT,__const) non-external _zeroes
0000000182ba3320 (__DATA,__data) non-external _zeroes
