00000001d5a96d78 (__DATA,__data) non-external _C
00000001802fe258 (__TEXT,__text) non-external _sappend
00000001d5a98940 (__DATA,__bss) non-external _saved_categories
0000000180305ac4 (__TEXT,__text) external _sbrk
00000001d5a97ec8 (__DATA,__bss) non-external _sbrk_curbrk
00000001d5a97ec0 (__DATA,__bss) non-external _sbrk_needs_init
00000001d5a96c70 (__DATA,__data) non-external _sbrk_region_size
000000018032342c (__TEXT,__text) external _scandir
0000000180340348 (__TEXT,__text) external _scandir_b
0000000180330b80 (__TEXT,__text) external _scanf
0000000180330c00 (__TEXT,__text) external _scanf_l
000000018034c408 (__TEXT,__const) non-external _sccsid
000000018034c450 (__TEXT,__const) non-external _sccsid
00000001803235bc (__TEXT,__text) external _seed48
00000001d5a987f8 (__DATA,__bss) non-external _seed48.sseed
0000000180323624 (__TEXT,__text) external _seekdir
                 (undefined) external _select$NOCANCEL (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
00000001802e4b3c (__TEXT,__text) external _send
00000001802e4b24 (__TEXT,__text) external _send$NOCANCEL
000000018034ce40 (__TEXT,__const) non-external _seps
00000001d5a98018 (__DATA,__bss) non-external _seq
000000018030caa0 (__TEXT,__text) non-external _set_asl
000000018030cdec (__TEXT,__text) non-external _set_file
                 (undefined) external _setattrlist (from libsystem_kernel)
0000000180330c90 (__TEXT,__text) external _setbuf
0000000180330ca4 (__TEXT,__text) external _setbuffer
00000001802d827c (__TEXT,__text) external _setenv
0000000180313e8c (__TEXT,__text) external _sethostid
000000018032367c (__TEXT,__text) external _sethostname
00000001803136e8 (__TEXT,__text) external _setinvalidrune
00000001d5a986dc (__DATA,__bss) non-external _setinvalidrune.warn_depreciated
000000018032c470 (__TEXT,__text) external _setipv4sourcefilter
00000001803494d4 (__TEXT,__text) non-external _setipv4sourcefilter.cold.1
                 (undefined) external _setitimer (from libsystem_kernel)
0000000180309060 (__TEXT,__text) external _setkey
00000001802fef04 (__TEXT,__text) external _setlinebuf
00000001802dc408 (__TEXT,__text) external _setlocale
0000000180303fa4 (__TEXT,__text) external _setlogin
0000000180323808 (__TEXT,__text) external _setmode
                 (undefined) external _setpgid (from libsystem_kernel)
0000000180313f00 (__TEXT,__text) external _setpgrp
                 (undefined) external _setpriority (from libsystem_kernel)
00000001802fe5ec (__TEXT,__text) external _setprogname
                 (undefined) external _setregid (from libsystem_kernel)
                 (undefined) external _setreuid (from libsystem_kernel)
0000000180313f44 (__TEXT,__text) external _setrgid
                 (undefined) external _setrlimit (from libsystem_kernel)
0000000180313f4c (__TEXT,__text) external _setruid
00000001803286c0 (__TEXT,__text) external _setrunelocale
                 (undefined) external _setsid (from libsystem_kernel)
                 (undefined) external _setsockopt (from libsystem_kernel)
000000018032c6dc (__TEXT,__text) external _setsourcefilter
000000018033c700 (__TEXT,__text) external _setstate
0000000180312c2c (__TEXT,__text) external _settimeofday
000000018030a6f4 (__TEXT,__text) external _setttyent
00000001802dbab8 (__TEXT,__text) non-external _settzname
000000018030b228 (__TEXT,__text) external _setusershell
0000000180342620 (__TEXT,__text) external _setutxent
000000018030c6bc (__TEXT,__text) external _setutxent_wtmp
00000001802fc0ac (__TEXT,__text) external _setvbuf
000000018032d728 (__TEXT,__text) non-external _sflush_locked
00000001803135c8 (__TEXT,__text) non-external (was a private external) _sgetrune
00000001d5a986d4 (__DATA,__bss) non-external _sgetrune.warn_depreciated
00000001d5a98090 (__DATA,__bss) non-external _shells
0000000180307f1c (__TEXT,__text) non-external _shiftLeftMP
0000000180307ce4 (__TEXT,__text) non-external _shiftRightMPWithRounding
00000001d5a97070 (__DATA,__data) non-external _sig_init_once
00000001d5a98c90 (__DATA,__bss) non-external _sig_key
0000000180337f04 (__TEXT,__text) non-external _sig_keycreate
00000001d5a98c88 (__DATA,__bss) non-external _sig_keycreated
00000001802f3048 (__TEXT,__text) external _sigaction
000000018030b780 (__TEXT,__text) external _sigaddset
0000000180305688 (__TEXT,__text) external _sigaltstack
0000000180305780 (__TEXT,__text) external _sigblock
000000018030b7dc (__TEXT,__text) external _sigdelset
000000018030b764 (__TEXT,__text) external _sigemptyset
000000018030b770 (__TEXT,__text) external _sigfillset
00000001802fcb2c (__TEXT,__text) external _sighold
000000018030585c (__TEXT,__text) external _sigignore
0000000180323ecc (__TEXT,__text) external _siginterrupt
000000018030b838 (__TEXT,__text) external _sigismember
00000001802f2fc4 (__TEXT,__text) external _signal
00000001802f2fcc (__TEXT,__text) non-external _signal__
00000001d5a98770 (__DATA,__bss) non-external _signo
00000001803475c8 (__TEXT,__text) external _sigpause
00000001803057c0 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001802fcb88 (__TEXT,__text) external _sigrelse
00000001802fca28 (__TEXT,__text) external _sigset
0000000180305740 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
00000001803056d4 (__TEXT,__text) external _sigvec
00000001803056dc (__TEXT,__text) non-external _sigvec__
000000018030aecc (__TEXT,__text) non-external _skip
00000001d5a9715c (__DATA,__data) external _skip
0000000180323fd8 (__TEXT,__text) external _sl_add
00000001803240c8 (__TEXT,__text) external _sl_find
0000000180324050 (__TEXT,__text) external _sl_free
0000000180323f84 (__TEXT,__text) external _sl_init
00000001803491d0 (__TEXT,__text) non-external _sl_init.cold.1
00000001803491ec (__TEXT,__text) non-external _sl_init.cold.2
00000001d5a98750 (__DATA,__bss) non-external _slash
00000001802e9088 (__TEXT,__text) external _sleep
00000001802f9a9c (__TEXT,__text) external _sleep$NOCANCEL
00000001d5a98010 (__DATA,__bss) non-external _slot
00000001802dec48 (__TEXT,__text) external _snprintf
00000001802debf4 (__TEXT,__text) external _snprintf_l
00000001803253a4 (__TEXT,__text) external _snvis
000000018032c430 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
00000001802e4d24 (__TEXT,__text) external _sprintf
00000001802f2a3c (__TEXT,__text) external _sprintf_l
0000000180313654 (__TEXT,__text) non-external (was a private external) _sputrune
00000001d5a986d8 (__DATA,__bss) non-external _sputrune.warn_depreciated
000000018033bf30 (__TEXT,__text) external _sradixsort
00000001802fa174 (__TEXT,__text) external _srand
00000001802fa930 (__TEXT,__text) external _srand48
000000018033c4fc (__TEXT,__text) external _sranddev
00000001802e1148 (__TEXT,__text) external _srandom
00000001802f7d24 (__TEXT,__text) external _srandomdev
00000001802e29ec (__TEXT,__text) external _sscanf
00000001802dc8f4 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
0000000180311438 (__TEXT,__text) external _stat_with_subsystem
00000001d5a970c0 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
00000001802fc3c8 (__TEXT,__text) external _statvfs
00000001802e9118 (__TEXT,__text) non-external _statx1
0000000180312cbc (__TEXT,__text) external _statx_np
00000001802e92f4 (__TEXT,__text) non-external _statx_syscall
00000001802e0458 (__TEXT,__text) external _stpcpy
00000001802df378 (__TEXT,__text) external _stpncpy
0000000180325564 (__TEXT,__text) external _stravis
00000001802d9a18 (__TEXT,__text) external _strcasecmp
00000001802d9a3c (__TEXT,__text) external _strcasecmp_l
00000001802e0048 (__TEXT,__text) external _strcasestr
00000001802e006c (__TEXT,__text) external _strcasestr_l
00000001802db3ac (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
00000001802fb978 (__TEXT,__text) external _strcoll
00000001802fb99c (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
00000001802e4788 (__TEXT,__text) external _strcspn
00000001802d4abc (__TEXT,__text) external _strdup
00000001803255fc (__TEXT,__text) external _strenvisx
00000001802e492c (__TEXT,__text) external _strerror
00000001802e5c4c (__TEXT,__text) external _strerror_r
0000000180343450 (__TEXT,__text) external _strfmon
0000000180344150 (__TEXT,__text) external _strfmon_l
00000001802fb034 (__TEXT,__text) external _strftime
00000001802f18ec (__TEXT,__text) external _strftime_l
00000001d5a98098 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
0000000180337ba4 (__TEXT,__text) external _strmode
00000001802e4b54 (__TEXT,__text) external _strncasecmp
00000001802d98b0 (__TEXT,__text) external _strncasecmp_l
00000001802e719c (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
00000001802dfc70 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
00000001802d4b10 (__TEXT,__text) external _strnstr
000000018032528c (__TEXT,__text) external _strnunvis
0000000180325108 (__TEXT,__text) external _strnunvisx
0000000180349260 (__TEXT,__text) non-external _strnunvisx.cold.1
000000018034928c (__TEXT,__text) non-external _strnunvisx.cold.2
00000001803492b8 (__TEXT,__text) non-external _strnunvisx.cold.3
00000001802f5a48 (__TEXT,__text) external _strnvis
00000001803255c4 (__TEXT,__text) external _strnvisx
00000001802fedec (__TEXT,__text) external _strpbrk
0000000180337a00 (__TEXT,__text) external _strptime
00000001802f8304 (__TEXT,__text) external _strptime_l
00000001802d4bac (__TEXT,__text) external _strrchr
00000001803254d4 (__TEXT,__text) external _strsenvisx
00000001802e4a48 (__TEXT,__text) external _strsep
0000000180337e3c (__TEXT,__text) external _strsignal
0000000180337ce8 (__TEXT,__text) external _strsignal_r
0000000180325438 (__TEXT,__text) external _strsnvis
00000001803254a4 (__TEXT,__text) external _strsnvisx
00000001802e4844 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
0000000180325400 (__TEXT,__text) external _strsvis
0000000180325464 (__TEXT,__text) external _strsvisx
00000001802f7134 (__TEXT,__text) external _strtod
00000001802d99e0 (__TEXT,__text) external _strtod_l
0000000180305bf4 (__TEXT,__text) external _strtoencf16
0000000180305cc0 (__TEXT,__text) external _strtoencf32
0000000180305f8c (__TEXT,__text) external _strtoencf64
00000001803063c0 (__TEXT,__text) external _strtoencf64x
00000001802e6600 (__TEXT,__text) external _strtof
00000001802e57f4 (__TEXT,__text) external _strtof_l
000000018030b924 (__TEXT,__text) external _strtofflags
000000018033d70c (__TEXT,__text) external _strtoimax
00000001802de068 (__TEXT,__text) external _strtoimax_l
0000000180300720 (__TEXT,__text) external _strtok
00000001d5a98c98 (__DATA,__bss) non-external _strtok.last
00000001802e87cc (__TEXT,__text) external _strtok_r
00000001802dc3e4 (__TEXT,__text) external _strtol
00000001802d92e0 (__TEXT,__text) external _strtol_l
0000000180302d34 (__TEXT,__text) external _strtold
00000001803044fc (__TEXT,__text) external _strtold_l
00000001802d4824 (__TEXT,__text) external _strtoll
00000001802d4848 (__TEXT,__text) external _strtoll_l
000000018032e2b4 (__TEXT,__text) external _strtonum
000000018033d730 (__TEXT,__text) external _strtoq
000000018033d754 (__TEXT,__text) external _strtoq_l
00000001802df994 (__TEXT,__text) external _strtoul
00000001802df9b8 (__TEXT,__text) external _strtoul_l
00000001802f148c (__TEXT,__text) external _strtoull
00000001802f14b0 (__TEXT,__text) external _strtoull_l
000000018030469c (__TEXT,__text) external _strtoumax
00000001802e2a3c (__TEXT,__text) external _strtoumax_l
00000001802f2f94 (__TEXT,__text) external _strtouq
000000018033d758 (__TEXT,__text) external _strtouq_l
000000018032527c (__TEXT,__text) external _strunvis
000000018032526c (__TEXT,__text) external _strunvisx
000000018030376c (__TEXT,__text) external _strvis
0000000180325580 (__TEXT,__text) external _strvisx
0000000180338204 (__TEXT,__text) external _strxfrm
0000000180337f44 (__TEXT,__text) external _strxfrm_l
00000001d5a98da8 (__DATA,__common) external _suboptarg
00000001d5a98620 (__DATA,__bss) non-external _subsystem_root_path
000000018032534c (__TEXT,__text) external _svis
0000000180338228 (__TEXT,__text) external _swab
0000000180330cbc (__TEXT,__text) external _swprintf
0000000180330d0c (__TEXT,__text) external _swprintf_l
0000000180330d38 (__TEXT,__text) external _swscanf
0000000180330d88 (__TEXT,__text) external _swscanf_l
0000000180311b00 (__TEXT,__text) external _sxprintf
0000000180312258 (__TEXT,__text) external _sxprintf_exec
0000000180313978 (__TEXT,__text) external _sync_volume_np
000000018034cd2f (__TEXT,__const) non-external _syntax_error_str
00000001d3911180 (__DATA_CONST,__const) external _sys_errlist
000000018034bef8 (__TEXT,__const) external _sys_nerr
00000001d3911b10 (__DATA_CONST,__const) external _sys_siglist
00000001d3911a10 (__DATA_CONST,__const) external _sys_signame
00000001802de524 (__TEXT,__text) external _sysconf
00000001802d894c (__TEXT,__text) external _sysctl
00000001802d8b48 (__TEXT,__text) external _sysctlbyname
000000018030276c (__TEXT,__text) external _sysctlnametomib
                 (undefined) external _syslog$DARWIN_EXTSN (from libsystem_asl)
00000001803476f0 (__TEXT,__text) external _system
000000018033d75c (__TEXT,__text) external _system$NOCANCEL
                 (undefined) external _task_set_special_port (from libsystem_kernel)
00000001803476b0 (__TEXT,__text) external _tcdrain
0000000180324744 (__TEXT,__text) external _tcdrain$NOCANCEL
00000001803247e4 (__TEXT,__text) external _tcflow
0000000180324770 (__TEXT,__text) external _tcflush
00000001802f6ca8 (__TEXT,__text) external _tcgetattr
00000001802f59e8 (__TEXT,__text) external _tcgetpgrp
0000000180312aa8 (__TEXT,__text) external _tcgetsid
00000001803246bc (__TEXT,__text) external _tcsendbreak
0000000180303194 (__TEXT,__text) external _tcsetattr
000000018030313c (__TEXT,__text) external _tcsetpgrp
0000000180303674 (__TEXT,__text) external _tdelete
0000000180324490 (__TEXT,__text) external _telldir
0000000180330db4 (__TEXT,__text) external _tempnam
00000001d5a98008 (__DATA,__bss) non-external _tf
0000000180303378 (__TEXT,__text) external _tfind
000000018030bc74 (__TEXT,__text) external _thread_stack_async_pcs
00000001802e0b5c (__TEXT,__text) external _thread_stack_pcs
00000001d5a96d60 (__DATA,__data) non-external _threadsafe
00000001802def58 (__TEXT,__text) external _time
00000001802e9928 (__TEXT,__text) non-external _time2
00000001803376f0 (__TEXT,__text) external _time2posix
00000001802e99b8 (__TEXT,__text) non-external _time2sub
00000001802f9a78 (__TEXT,__text) external _timegm
00000001803376bc (__TEXT,__text) external _timelocal
00000001803376cc (__TEXT,__text) external _timeoff
0000000180324894 (__TEXT,__text) external _times
000000018033e0c4 (__TEXT,__text) external _timespec_get
00000001802dbf5c (__TEXT,__text) non-external _timesub
00000001d6c26300 (__DATA_DIRTY,__common) external _timezone
00000001802f1718 (__TEXT,__text) external _timingsafe_bcmp
00000001d5a98c28 (__DATA,__bss) non-external _tm
0000000180302814 (__TEXT,__text) non-external _tmcomp
0000000180330f78 (__TEXT,__text) external _tmpfile
00000001803310c4 (__TEXT,__text) external _tmpnam
00000001d5a98ab8 (__DATA,__bss) non-external _tmpnam.tmpcount
00000001d5a98ac0 (__DATA,__bss) non-external _tmpnam_buf
0000000180331178 (__TEXT,__text) non-external _tmpnam_buf_allocate
00000001d5a97038 (__DATA,__data) non-external _tmpnam_buf_control
000000018034bf38 (__TEXT,__const) non-external _tmundef
000000018030da4c (__TEXT,__text) external _toascii
00000001802fee74 (__TEXT,__text) external _tolower
000000018030e620 (__TEXT,__text) external _tolower_l
00000001d5a98728 (__DATA,__bss) non-external _toprec
00000001d5a98730 (__DATA,__bss) non-external _topreclen
000000018030da54 (__TEXT,__text) external _toupper
000000018030e640 (__TEXT,__text) external _toupper_l
000000018032a80c (__TEXT,__text) external _towctrans
000000018032a72c (__TEXT,__text) external _towctrans_l
000000018030eb28 (__TEXT,__text) external _towlower
000000018030f138 (__TEXT,__text) external _towlower_l
000000018030eb64 (__TEXT,__text) external _towupper
000000018030f158 (__TEXT,__text) external _towupper_l
00000001802db708 (__TEXT,__text) non-external _transtime
00000001802ee2d4 (__TEXT,__text) non-external _tre_add_tag_left
0000000180345428 (__TEXT,__text) non-external _tre_add_tag_right
00000001802eca54 (__TEXT,__text) non-external _tre_add_tags
00000001802eca08 (__TEXT,__text) external _tre_ast_new_catenation
00000001802ec7c0 (__TEXT,__text) external _tre_ast_new_iter
00000001802ec584 (__TEXT,__text) external _tre_ast_new_literal
00000001802ec5d0 (__TEXT,__text) external _tre_ast_new_node
00000001802ec774 (__TEXT,__text) external _tre_ast_new_union
00000001802ee94c (__TEXT,__text) non-external _tre_ast_to_tnfa
00000001802ea218 (__TEXT,__text) external _tre_compile
0000000180344d64 (__TEXT,__text) non-external _tre_compute_nfl
00000001803050a4 (__TEXT,__text) non-external _tre_copy_ast
0000000180344868 (__TEXT,__text) non-external _tre_expand_ast
00000001803474a8 (__TEXT,__text) non-external _tre_expand_macro
00000001802f2a68 (__TEXT,__text) external _tre_fill_pmatch
00000001802f2c30 (__TEXT,__text) external _tre_free
00000001d39128f8 (__DATA_CONST,__const) non-external _tre_macros
00000001802eea44 (__TEXT,__text) non-external _tre_make_trans
00000001802eee4c (__TEXT,__text) non-external _tre_match
00000001802ee398 (__TEXT,__text) non-external _tre_match_empty
00000001802ec658 (__TEXT,__text) external _tre_mem_alloc_impl
00000001802eed58 (__TEXT,__text) external _tre_mem_destroy
00000001802ea910 (__TEXT,__text) external _tre_mem_new_impl
00000001802ee13c (__TEXT,__text) non-external _tre_merge_branches
00000001802ec958 (__TEXT,__text) non-external _tre_new_item
00000001802ea934 (__TEXT,__text) external _tre_parse
0000000180304e9c (__TEXT,__text) non-external _tre_parse_bound
00000001803034a4 (__TEXT,__text) non-external _tre_reset_last_matched_branches
0000000180347528 (__TEXT,__text) non-external _tre_search_cnames
000000018030231c (__TEXT,__text) non-external _tre_set_empty
0000000180302358 (__TEXT,__text) non-external _tre_set_one
00000001802ee5a4 (__TEXT,__text) non-external _tre_set_union
00000001802eedb8 (__TEXT,__text) external _tre_stack_destroy
00000001802ea8a4 (__TEXT,__text) external _tre_stack_new
00000001802ec480 (__TEXT,__text) external _tre_stack_num_objects
00000001802ec568 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
00000001802ec9f0 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
00000001802ec490 (__TEXT,__text) non-external _tre_stack_push
00000001802ec488 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
00000001802ec770 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
000000018034550c (__TEXT,__text) external _tre_tnfa_run_backtrack
00000001802ef008 (__TEXT,__text) external _tre_tnfa_run_parallel
000000018033d9d8 (__TEXT,__text) non-external _trecurse
0000000180303400 (__TEXT,__text) external _tsearch
00000001802febfc (__TEXT,__text) external _ttyname
00000001d5a98800 (__DATA,__bss) non-external _ttyname_init
00000001d5a98808 (__DATA,__bss) non-external _ttyname_key
00000001d5a96e48 (__DATA,__data) non-external _ttyname_lock
00000001802fed18 (__TEXT,__text) external _ttyname_r
00000001803249dc (__TEXT,__text) external _ttyslot
000000018033d9c4 (__TEXT,__text) external _twalk
00000001802db400 (__TEXT,__text) non-external _typesequiv
00000001802da34c (__TEXT,__text) non-external _tzload
00000001d6c24958 (__DATA_DIRTY,__data) external _tzname
00000001802dacbc (__TEXT,__text) non-external _tzparse
00000001802dec40 (__TEXT,__text) external _tzset
00000001803376a8 (__TEXT,__text) external _tzsetwall
00000001802da124 (__TEXT,__text) non-external _tzsetwall_basic
00000001803249e4 (__TEXT,__text) external _ualarm
00000001d5a97000 (__DATA,__data) non-external _uglue
0000000180324a70 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
0000000180312de8 (__TEXT,__text) external _umaskx_np
00000001802e644c (__TEXT,__text) external _uname
000000018034cd3c (__TEXT,__const) non-external _unbound_variable_str
00000001803078a8 (__TEXT,__text) non-external _underflow
00000001802f71d4 (__TEXT,__text) external _ungetc
0000000180331244 (__TEXT,__text) external _ungetwc
00000001803312c8 (__TEXT,__text) external _ungetwc_l
00000001d5a98d30 (__DATA,__bss) non-external _union_arg_queue
00000001d5a97fb9 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
00000001802f5864 (__TEXT,__text) external _unlockpt
00000001802d8c18 (__TEXT,__text) external _unsetenv
0000000180324b08 (__TEXT,__text) external _unvis
0000000180349208 (__TEXT,__text) non-external _unvis.cold.1
0000000180349234 (__TEXT,__text) non-external _unvis.cold.2
00000001802e6284 (__TEXT,__text) external _uselocale
00000001802e01cc (__TEXT,__text) external _usleep
0000000180325294 (__TEXT,__text) external _usleep$NOCANCEL
00000001d6c258a0 (__DATA_DIRTY,__bss) non-external _usual
00000001d6c24ad0 (__DATA_DIRTY,__bss) non-external _usual_extra
00000001803252e4 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
00000001d3911728 (__DATA_CONST,__const) non-external _utmpx_types
0000000180343350 (__TEXT,__text) external _utmpxname
00000001802d9be4 (__TEXT,__text) external _uuid_clear
00000001802dec98 (__TEXT,__text) external _uuid_compare
00000001802d888c (__TEXT,__text) external _uuid_copy
00000001802e4ae8 (__TEXT,__text) external _uuid_generate
00000001802e10a8 (__TEXT,__text) external _uuid_generate_random
000000018031279c (__TEXT,__text) external _uuid_generate_time
00000001d5a98678 (__DATA,__bss) non-external _uuid_generate_time.has_init
00000001d5a98670 (__DATA,__bss) non-external _uuid_generate_time.node_id
00000001802e49b8 (__TEXT,__text) external _uuid_is_null
00000001802dfc20 (__TEXT,__text) external _uuid_pack
00000001802df838 (__TEXT,__text) external _uuid_parse
00000001802ded68 (__TEXT,__text) external _uuid_unpack
00000001802e49e0 (__TEXT,__text) external _uuid_unparse
00000001802fa184 (__TEXT,__text) external _uuid_unparse_lower
00000001802defbc (__TEXT,__text) external _uuid_unparse_upper
00000001d39119c0 (__DATA_CONST,__const) non-external _validlist
00000001802d4bd4 (__TEXT,__text) external _vasprintf
00000001802e01b0 (__TEXT,__text) external _vasprintf_l
0000000180300b7c (__TEXT,__text) external _vasxprintf
00000001803122e4 (__TEXT,__text) external _vasxprintf_exec
00000001802ff244 (__TEXT,__text) external _vdprintf
00000001802ff228 (__TEXT,__text) external _vdprintf_l
0000000180311b90 (__TEXT,__text) external _vdxprintf
0000000180312300 (__TEXT,__text) external _vdxprintf_exec
0000000180348e60 (__TEXT,__text) external _verr
0000000180348d6c (__TEXT,__text) external _verrc
0000000180348ed8 (__TEXT,__text) external _verrx
0000000180312b74 (__TEXT,__text) external _vfork
0000000180303d5c (__TEXT,__text) external _vfprintf
00000001802e4484 (__TEXT,__text) external _vfprintf_l
00000001803319b0 (__TEXT,__text) external _vfscanf
0000000180331cb0 (__TEXT,__text) external _vfscanf_l
000000018033480c (__TEXT,__text) external _vfwprintf
0000000180331d58 (__TEXT,__text) external _vfwprintf_l
0000000180335000 (__TEXT,__text) external _vfwscanf
0000000180336a24 (__TEXT,__text) external _vfwscanf_l
0000000180311ba8 (__TEXT,__text) external _vfxprintf
000000018031231c (__TEXT,__text) external _vfxprintf_exec
00000001803037a8 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
00000001802ff044 (__TEXT,__text) external _vprintf
0000000180336ac4 (__TEXT,__text) external _vprintf_l
0000000180336ae0 (__TEXT,__text) external _vscanf
0000000180336b5c (__TEXT,__text) external _vscanf_l
00000001802d8118 (__TEXT,__text) external _vsnprintf
00000001802dec20 (__TEXT,__text) external _vsnprintf_l
00000001802dee28 (__TEXT,__text) external _vsprintf
00000001802dee54 (__TEXT,__text) external _vsprintf_l
0000000180336be0 (__TEXT,__text) external _vsscanf
00000001802dc920 (__TEXT,__text) external _vsscanf_l
0000000180336dfc (__TEXT,__text) external _vswprintf
0000000180336c0c (__TEXT,__text) external _vswprintf_l
0000000180336ff4 (__TEXT,__text) external _vswscanf
0000000180336e28 (__TEXT,__text) external _vswscanf_l
0000000180311bc0 (__TEXT,__text) external _vsxprintf
0000000180312338 (__TEXT,__text) external _vsxprintf_exec
00000001803490a0 (__TEXT,__text) external _vwarn
0000000180348fe0 (__TEXT,__text) external _vwarnc
000000018034913c (__TEXT,__text) external _vwarnx
0000000180337020 (__TEXT,__text) external _vwprintf
0000000180337058 (__TEXT,__text) external _vwprintf_l
0000000180337074 (__TEXT,__text) external _vwscanf
00000001803370ac (__TEXT,__text) external _vwscanf_l
0000000180311be4 (__TEXT,__text) external _vxprintf
000000018031235c (__TEXT,__text) external _vxprintf_exec
00000001802fdf38 (__TEXT,__text) external _wait
0000000180325960 (__TEXT,__text) external _wait$NOCANCEL
0000000180325974 (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
00000001802fa878 (__TEXT,__text) external _waitpid
0000000180325988 (__TEXT,__text) external _waitpid$NOCANCEL
0000000180348f9c (__TEXT,__text) external _warn
00000001803490e4 (__TEXT,__text) external _warnc
0000000180349110 (__TEXT,__text) external _warnx
000000018033829c (__TEXT,__text) external _wcpcpy
00000001803382bc (__TEXT,__text) external _wcpncpy
0000000180328a40 (__TEXT,__text) external _wcrtomb
00000001802fa028 (__TEXT,__text) external _wcrtomb_l
00000001803383d4 (__TEXT,__text) external _wcscasecmp
000000018033832c (__TEXT,__text) external _wcscasecmp_l
00000001803383f8 (__TEXT,__text) external _wcscat
00000001802f6b48 (__TEXT,__text) external _wcschr
000000018033841c (__TEXT,__text) external _wcscmp
00000001803389ec (__TEXT,__text) external _wcscoll
0000000180338444 (__TEXT,__text) external _wcscoll_l
0000000180338a10 (__TEXT,__text) external _wcscpy
00000001803394a0 (__TEXT,__text) external _wcscspn
00000001803394e4 (__TEXT,__text) external _wcsdup
0000000180328c70 (__TEXT,__text) external _wcsftime
0000000180328a80 (__TEXT,__text) external _wcsftime_l
000000018033953c (__TEXT,__text) external _wcslcat
00000001803395e4 (__TEXT,__text) external _wcslcpy
00000001802f658c (__TEXT,__text) external _wcslen
0000000180339704 (__TEXT,__text) external _wcsncasecmp
0000000180339644 (__TEXT,__text) external _wcsncasecmp_l
0000000180339728 (__TEXT,__text) external _wcsncat
0000000180339778 (__TEXT,__text) external _wcsncmp
00000001803397b4 (__TEXT,__text) external _wcsncpy
000000018033981c (__TEXT,__text) external _wcsnlen
0000000180328cd0 (__TEXT,__text) external _wcsnrtombs
0000000180328c94 (__TEXT,__text) external _wcsnrtombs_l
000000018033984c (__TEXT,__text) external _wcspbrk
0000000180339884 (__TEXT,__text) external _wcsrchr
0000000180328f48 (__TEXT,__text) external _wcsrtombs
0000000180328f00 (__TEXT,__text) external _wcsrtombs_l
00000001803398a8 (__TEXT,__text) external _wcsspn
0000000180339c74 (__TEXT,__text) external _wcsstr
0000000180329228 (__TEXT,__text) external _wcstod
0000000180328ff8 (__TEXT,__text) external _wcstod_l
000000018032947c (__TEXT,__text) external _wcstof
000000018032924c (__TEXT,__text) external _wcstof_l
00000001803296e8 (__TEXT,__text) external _wcstoimax
00000001803294a0 (__TEXT,__text) external _wcstoimax_l
0000000180339cfc (__TEXT,__text) external _wcstok
0000000180329954 (__TEXT,__text) external _wcstol
000000018032970c (__TEXT,__text) external _wcstol_l
0000000180329ba8 (__TEXT,__text) external _wcstold
0000000180329978 (__TEXT,__text) external _wcstold_l
0000000180329e14 (__TEXT,__text) external _wcstoll
0000000180329bcc (__TEXT,__text) external _wcstoll_l
0000000180329edc (__TEXT,__text) external _wcstombs
0000000180329e38 (__TEXT,__text) external _wcstombs_l
000000018032a1c4 (__TEXT,__text) external _wcstoul
0000000180329f80 (__TEXT,__text) external _wcstoul_l
000000018032a42c (__TEXT,__text) external _wcstoull
000000018032a1e8 (__TEXT,__text) external _wcstoull_l
