00000001df323d20 (__DATA,__data) non-external _C
00000001802092c4 (__TEXT,__text) non-external _settzname
00000001801c1b34 (__TEXT,__text) external _setusershell
0000000180223068 (__TEXT,__text) external _setutxent
00000001801c33b8 (__TEXT,__text) external _setutxent_wtmp
00000001801fc69c (__TEXT,__text) external _setvbuf
00000001801f5da4 (__TEXT,__text) non-external _sflush_locked
00000001801cd114 (__TEXT,__text) non-external (was a private external) _sgetrune
00000001df3255d0 (__DATA,__bss) non-external _sgetrune.warn_depreciated
00000001df324fb0 (__DATA,__bss) non-external _shells
00000001df323b08 (__DATA,__data) non-external _sig_init_once
00000001df325a28 (__DATA,__bss) non-external _sig_key
0000000180210658 (__TEXT,__text) non-external _sig_keycreate
00000001df325a20 (__DATA,__bss) non-external _sig_keycreated
00000001801cc610 (__TEXT,__text) external _sigaction
00000001801c2420 (__TEXT,__text) external _sigaddset
00000001801bbcb8 (__TEXT,__text) external _sigaltstack
00000001801bbdac (__TEXT,__text) external _sigblock
00000001801c247c (__TEXT,__text) external _sigdelset
00000001801c2404 (__TEXT,__text) external _sigemptyset
00000001801c2410 (__TEXT,__text) external _sigfillset
00000001801bbe78 (__TEXT,__text) external _sighold
00000001801bbf28 (__TEXT,__text) external _sigignore
00000001801e7170 (__TEXT,__text) external _siginterrupt
00000001801c24d8 (__TEXT,__text) external _sigismember
00000001801e720c (__TEXT,__text) external _signal
00000001801e7214 (__TEXT,__text) non-external _signal__
00000001df325670 (__DATA,__bss) non-external _signo
000000018022fe78 (__TEXT,__text) external _sigpause
00000001801bbde8 (__TEXT,__text) external _sigpause$NOCANCEL
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001801bbed0 (__TEXT,__text) external _sigrelse
00000001801bbf4c (__TEXT,__text) external _sigset
00000001801bbd70 (__TEXT,__text) external _sigsetmask
                 (undefined) external _sigsuspend (from libsystem_kernel)
                 (undefined) external _sigsuspend$NOCANCEL (from libsystem_kernel)
00000001801bbd04 (__TEXT,__text) external _sigvec
00000001801bbd0c (__TEXT,__text) non-external _sigvec__
00000001801c1808 (__TEXT,__text) non-external _skip
00000001df324094 (__DATA,__data) external _skip
00000001801e73b4 (__TEXT,__text) external _sl_add
00000001801e74b8 (__TEXT,__text) external _sl_find
00000001801e742c (__TEXT,__text) external _sl_free
00000001801e7360 (__TEXT,__text) external _sl_init
0000000180232d34 (__TEXT,__text) non-external _sl_init.cold.1
0000000180232d50 (__TEXT,__text) non-external _sl_init.cold.2
00000001df325650 (__DATA,__bss) non-external _slash
0000000180230038 (__TEXT,__text) external _sleep
00000001801e7294 (__TEXT,__text) external _sleep$NOCANCEL
00000001df324f30 (__DATA,__bss) non-external _slot
00000001801fc854 (__TEXT,__text) external _snprintf
00000001801fc8a8 (__TEXT,__text) external _snprintf_l
00000001801e963c (__TEXT,__text) external _snvis
00000001801f46b0 (__TEXT,__text) external _sockatmark
                 (undefined) external _socket (from libsystem_kernel)
                 (undefined) external _socketpair (from libsystem_kernel)
00000001801fc8d4 (__TEXT,__text) external _sprintf
00000001801fc928 (__TEXT,__text) external _sprintf_l
00000001801cd1a0 (__TEXT,__text) non-external (was a private external) _sputrune
00000001df3255d4 (__DATA,__bss) non-external _sputrune.warn_depreciated
000000018021734c (__TEXT,__text) external _sradixsort
00000001802179b0 (__TEXT,__text) external _srand
00000001801e7320 (__TEXT,__text) external _srand48
00000001802179c0 (__TEXT,__text) external _sranddev
0000000180217a4c (__TEXT,__text) external _srandom
0000000180217bf0 (__TEXT,__text) external _srandomdev
00000001801fc954 (__TEXT,__text) external _sscanf
00000001801fc9a8 (__TEXT,__text) external _sscanf_l
                 (undefined) external _stat (from libsystem_kernel)
00000001801c93b4 (__TEXT,__text) external _stat_with_subsystem
00000001df324008 (__DATA,__data) non-external _state
                 (undefined) external _statfs (from libsystem_kernel)
00000001801bc99c (__TEXT,__text) external _statvfs
00000001801cc67c (__TEXT,__text) non-external _statx1
00000001801cc618 (__TEXT,__text) external _statx_np
00000001801cc858 (__TEXT,__text) non-external _statx_syscall
00000001801cd488 (__TEXT,__text) external _stpcpy
00000001801cd4d4 (__TEXT,__text) external _stpncpy
000000018020f9b4 (__TEXT,__text) external _strcasecmp
000000018020f8a8 (__TEXT,__text) external _strcasecmp_l
000000018020fc34 (__TEXT,__text) external _strcasestr
000000018020fb34 (__TEXT,__text) external _strcasestr_l
00000001801cd558 (__TEXT,__text) external _strcat
                 (indirect) external _strchr (for __platform_strchr)
                 (indirect) external _strcmp (for __platform_strcmp)
000000018020fd68 (__TEXT,__text) external _strcoll
000000018020fc5c (__TEXT,__text) external _strcoll_l
                 (indirect) external _strcpy (for __platform_strcpy)
000000018020fd90 (__TEXT,__text) external _strcspn
000000018020fe64 (__TEXT,__text) external _strdup
00000001801e9920 (__TEXT,__text) external _strenvisx
0000000180210010 (__TEXT,__text) external _strerror
000000018020ff98 (__TEXT,__text) external _strerror_r
0000000180223d58 (__TEXT,__text) external _strfmon
0000000180224ac0 (__TEXT,__text) external _strfmon_l
000000018020d4ec (__TEXT,__text) external _strftime
000000018020c4b0 (__TEXT,__text) external _strftime_l
00000001df324fb8 (__DATA,__bss) non-external _strings
                 (indirect) external _strlcat (for __platform_strlcat)
                 (indirect) external _strlcpy (for __platform_strlcpy)
                 (indirect) external _strlen (for __platform_strlen)
000000018021009c (__TEXT,__text) external _strmode
000000018020fb0c (__TEXT,__text) external _strncasecmp
000000018020f9dc (__TEXT,__text) external _strncasecmp_l
00000001801cd5ac (__TEXT,__text) external _strncat
                 (indirect) external _strncmp (for __platform_strncmp)
                 (indirect) external _strncpy (for __platform_strncpy)
0000000180210260 (__TEXT,__text) external _strndup
                 (indirect) external _strnlen (for __platform_strnlen)
00000001802102d0 (__TEXT,__text) external _strnstr
00000001801e917c (__TEXT,__text) external _strnunvis
00000001801e9000 (__TEXT,__text) external _strnunvisx
0000000180232dc4 (__TEXT,__text) non-external _strnunvisx.cold.1
0000000180232df0 (__TEXT,__text) non-external _strnunvisx.cold.2
0000000180232e1c (__TEXT,__text) non-external _strnunvisx.cold.3
00000001801e989c (__TEXT,__text) external _strnvis
00000001801e98ec (__TEXT,__text) external _strnvisx
000000018021036c (__TEXT,__text) external _strpbrk
000000018020d6f4 (__TEXT,__text) external _strptime
000000018020d71c (__TEXT,__text) external _strptime_l
00000001802103a4 (__TEXT,__text) external _strrchr
00000001801e979c (__TEXT,__text) external _strsenvisx
00000001802103cc (__TEXT,__text) external _strsep
0000000180210590 (__TEXT,__text) external _strsignal
000000018021041c (__TEXT,__text) external _strsignal_r
00000001801e972c (__TEXT,__text) external _strsnvis
00000001801e9770 (__TEXT,__text) external _strsnvisx
0000000180210690 (__TEXT,__text) external _strspn
                 (indirect) external _strstr (for __platform_strstr)
00000001801e9698 (__TEXT,__text) external _strsvis
00000001801e9754 (__TEXT,__text) external _strsvisx
00000001801dcae8 (__TEXT,__text) external _strtod
00000001801db7b8 (__TEXT,__text) external _strtod_l
0000000180235638 (__TEXT,__const) non-external _strtod_l.fpi
000000018023564c (__TEXT,__const) non-external _strtod_l.fpinan
00000001801de9dc (__TEXT,__text) external _strtof
00000001801de8d0 (__TEXT,__text) external _strtof_l
00000001802356ec (__TEXT,__const) non-external _strtof_l.fpi0
00000001801c25cc (__TEXT,__text) external _strtofflags
0000000180219790 (__TEXT,__text) external _strtoimax
000000018021950c (__TEXT,__text) external _strtoimax_l
00000001802107e4 (__TEXT,__text) external _strtok
00000001df323ad8 (__DATA,__data) non-external _strtok.last
0000000180210760 (__TEXT,__text) external _strtok_r
0000000180219a3c (__TEXT,__text) external _strtol
00000001802197b8 (__TEXT,__text) external _strtol_l
000000018021b794 (__TEXT,__text) external _strtold
000000018021b798 (__TEXT,__text) external _strtold_l
0000000180219ce8 (__TEXT,__text) external _strtoll
0000000180219a64 (__TEXT,__text) external _strtoll_l
00000001801f7548 (__TEXT,__text) external _strtonum
0000000180219d10 (__TEXT,__text) external _strtoq
0000000180219d38 (__TEXT,__text) external _strtoq_l
0000000180219fb4 (__TEXT,__text) external _strtoul
0000000180219d3c (__TEXT,__text) external _strtoul_l
000000018021a254 (__TEXT,__text) external _strtoull
0000000180219fdc (__TEXT,__text) external _strtoull_l
000000018021a4f4 (__TEXT,__text) external _strtoumax
000000018021a27c (__TEXT,__text) external _strtoumax_l
000000018021a51c (__TEXT,__text) external _strtouq
000000018021a544 (__TEXT,__text) external _strtouq_l
00000001801e916c (__TEXT,__text) external _strunvis
00000001801e915c (__TEXT,__text) external _strunvisx
00000001801e9884 (__TEXT,__text) external _strvis
00000001801e98cc (__TEXT,__text) external _strvisx
0000000180210a88 (__TEXT,__text) external _strxfrm
00000001802107f0 (__TEXT,__text) external _strxfrm_l
00000001df325b28 (__DATA,__common) external _suboptarg
00000001df325538 (__DATA,__bss) non-external _subsystem_root_path
00000001801e9244 (__TEXT,__text) external _svis
0000000180210ab0 (__TEXT,__text) external _swab
00000001801fcc78 (__TEXT,__text) external _swprintf
00000001801fcccc (__TEXT,__text) external _swprintf_l
00000001801fccf8 (__TEXT,__text) external _swscanf
00000001801fcd4c (__TEXT,__text) external _swscanf_l
00000001801c9a80 (__TEXT,__text) external _sxprintf
00000001801ca40c (__TEXT,__text) external _sxprintf_exec
00000001801cd614 (__TEXT,__text) external _sync_volume_np
00000001802360a1 (__TEXT,__const) non-external _syntax_error_str
00000001e59159a8 (__DATA_CONST,__const) external _sys_errlist
00000001802350e8 (__TEXT,__const) external _sys_nerr
00000001e5916338 (__DATA_CONST,__const) external _sys_siglist
00000001e5916238 (__DATA_CONST,__const) external _sys_signame
00000001801e7520 (__TEXT,__text) external _sysconf
00000001801e7be8 (__TEXT,__text) external _sysctl
00000001801e7e08 (__TEXT,__text) external _sysctlbyname
00000001801e7e74 (__TEXT,__text) external _sysctlnametomib
                 (undefined) external _syslog$DARWIN_EXTSN (from libsystem_asl)
00000001802303b4 (__TEXT,__text) external _system
000000018021a548 (__TEXT,__text) external _system$NOCANCEL
                 (undefined) external _task_set_special_port (from libsystem_kernel)
00000001802300c4 (__TEXT,__text) external _tcdrain
00000001801e83b8 (__TEXT,__text) external _tcdrain$NOCANCEL
00000001801e8458 (__TEXT,__text) external _tcflow
00000001801e83e4 (__TEXT,__text) external _tcflush
00000001801e80fc (__TEXT,__text) external _tcgetattr
00000001801e8258 (__TEXT,__text) external _tcgetpgrp
00000001801cba94 (__TEXT,__text) external _tcgetsid
00000001801e8330 (__TEXT,__text) external _tcsendbreak
00000001801e8128 (__TEXT,__text) external _tcsetattr
00000001801e8200 (__TEXT,__text) external _tcsetpgrp
000000018021a798 (__TEXT,__text) external _tdelete
00000001801e7ef0 (__TEXT,__text) external _telldir
00000001801fcd78 (__TEXT,__text) external _tempnam
00000001df324f28 (__DATA,__bss) non-external _tf
000000018021a89c (__TEXT,__text) external _tfind
00000001801c28ac (__TEXT,__text) external _thread_stack_pcs
00000001df323d08 (__DATA,__data) non-external _threadsafe
00000001801e8508 (__TEXT,__text) external _time
000000018020b284 (__TEXT,__text) non-external _time2
000000018020b3ec (__TEXT,__text) external _time2posix
000000018020be00 (__TEXT,__text) non-external _time2sub
000000018020b3a4 (__TEXT,__text) external _timegm
000000018020b394 (__TEXT,__text) external _timelocal
000000018020b3c8 (__TEXT,__text) external _timeoff
00000001801e8564 (__TEXT,__text) external _times
000000018021b79c (__TEXT,__text) external _timespec_get
000000018020a81c (__TEXT,__text) non-external _timesub
00000001eb744578 (__DATA_DIRTY,__common) external _timezone
00000001801d7774 (__TEXT,__text) external _timingsafe_bcmp
0000000180235660 (__TEXT,__const) non-external _tinytens
00000001df3259d0 (__DATA,__bss) non-external _tm
00000001801fcf3c (__TEXT,__text) external _tmpfile
00000001801fd080 (__TEXT,__text) external _tmpnam
00000001df3259a8 (__DATA,__bss) non-external _tmpnam.tmpcount
00000001df3259b0 (__DATA,__bss) non-external _tmpnam_buf
00000001801fd134 (__TEXT,__text) non-external _tmpnam_buf_allocate
00000001df323fc0 (__DATA,__data) non-external _tmpnam_buf_control
0000000180235128 (__TEXT,__const) non-external _tmundef
00000001801c4850 (__TEXT,__text) external _toascii
00000001801c4858 (__TEXT,__text) external _tolower
00000001801c5484 (__TEXT,__text) external _tolower_l
00000001df325628 (__DATA,__bss) non-external _toprec
00000001df325630 (__DATA,__bss) non-external _topreclen
00000001801c4898 (__TEXT,__text) external _toupper
00000001801c54a4 (__TEXT,__text) external _toupper_l
00000001801f26a0 (__TEXT,__text) external _towctrans
00000001801f25bc (__TEXT,__text) external _towctrans_l
00000001801c59c4 (__TEXT,__text) external _towlower
00000001801c5fdc (__TEXT,__text) external _towlower_l
00000001801c5a04 (__TEXT,__text) external _towupper
00000001801c5ffc (__TEXT,__text) external _towupper_l
000000018020ba18 (__TEXT,__text) non-external _transtime
000000018022901c (__TEXT,__text) non-external _tre_add_tag_left
0000000180228f0c (__TEXT,__text) non-external _tre_add_tag_right
00000001802273bc (__TEXT,__text) non-external _tre_add_tags
0000000180226114 (__TEXT,__text) external _tre_ast_new_catenation
0000000180226064 (__TEXT,__text) external _tre_ast_new_iter
0000000180226018 (__TEXT,__text) external _tre_ast_new_literal
0000000180225f90 (__TEXT,__text) external _tre_ast_new_node
00000001802260c8 (__TEXT,__text) external _tre_ast_new_union
0000000180228af0 (__TEXT,__text) non-external _tre_ast_to_tnfa
0000000180226160 (__TEXT,__text) external _tre_compile
00000001802290e4 (__TEXT,__text) non-external _tre_copy_ast
000000018022598c (__TEXT,__text) external _tre_fill_pmatch
0000000180228be8 (__TEXT,__text) external _tre_free
00000001e5917078 (__DATA_CONST,__const) non-external _tre_macros
00000001802299f0 (__TEXT,__text) non-external _tre_make_trans
0000000180225d60 (__TEXT,__text) non-external _tre_match
00000001802297d0 (__TEXT,__text) non-external _tre_match_empty
000000018022daf4 (__TEXT,__text) external _tre_mem_alloc_impl
000000018022da94 (__TEXT,__text) external _tre_mem_destroy
000000018022da70 (__TEXT,__text) external _tre_mem_new_impl
0000000180228d70 (__TEXT,__text) non-external _tre_merge_branches
000000018022fc18 (__TEXT,__text) non-external _tre_new_item
000000018022dc10 (__TEXT,__text) external _tre_parse
000000018022f96c (__TEXT,__text) non-external _tre_parse_bound
0000000180228fd4 (__TEXT,__text) non-external _tre_purge_regset
0000000180225b50 (__TEXT,__text) non-external _tre_reset_last_matched_branches
000000018022fb78 (__TEXT,__text) non-external _tre_search_cnames
0000000180229434 (__TEXT,__text) non-external _tre_set_union
000000018022fd1c (__TEXT,__text) external _tre_stack_destroy
000000018022fcb0 (__TEXT,__text) external _tre_stack_new
000000018022fd58 (__TEXT,__text) external _tre_stack_num_objects
000000018022fe38 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_int
000000018022fe54 (__TEXT,__text) non-external (was a private external) _tre_stack_pop_voidptr
000000018022fd68 (__TEXT,__text) non-external _tre_stack_push
000000018022fd60 (__TEXT,__text) non-external (was a private external) _tre_stack_push_int
000000018022fe34 (__TEXT,__text) non-external (was a private external) _tre_stack_push_voidptr
0000000180229d1c (__TEXT,__text) external _tre_tnfa_run_backtrack
000000018022be30 (__TEXT,__text) external _tre_tnfa_run_parallel
000000018021a9dc (__TEXT,__text) non-external _trecurse
000000018021a924 (__TEXT,__text) external _tsearch
00000001801e8690 (__TEXT,__text) external _ttyname
00000001df325700 (__DATA,__bss) non-external _ttyname_init
00000001df325708 (__DATA,__bss) non-external _ttyname_key
00000001df323df0 (__DATA,__data) non-external _ttyname_lock
00000001801e87a4 (__TEXT,__text) external _ttyname_r
00000001801e8860 (__TEXT,__text) external _ttyslot
000000018021a9c8 (__TEXT,__text) external _twalk
000000018020b5dc (__TEXT,__text) non-external _typesequiv
0000000180209668 (__TEXT,__text) non-external _tzload
00000001eb7425f0 (__DATA_DIRTY,__data) external _tzname
000000018020a030 (__TEXT,__text) non-external _tzparse
000000018020a544 (__TEXT,__text) external _tzset
0000000180208dc0 (__TEXT,__text) external _tzsetwall
0000000180208dc8 (__TEXT,__text) non-external _tzsetwall_basic
00000001801e8868 (__TEXT,__text) external _ualarm
00000001df323fa8 (__DATA,__data) non-external _uglue
00000001801e88e8 (__TEXT,__text) external _ulimit
                 (undefined) external _umask (from libsystem_kernel)
00000001801cc938 (__TEXT,__text) external _umaskx_np
00000001801c28cc (__TEXT,__text) external _uname
00000001802360ae (__TEXT,__const) non-external _unbound_variable_str
00000001801fd158 (__TEXT,__text) external _ungetc
00000001801fd41c (__TEXT,__text) external _ungetwc
00000001801fd4a4 (__TEXT,__text) external _ungetwc_l
00000001df325ac0 (__DATA,__bss) non-external _union_arg_queue
00000001df324ed9 (__DATA,__bss) non-external _unix2003_mode
                 (undefined) external _unlink (from libsystem_kernel)
000000018021ac84 (__TEXT,__text) external _unlockpt
0000000180218f1c (__TEXT,__text) external _unsetenv
00000001801e897c (__TEXT,__text) external _unvis
0000000180232d6c (__TEXT,__text) non-external _unvis.cold.1
0000000180232d98 (__TEXT,__text) non-external _unvis.cold.2
00000001801c71ac (__TEXT,__text) external _uselocale
0000000180230104 (__TEXT,__text) external _usleep
00000001801e9184 (__TEXT,__text) external _usleep$NOCANCEL
00000001eb743af0 (__DATA_DIRTY,__bss) non-external _usual
00000001eb742d20 (__DATA_DIRTY,__bss) non-external _usual_extra
00000001801e91d4 (__TEXT,__text) external _utime
                 (undefined) external _utimes (from libsystem_kernel)
00000001e5915f50 (__DATA_CONST,__const) non-external _utmpx_types
0000000180223c58 (__TEXT,__text) external _utmpxname
00000001801cb28c (__TEXT,__text) external _uuid_clear
00000001801cb294 (__TEXT,__text) external _uuid_compare
00000001801cb35c (__TEXT,__text) external _uuid_copy
00000001801cb72c (__TEXT,__text) external _uuid_generate
00000001801cb694 (__TEXT,__text) external _uuid_generate_random
00000001801cb378 (__TEXT,__text) external _uuid_generate_time
00000001df325590 (__DATA,__bss) non-external _uuid_generate_time.has_init
00000001df325588 (__DATA,__bss) non-external _uuid_generate_time.node_id
00000001801cb730 (__TEXT,__text) external _uuid_is_null
00000001801cb758 (__TEXT,__text) external _uuid_pack
00000001801cb7a8 (__TEXT,__text) external _uuid_parse
00000001801cb90c (__TEXT,__text) external _uuid_unpack
00000001801cba2c (__TEXT,__text) external _uuid_unparse
00000001801cb95c (__TEXT,__text) external _uuid_unparse_lower
00000001801cb9c4 (__TEXT,__text) external _uuid_unparse_upper
00000001e59161e8 (__DATA_CONST,__const) non-external _validlist
00000001801fd6a0 (__TEXT,__text) external _vasprintf
00000001801fd684 (__TEXT,__text) external _vasprintf_l
00000001801c9b10 (__TEXT,__text) external _vasxprintf
00000001801ca498 (__TEXT,__text) external _vasxprintf_exec
00000001801fd80c (__TEXT,__text) external _vdprintf
00000001801fd7f0 (__TEXT,__text) external _vdprintf_l
00000001801c9b28 (__TEXT,__text) external _vdxprintf
00000001801ca4b4 (__TEXT,__text) external _vdxprintf_exec
00000001802329f0 (__TEXT,__text) external _verr
0000000180232908 (__TEXT,__text) external _verrc
0000000180232a68 (__TEXT,__text) external _verrx
00000001801fd8ac (__TEXT,__text) external _vfprintf
00000001801fd848 (__TEXT,__text) external _vfprintf_l
0000000180200e4c (__TEXT,__text) external _vfscanf
00000001802028b0 (__TEXT,__text) external _vfscanf_l
0000000180205638 (__TEXT,__text) external _vfwprintf
0000000180202a84 (__TEXT,__text) external _vfwprintf_l
0000000180205e4c (__TEXT,__text) external _vfwscanf
00000001802079e4 (__TEXT,__text) external _vfwscanf_l
00000001801c9b40 (__TEXT,__text) external _vfxprintf
00000001801ca4d0 (__TEXT,__text) external _vfxprintf_exec
00000001801e97c4 (__TEXT,__text) external _vis
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_region_64 (from libsystem_kernel)
0000000180207a84 (__TEXT,__text) external _vprintf
0000000180207ac0 (__TEXT,__text) external _vprintf_l
0000000180207adc (__TEXT,__text) external _vscanf
0000000180207b5c (__TEXT,__text) external _vscanf_l
0000000180207d44 (__TEXT,__text) external _vsnprintf
0000000180207d24 (__TEXT,__text) external _vsnprintf_l
0000000180207e4c (__TEXT,__text) external _vsprintf
0000000180207d84 (__TEXT,__text) external _vsprintf_l
0000000180207f74 (__TEXT,__text) external _vsscanf
0000000180207e7c (__TEXT,__text) external _vsscanf_l
0000000180208180 (__TEXT,__text) external _vswprintf
0000000180207fa4 (__TEXT,__text) external _vswprintf_l
000000018020836c (__TEXT,__text) external _vswscanf
00000001802081b0 (__TEXT,__text) external _vswscanf_l
00000001801c9b58 (__TEXT,__text) external _vsxprintf
00000001801ca4ec (__TEXT,__text) external _vsxprintf_exec
0000000180232c04 (__TEXT,__text) external _vwarn
0000000180232b58 (__TEXT,__text) external _vwarnc
0000000180232ca0 (__TEXT,__text) external _vwarnx
000000018020839c (__TEXT,__text) external _vwprintf
00000001802083d8 (__TEXT,__text) external _vwprintf_l
00000001802083f4 (__TEXT,__text) external _vwscanf
0000000180208430 (__TEXT,__text) external _vwscanf_l
00000001801c9b7c (__TEXT,__text) external _vxprintf
00000001801ca510 (__TEXT,__text) external _vxprintf_exec
0000000180230154 (__TEXT,__text) external _wait
00000001801ea0c8 (__TEXT,__text) external _wait$NOCANCEL
00000001801ea0dc (__TEXT,__text) external _wait3
                 (undefined) external _wait4 (from libsystem_kernel)
0000000180230168 (__TEXT,__text) external _waitpid
00000001801ea0f0 (__TEXT,__text) external _waitpid$NOCANCEL
0000000180232b1c (__TEXT,__text) external _warn
0000000180232c48 (__TEXT,__text) external _warnc
0000000180232c74 (__TEXT,__text) external _warnx
0000000180210ba0 (__TEXT,__text) external _wcpcpy
0000000180210bc0 (__TEXT,__text) external _wcpncpy
00000001801f0580 (__TEXT,__text) external _wcrtomb
00000001801f0544 (__TEXT,__text) external _wcrtomb_l
0000000180210cd8 (__TEXT,__text) external _wcscasecmp
0000000180210c30 (__TEXT,__text) external _wcscasecmp_l
0000000180210d00 (__TEXT,__text) external _wcscat
0000000180210d24 (__TEXT,__text) external _wcschr
0000000180210d44 (__TEXT,__text) external _wcscmp
00000001802112e4 (__TEXT,__text) external _wcscoll
0000000180210d6c (__TEXT,__text) external _wcscoll_l
000000018021130c (__TEXT,__text) external _wcscpy
0000000180211d90 (__TEXT,__text) external _wcscspn
0000000180211dd4 (__TEXT,__text) external _wcsdup
00000001801f07cc (__TEXT,__text) external _wcsftime
00000001801f05e0 (__TEXT,__text) external _wcsftime_l
0000000180211e2c (__TEXT,__text) external _wcslcat
0000000180211eec (__TEXT,__text) external _wcslcpy
0000000180211f48 (__TEXT,__text) external _wcslen
0000000180212020 (__TEXT,__text) external _wcsncasecmp
0000000180211f60 (__TEXT,__text) external _wcsncasecmp_l
0000000180212048 (__TEXT,__text) external _wcsncat
0000000180212094 (__TEXT,__text) external _wcsncmp
00000001802120c4 (__TEXT,__text) external _wcsncpy
000000018021212c (__TEXT,__text) external _wcsnlen
00000001801f0830 (__TEXT,__text) external _wcsnrtombs
00000001801f07f4 (__TEXT,__text) external _wcsnrtombs_l
000000018021215c (__TEXT,__text) external _wcspbrk
0000000180212194 (__TEXT,__text) external _wcsrchr
00000001801f0acc (__TEXT,__text) external _wcsrtombs
00000001801f0a80 (__TEXT,__text) external _wcsrtombs_l
00000001802121b8 (__TEXT,__text) external _wcsspn
0000000180212584 (__TEXT,__text) external _wcsstr
00000001801f0dd0 (__TEXT,__text) external _wcstod
00000001801f0b9c (__TEXT,__text) external _wcstod_l
00000001801f102c (__TEXT,__text) external _wcstof
00000001801f0df8 (__TEXT,__text) external _wcstof_l
00000001801f12cc (__TEXT,__text) external _wcstoimax
00000001801f1054 (__TEXT,__text) external _wcstoimax_l
0000000180212608 (__TEXT,__text) external _wcstok
00000001801f156c (__TEXT,__text) external _wcstol
00000001801f12f4 (__TEXT,__text) external _wcstol_l
00000001801f17c8 (__TEXT,__text) external _wcstold
00000001801f1594 (__TEXT,__text) external _wcstold_l
00000001801f1a68 (__TEXT,__text) external _wcstoll
00000001801f17f0 (__TEXT,__text) external _wcstoll_l
00000001801f1b34 (__TEXT,__text) external _wcstombs
00000001801f1a90 (__TEXT,__text) external _wcstombs_l
00000001801f1e6c (__TEXT,__text) external _wcstoul
00000001801f1bf8 (__TEXT,__text) external _wcstoul_l
00000001801f2108 (__TEXT,__text) external _wcstoull
00000001801f1e94 (__TEXT,__text) external _wcstoull_l
00000001801f23a4 (__TEXT,__text) external _wcstoumax
00000001801f2130 (__TEXT,__text) external _wcstoumax_l
0000000180212718 (__TEXT,__text) external _wcswidth
000000018021268c (__TEXT,__text) external _wcswidth_l
0000000180212908 (__TEXT,__text) external _wcsxfrm
0000000180212740 (__TEXT,__text) external _wcsxfrm_l
00000001801f2484 (__TEXT,__text) external _wctob
00000001801f23cc (__TEXT,__text) external _wctob_l
00000001801f2524 (__TEXT,__text) external _wctomb
00000001801f24ac (__TEXT,__text) external _wctomb_l
00000001801f26c8 (__TEXT,__text) external _wctrans
00000001801f27a0 (__TEXT,__text) external _wctrans_l
00000001801f2870 (__TEXT,__text) external _wctype
00000001801f27a4 (__TEXT,__text) external _wctype_l
00000001e5916550 (__DATA_CONST,__const) non-external _wctype_l.props
00000001801f2898 (__TEXT,__text) external _wcwidth
00000001801f2938 (__TEXT,__text) external _wcwidth_l
0000000180211d14 (__TEXT,__text) non-external _we_read_fully
0000000180235f98 (__TEXT,__const) non-external _wildabbr
0000000180212930 (__TEXT,__text) external _wmemchr
0000000180212954 (__TEXT,__text) external _wmemcmp
000000018021298c (__TEXT,__text) external _wmemcpy
0000000180212994 (__TEXT,__text) external _wmemmove
000000018021299c (__TEXT,__text) external _wmemset
0000000180208b9c (__TEXT,__text) non-external _wmemstream_close
0000000180208ae4 (__TEXT,__text) non-external _wmemstream_seek
0000000180233218 (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180233244 (__TEXT,__text) non-external _wmemstream_seek.cold.2
00000001802088a8 (__TEXT,__text) non-external _wmemstream_update
00000001802331ec (__TEXT,__text) non-external _wmemstream_update.cold.1
00000001802088e0 (__TEXT,__text) non-external _wmemstream_write
0000000180211324 (__TEXT,__text) external _wordexp
0000000180211ccc (__TEXT,__text) external _wordfree
0000000180208544 (__TEXT,__text) external _wprintf
00000001802085a4 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
00000001802085e4 (__TEXT,__text) external _wscanf
0000000180208644 (__TEXT,__text) external _wscanf_l
00000001df325510 (__DATA,__bss) non-external _wtmp_asl.0
00000001df325518 (__DATA,__bss) non-external _wtmp_asl.1
00000001df325520 (__DATA,__bss) non-external _wtmp_asl.2
00000001df325528 (__DATA,__bss) non-external _wtmp_asl.5
00000001df325530 (__DATA,__bss) non-external _wtmp_asl.6
00000001df323d18 (__DATA,__data) non-external _wtmp_file.0
00000001df3254d8 (__DATA,__bss) non-external _wtmp_file.1
00000001df3254e0 (__DATA,__bss) non-external _wtmp_file.2
00000001df3254e8 (__DATA,__bss) non-external _wtmp_file.3
00000001df3254f0 (__DATA,__bss) non-external _wtmp_file.4
00000001df3254f8 (__DATA,__bss) non-external _wtmp_file.5
00000001df325500 (__DATA,__bss) non-external _wtmp_file.6
00000001df325508 (__DATA,__bss) non-external _wtmp_file.7
00000001df3254d0 (__DATA,__bss) non-external _wtmp_func.0
00000001eb771718 (__AUTH,__data) non-external _wtmp_func.1
00000001eb771720 (__AUTH,__data) non-external _wtmp_func.2
00000001eb771728 (__AUTH,__data) non-external _wtmp_func.3
00000001801c33c4 (__TEXT,__text) external _wtmpxname
00000001801c9ac8 (__TEXT,__text) external _xprintf
00000001802217a0 (__TEXT,__text) non-external (was a private external) _xprintf_calloc
00000001df325578 (__DATA,__bss) non-external _xprintf_domain_default
