000000021a99ce50 (__DATA,__data) non-external _.compoundliteral
00000001e514e260 (__TEXT,__text) external _ShGetShaderByteCode
00000001e514f990 (__TEXT,__text) external _ShGetSubroutineIndex
00000001e514f860 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001e514e5ac (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001e514ea7c (__TEXT,__text) external _ShGetUniformBlockIndex
00000001e514ee78 (__TEXT,__text) external _ShGetUniformIndex
00000001e514dfb4 (__TEXT,__text) external _ShGetUniformLocation
00000001e514dce8 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001e514cb34 (__TEXT,__text) external _ShInitialize
00000001e515003c (__TEXT,__text) external _ShInitializeLibrary
00000001e514d070 (__TEXT,__text) external _ShLink
00000001e514e188 (__TEXT,__text) external _ShSetInitialUniformValue
00000001e5150040 (__TEXT,__text) external _ShTerminateLibrary
00000001e514e3dc (__TEXT,__text) external _ShTransformFeedbackVaryings
00000001e513fc9c (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00000001e51b3434 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000001e515d174 (__TEXT,__text) non-external (was a private external) _UngetToken
00000001e51b1808 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00000001e51af378 (__TEXT,__text) non-external _UnrollConstantLoopsInner
00000001e51af220 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001e51561d8 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000001e5155880 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000001e5156548 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000001e5155f1c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000001e51560b4 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000001e5156454 (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000001e5130ad0 (__TEXT,__text) non-external ___abort_calloc
00000001e510865c (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00000001e5101ea0 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00000002176b01e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0338 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0358 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b05d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0658 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0e80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0f78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0fb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b1010 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b1270 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b3488 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000002176b3508 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000021e90b2e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000021e90b318 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000021e90b678 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000002176b0278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000002176b1370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000002176b1390 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
000000021e90b858 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
000000021e90b888 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
00000002176b13b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
000000021e90b8b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000002176b34a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
00000002176b0298 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000002176b05f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
000000021e90b908 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
000000021e90b938 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
00000002176b0378 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000002176b13d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e90b6d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e90ba08 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000021e90b968 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000002176b34c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
00000002176b13f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00000002176b34e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
000000021e90ba38 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000002176b0618 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000002176b0238 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000002176b1290 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
000000021e90b348 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
00000002176b0638 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
00000002176b02b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000002176b3528 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
000000021e90b708 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000002176b02d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000002176b12b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000002176b02f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
000000021e90b738 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000002176b0318 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00000002176b12d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
000000021e90b378 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000002176b12f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
000000021e90b428 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
000000021e90b3a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000002176b0258 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000002176b1310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
000000021e90b6a8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000002176b1330 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
000000021e90b768 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000021e90b798 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
000000021e90b458 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
000000021e90b7c8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
000000021e90b7f8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
000000021e90b488 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000002176b1030 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
000000021e90b4b8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000002176b1350 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
000000021e90b9d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000002176b1050 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
000000021e90b3d8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000021e90b4e8 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000002176b0f98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
000000021e90b828 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
000000021e90b148 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b168 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b288 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b2c8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b408 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b8e8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90ba68 (__AUTH_CONST,__const) non-external ___block_literal_global
000000021e90b1c8 (__AUTH_CONST,__const) non-external ___block_literal_global.12
000000021e90b1e8 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000021e90b2a8 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000021e90b998 (__AUTH_CONST,__const) non-external ___block_literal_global.169
000000021e90b9b8 (__AUTH_CONST,__const) non-external ___block_literal_global.173
000000021e90b208 (__AUTH_CONST,__const) non-external ___block_literal_global.32
000000021e90b188 (__AUTH_CONST,__const) non-external ___block_literal_global.4
000000021e90b1a8 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001e512b66c (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00000001e513e624 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001e51a0538 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000001e5141c1c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001e5141b70 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001e5155954 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001e51669b0 (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000001e5165f64 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000001e5164e90 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000001e516632c (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000001e5164848 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000001e5164944 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000001e516af84 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000001e5166778 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000001e514caac (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000001e5166888 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000001e5166954 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000001e516193c (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000001e5162e08 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000001e516581c (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00000001e513e634 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001e51a0588 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000001e5141c2c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001e5141bc0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001e51559b4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000001e510acec (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000001e5147a94 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00000001e512b148 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00000001e512b15c (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00000001e512b674 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00000001e5101a78 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00000001e5101bcc (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00000001e5101b98 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000001e5101b30 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00000001e5101b64 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000001e5101bd8 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000001e5148d34 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000001e5148dd4 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000001e5141af8 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000001e5141c04 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000001e5153f2c (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000001e5154440 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00000001e513e56c (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00000001e512bad0 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000001e519216c (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000001e5191f88 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000001e5191fac (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000001e5192030 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000001e519205c (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000001e51922a4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000001e51922c8 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000001e51922e0 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000001e51922ec (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000001e5191b84 (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000001e5192148 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000001e514a25c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000001e514a2a0 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
