00000001cdb43854 (__TEXT,__text) non-external +[Cube initialize]
00000001cd97bc0c (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001cd97cd24 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001cd97cea0 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001cd97ce5c (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00000001cd97d414 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001cd97f004 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00000001cd97e520 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001cd97cd6c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001cd97ce14 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001cd97e8bc (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001cd97e1d0 (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001cd97efbc (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001cd98008c (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001cd980020 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001cd9474c8 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001cd9474c0 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001cd986568 (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001cd9864fc (__TEXT,__text) non-external +[MPCropController sharedController]
00000001cd98bfd8 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001cd98bec4 (__TEXT,__text) non-external +[MPDocument initialize]
00000001cd98c028 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001cd98bde4 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001cd99329c (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001cd98c014 (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001cd98bfd0 (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001cd98bc98 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001cd98bcb0 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001cd993220 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001cd98c000 (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001cd993320 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001cd993370 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001cd9933ac (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001cd9933f0 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001cd993434 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001cd993318 (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001cd99bbfc (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001cd99bc24 (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001cd99bf3c (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001cd99fc20 (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001cd99fccc (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001cd99fc58 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001cd9a2cac (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001cd9a39b8 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001cd9a3cf4 (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001cd9a3ec0 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001cd9a3798 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001cd9a375c (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001cd9a3770 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001cd9a3784 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001cd9a3fec (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001cd9a3fe4 (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001cd9a5c98 (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001cd9a5c24 (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001cd9a6a50 (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001cd9a7314 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001cd9a730c (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001cd9a7ca0 (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001cd9a7c2c (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001cd9a8378 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001cd948934 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001cd94892c (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001cd9a8fb8 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001cd9a9040 (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001cd9a8fe0 (__TEXT,__text) non-external +[MPLayer layer]
00000001cd9a9010 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001cd9a9070 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001cd9adc80 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001cd9adcbc (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001cd9add00 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001cd9add44 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001cd9b2a64 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001cd9b2adc (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001cd9bc3e8 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001cd9bfb50 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001cd9bfb28 (__TEXT,__text) non-external +[MPSlide slide]
00000001cd9bfb20 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001cd9c4f74 (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001cd9c4f38 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001cd9c4f10 (__TEXT,__text) non-external +[MPSong song]
00000001cd9c4f08 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001cd9c61cc (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001cd9c6158 (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001cd9484f0 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001cd9484e8 (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001cd9c6edc (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001cd937138 (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001cd9c873c (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001cd9ca064 (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001cd9ca06c (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001cd9cbc54 (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001cd9cbc18 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001cd948d20 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001cd948d28 (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001cd9cd2b0 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001cd9cd23c (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001cd9cddd8 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001cd9d18b8 (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001cd9d3634 (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001cd9d1444 (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001cd9d14ec (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001cd9d0f34 (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001cd9d0524 (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001cd9cffc8 (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001cd9d076c (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001cd9d12c4 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001cd9d1384 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001cd9d37a4 (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001cd9d22f0 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001cd9d2624 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001cd9d25a0 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001cd9d3200 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001cd9d30f0 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001cd9d32cc (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001cd9d3264 (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001cd9d0adc (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001cd9d0a20 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001cd9d0da8 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001cd9d2fe4 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001cd9d2b04 (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001cd9d2a58 (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001cd9d1dd0 (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001cd9d2f38 (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001cd9d24e8 (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001cd9d2cbc (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001cd9cfd8c (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001cd9cfe8c (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001cd9d3f28 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001cd9d4014 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001cd9d423c (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001cd9d42d0 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001cd9d48d0 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001cd9d3edc (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001cd9d3e68 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001cd9d4688 (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001cd9d4a64 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001cd9d4c10 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001cd9d4360 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001cd9d4494 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001cd9d3ae0 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001cd9d42c0 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001cd9d4ca8 (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001cd9d4660 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001cd9d435c (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001cd9d41e8 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001cd9d3e9c (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001cd9d3e00 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001cd94e2d0 (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001cd94dc10 (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001cd94ddf0 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001cd94dc68 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001cd94dd54 (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001cd94dc18 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001cd94dd1c (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001cd94e3cc (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001cd9d7914 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001cd9d7984 (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001cd9d7978 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001cdb4c518 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001cd9de058 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001cd9de060 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001cd9de218 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001cd9de610 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001cd9de220 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001cd9de3d8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001cd9e02b4 (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001cd9e02bc (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001cd9e02ac (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001cd9dfdf8 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001cd9e0d70 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001cd9e0d78 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001cdb00c4c (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001cdb00c44 (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001cdb03cb8 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001cdb03cc0 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001cdb28d40 (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001cdb28714 (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001cdb2870c (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001cdb27a30 (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001cdb287e4 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001cdb28adc (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001cdafc78c (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001cdafc784 (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001cdafc38c (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001cdb367bc (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001cdb35928 (__TEXT,__text) non-external +[MREffectFloating hasCustomTiming]
00000001cdb35930 (__TEXT,__text) non-external +[MREffectFloating supportsDynamicExpansionForEffectID:]
00000001cdb35938 (__TEXT,__text) non-external +[MREffectFloating typicalSlideBatchSizeForEffectID:]
00000001cdb24624 (__TEXT,__text) non-external +[MREffectFramedSlide initialize]
