00000002942a1c90 (__DATA,__data) non-external _.compoundliteral
0000000225bad4e4 (__TEXT,__text) external _ShGetUniformBlockIndex
0000000225bad8c0 (__TEXT,__text) external _ShGetUniformIndex
0000000225baca74 (__TEXT,__text) external _ShGetUniformLocation
0000000225bac7a4 (__TEXT,__text) external _ShGetUniformPartitionInfo
0000000225bab588 (__TEXT,__text) external _ShInitialize
0000000225baeb24 (__TEXT,__text) external _ShInitializeLibrary
0000000225babac8 (__TEXT,__text) external _ShLink
0000000225bacc40 (__TEXT,__text) external _ShSetInitialUniformValue
0000000225baeb28 (__TEXT,__text) external _ShTerminateLibrary
0000000225bace44 (__TEXT,__text) external _ShTransformFeedbackVaryings
0000000225b9f8f8 (__TEXT,__text) non-external (was a private external) _SrcSwizzle
0000000225c0b780 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
0000000225bbb930 (__TEXT,__text) non-external (was a private external) _UngetToken
0000000225c09860 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
0000000225c0758c (__TEXT,__text) non-external _UnrollConstantLoopsInner
0000000225c07430 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000225bb4b90 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
0000000225bb4228 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
0000000225bb4f00 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
0000000225bb48cc (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
0000000225bb4a6c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
0000000225bb4e0c (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
0000000225b905a0 (__TEXT,__text) non-external ___abort_calloc
0000000225af2004 (__TEXT,__text) non-external ___abort_malloc
0000000225b9016c (__TEXT,__text) non-external ___abort_malloc
0000000225b66e84 (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
0000000225b6096c (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
000000028f7ecc20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ecc58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ecd78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ecd98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ed018 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ed098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ed8c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ed9b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7ed9f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7eda78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7edcd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7efef0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f7eff70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000029a402520 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029a402550 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000029a4028b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000028f7eccb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
000000028f7eddd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
000000028f7eddf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
000000029a402a90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
000000029a402ac0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
000000028f7ede18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
000000029a402af0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
000000028f7eff10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
000000028f7eccd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
000000028f7ed038 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
000000029a402b40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
000000029a402b70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
000000028f7ecdb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000028f7ede38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000029a402910 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000029a402c40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
000000029a402ba0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
000000028f7eff30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
000000028f7ede58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
000000028f7eff50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
000000029a402c70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
000000028f7ed058 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
000000028f7ecc78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
000000028f7edcf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
000000029a402580 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
000000028f7ed078 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
000000028f7eccf8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
000000028f7eff90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
000000029a402940 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
000000028f7ecd18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
000000028f7edd18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
000000028f7ecd38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
000000029a402970 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
000000028f7ecd58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
000000028f7edd38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
000000029a4025b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
000000028f7edd58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
000000029a402660 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
000000029a4025e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
000000028f7ecc98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
000000028f7edd78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
000000029a4028e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
000000028f7edd98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
000000029a4029a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
000000029a4029d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
000000029a402690 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
000000029a402a00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
000000029a402a30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
000000029a4026c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
000000028f7eda98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
000000029a4026f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
000000028f7eddb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
000000029a402c10 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
000000028f7edab8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
000000029a402610 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000029a402720 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000028f7ed9d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
000000029a402a60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
000000029a402380 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a4023a0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a4024c0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a402500 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a402640 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a402b20 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a402ca0 (__AUTH_CONST,__const) non-external ___block_literal_global
000000029a402400 (__AUTH_CONST,__const) non-external ___block_literal_global.12
000000029a402420 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000029a4024e0 (__AUTH_CONST,__const) non-external ___block_literal_global.16
000000029a402bd0 (__AUTH_CONST,__const) non-external ___block_literal_global.169
000000029a402bf0 (__AUTH_CONST,__const) non-external ___block_literal_global.173
000000029a402440 (__AUTH_CONST,__const) non-external ___block_literal_global.32
000000029a4023c0 (__AUTH_CONST,__const) non-external ___block_literal_global.4
000000029a4023e0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000225b8b490 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
0000000225b9e3ac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
0000000225bf97ac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
0000000225ba0c30 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
0000000225ba0b84 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
0000000225bb42fc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
0000000225bc4e44 (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
0000000225bc4464 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
0000000225bc3468 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
0000000225bc4808 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
0000000225bc2e54 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
0000000225bc2f50 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
0000000225bc8d10 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
0000000225bc4c0c (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
0000000225bab500 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
0000000225bc4d1c (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
0000000225bc4de8 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
0000000225bbff58 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
0000000225bc1428 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
0000000225bc3d60 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
0000000225b9e3bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
0000000225bf97fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
0000000225ba0c40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
0000000225ba0bd4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
0000000225bb435c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
0000000225b694d8 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
0000000225ba691c (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
0000000225b8af80 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
0000000225b8af94 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
0000000225b8b498 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
0000000225b60530 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
0000000225b60694 (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
0000000225b6065c (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
0000000225b605ec (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
0000000225b60624 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
0000000225b606a0 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
0000000225ba7b70 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
0000000225ba7c10 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
0000000225ba0b0c (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
0000000225ba0c18 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
0000000225bb2920 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
0000000225bb2e34 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
0000000225b9e2f4 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
0000000225b8b91c (__TEXT,__text) non-external ___glpPackConstants_block_invoke
0000000225bec5a0 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
0000000225bec3bc (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
0000000225bec3e0 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
0000000225bec464 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
0000000225bec490 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
0000000225bec6d0 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
0000000225bec6f4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
0000000225bec70c (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
0000000225bec718 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
0000000225bebfcc (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
0000000225bec57c (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
0000000225ba904c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
0000000225ba9090 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
0000000225bec660 (__TEXT,__text) non-external ___glpSAStructType_block_invoke
0000000225bebfa8 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
