00007ffa42edaee0 (__DATA,__data) non-external _.compoundliteral
00007ffa182d2b35 (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffa182d4367 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00007ffa182d4c14 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00007ffa182d4b68 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00007ffa182d4b4d (__TEXT,__text) external _ShGetNumActiveSubroutines
00007ffa182d3c2a (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00007ffa182d470f (__TEXT,__text) external _ShGetNumActiveUniforms
00007ffa182d398f (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00007ffa182d2e5a (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00007ffa182d35ce (__TEXT,__text) external _ShGetPPStreamManager
00007ffa182d35e5 (__TEXT,__text) external _ShGetShaderByteCode
00007ffa182d4e1c (__TEXT,__text) external _ShGetSubroutineIndex
00007ffa182d4d25 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00007ffa182d390a (__TEXT,__text) external _ShGetTransformFeedbackVarying
00007ffa182d3db4 (__TEXT,__text) external _ShGetUniformBlockIndex
00007ffa182d426e (__TEXT,__text) external _ShGetUniformIndex
00007ffa182d338b (__TEXT,__text) external _ShGetUniformLocation
00007ffa182d30da (__TEXT,__text) external _ShGetUniformPartitionInfo
00007ffa182d1f80 (__TEXT,__text) external _ShInitialize
00007ffa182d54c8 (__TEXT,__text) external _ShInitializeLibrary
00007ffa182d24ae (__TEXT,__text) external _ShLink
00007ffa182d3521 (__TEXT,__text) external _ShSetInitialUniformValue
00007ffa182d54ce (__TEXT,__text) external _ShTerminateLibrary
00007ffa182d375d (__TEXT,__text) external _ShTransformFeedbackVaryings
00007ffa182c4bc7 (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00007ffa18338058 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00007ffa182e1828 (__TEXT,__text) non-external (was a private external) _UngetToken
00007ffa18335efc (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00007ffa1833343a (__TEXT,__text) non-external _UnrollConstantLoopsInner
00007ffa18333305 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffa182db189 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00007ffa182da8d4 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00007ffa182db4b3 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ffa182daebb (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00007ffa182db06a (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00007ffa182db3b8 (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00007ffa182b36e8 (__TEXT,__text) non-external ___abort_calloc
00007ffa18288a77 (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00007ffa18282667 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00007ffa41d28370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d283c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28610 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28630 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28670 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28730 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d287a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d287d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28838 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d288a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28990 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d289b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28e60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d2b078 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d2b098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d2b458 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffa41d28f60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ffa41d2b2a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.101
00007ffa41d2b2d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.108
00007ffa41d284c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffa41d28f80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ffa41d2b308 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.119
00007ffa41d28fa0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffa41d2b0f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ffa41d2b348 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.124
00007ffa41d2b378 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.132
00007ffa41d2b3a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.135
00007ffa41d286b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffa41d2b4a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ffa41d2b3d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.141
00007ffa41d2b418 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.144
00007ffa41d28650 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa41d28fc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa41d2b4d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ffa41d28508 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa41d28fe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa41d2b128 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ffa41d286f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00007ffa41d28710 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffa41d2b508 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00007ffa41d28408 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa41d28808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa41d28e80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ffa41d28528 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffa41d2b158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffa41d28548 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00007ffa41d28ea0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00007ffa41d28588 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffa41d28ec0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffa41d2b0c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ffa41d288c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffa41d28448 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffa41d28ee0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ffa41d289d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50
00007ffa41d288f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffa41d28f00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ffa41d2b188 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffa41d2b1b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.66
00007ffa41d2b1e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffa41d28f20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00007ffa41d2b218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.70
00007ffa41d28a00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.78
00007ffa41d28488 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00007ffa41d28a30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffa41d2b248 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffa41d28a60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00007ffa41d28a80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffa41d28ab0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
00007ffa41d28ad0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffa41d28f40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffa41d2b478 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ffa41d28920 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffa41d28950 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.94
00007ffa41d2b278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.98
00007ffa41d28390 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d283e8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d28690 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d28750 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d28970 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d2b328 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d2b528 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa41d284e8 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ffa41d2b3f8 (__DATA_CONST,__const) non-external ___block_literal_global.142
00007ffa41d2b438 (__DATA_CONST,__const) non-external ___block_literal_global.145
00007ffa41d286d0 (__DATA_CONST,__const) non-external ___block_literal_global.15
00007ffa41d28568 (__DATA_CONST,__const) non-external ___block_literal_global.27
00007ffa41d28428 (__DATA_CONST,__const) non-external ___block_literal_global.3
00007ffa41d28468 (__DATA_CONST,__const) non-external ___block_literal_global.6
00007ffa41d284a8 (__DATA_CONST,__const) non-external ___block_literal_global.9
                 (undefined) external ___bzero (from libSystem)
00007ffa182004f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa18200510 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffa182ae583 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00007ffa182c30a7 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffa183245f7 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00007ffa182c67bc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffa182c6740 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffa1831430c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00007ffa182e9e2a (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00007ffa182e94e0 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00007ffa182e8408 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00007ffa182e9858 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00007ffa182e7e6c (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00007ffa182e7f22 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00007ffa182edf68 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00007ffa182e9c84 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00007ffa182d1f00 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00007ffa182e9d43 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00007ffa182e9ddf (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00007ffa182e5246 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00007ffa182e669a (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00007ffa182e8df0 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00007ffa182c30be (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffa1832462f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00007ffa182c67d3 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffa182c6778 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00007ffa18314356 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00007ffa1828b648 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00007ffa182cce51 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00007ffa182ae0db (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00007ffa182ae0ed (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00007ffa182ae591 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00007ffa182822e6 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00007ffa18282411 (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00007ffa182823dc (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00007ffa18282372 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00007ffa182823a7 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00007ffa18282422 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00007ffa182ce164 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00007ffa182ce1e6 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00007ffa182c66e8 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00007ffa182c67a3 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00007ffa182d8f4b (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00007ffa182d94b1 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00007ffa182c3007 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00007ffa182aea21 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00007ffa183144b8 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00007ffa1831427e (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00007ffa183142a2 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.65
00007ffa1831438f (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.67
00007ffa183143bb (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.69
00007ffa183145b6 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00007ffa183145da (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.134
00007ffa183145f3 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.140
00007ffa18314600 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00007ffa18313eae (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
