000000018243ec10 (__DATA,__data) non-external _C
000000018030db3c (__TEXT,__text) external _wctob_l
000000018030dc94 (__TEXT,__text) external _wctomb
000000018030dc1c (__TEXT,__text) external _wctomb_l
000000018030de28 (__TEXT,__text) external _wctrans
000000018030defc (__TEXT,__text) external _wctrans_l
000000018030dfcc (__TEXT,__text) external _wctype
000000018030df00 (__TEXT,__text) external _wctype_l
00000001804258e8 (__DATA_CONST,__const) non-external _wctype_l.props
000000018030dff0 (__TEXT,__text) external _wcwidth
000000018030e084 (__TEXT,__text) external _wcwidth_l
000000018032ac04 (__TEXT,__text) non-external _we_read_fully
00000001803499c0 (__TEXT,__const) non-external _wildabbr
000000018032b824 (__TEXT,__text) external _wmemchr
000000018032b848 (__TEXT,__text) external _wmemcmp
000000018032b880 (__TEXT,__text) external _wmemcpy
000000018032b888 (__TEXT,__text) external _wmemmove
000000018032b890 (__TEXT,__text) external _wmemset
00000001803222a8 (__TEXT,__text) non-external _wmemstream_close
00000001803221f0 (__TEXT,__text) non-external _wmemstream_seek
0000000180347a38 (__TEXT,__text) non-external _wmemstream_seek.cold.1
0000000180347a64 (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180321fbc (__TEXT,__text) non-external _wmemstream_update
0000000180347a0c (__TEXT,__text) non-external _wmemstream_update.cold.1
0000000180321ff4 (__TEXT,__text) non-external _wmemstream_write
000000018032a210 (__TEXT,__text) external _wordexp
000000018032abbc (__TEXT,__text) external _wordfree
0000000180321c4c (__TEXT,__text) external _wprintf
0000000180321ca8 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180321ce8 (__TEXT,__text) external _wscanf
0000000180321d44 (__TEXT,__text) external _wscanf_l
00000001802e88d8 (__TEXT,__text) external _xprintf
0000000182440878 (__DATA,__bss) non-external _xprintf_domain_default
00000001802e93d4 (__TEXT,__text) external _xprintf_exec
00000001803499c8 (__TEXT,__const) non-external _year_lengths
00000001824407b8 (__DATA,__bss) non-external _zapchar
0000000180349827 (__TEXT,__const) non-external _zeroes
0000000180349918 (__TEXT,__const) non-external _zeroes
000000018243fa34 (__DATA,__data) non-external _zeroes
