00000001e2b94148 (__DATA,__data) non-external _.compoundliteral
000000018400e1b0 (__TEXT,__text) non-external _sbpl_extends_builtin
000000018400e058 (__TEXT,__text) non-external _sbpl_filter_eqv
000000018400ec04 (__TEXT,__text) non-external _sbpl_leave_message_filter_context
000000018400df0c (__TEXT,__text) non-external _sbpl_operation_eqv
0000000184017aed (__TEXT,__const) non-external _sbpl_scm
0000000184000ea8 (__TEXT,__text) non-external (was a private external) _scheme_backtrace
0000000184012cec (__TEXT,__text) non-external _scheme_backtrace.cold.1
0000000183ff7a48 (__TEXT,__text) non-external (was a private external) _scheme_call
0000000183feb6d8 (__TEXT,__text) non-external (was a private external) _scheme_define
0000000183ff81e4 (__TEXT,__text) non-external (was a private external) _scheme_deinit
0000000183fe54d4 (__TEXT,__text) non-external (was a private external) _scheme_enable_full_backtraces
00000001840010e4 (__TEXT,__text) non-external (was a private external) _scheme_error
0000000184001454 (__TEXT,__text) non-external (was a private external) _scheme_errorf
0000000184000e70 (__TEXT,__text) non-external (was a private external) _scheme_get_current_bt_pointer
0000000183ff7224 (__TEXT,__text) non-external (was a private external) _scheme_get_external_data
0000000184000d28 (__TEXT,__text) non-external (was a private external) _scheme_get_location_col
0000000184000d20 (__TEXT,__text) non-external (was a private external) _scheme_get_location_line
0000000184000d08 (__TEXT,__text) non-external (was a private external) _scheme_get_location_name
0000000183ff79fc (__TEXT,__text) non-external (was a private external) _scheme_global
0000000183fe4ee0 (__TEXT,__text) non-external (was a private external) _scheme_init_custom_alloc
0000000183fe4e70 (__TEXT,__text) non-external (was a private external) _scheme_init_new
0000000183febe00 (__TEXT,__text) non-external (was a private external) _scheme_load_file
0000000183fe6098 (__TEXT,__text) non-external (was a private external) _scheme_load_string
0000000183fec58c (__TEXT,__text) non-external (was a private external) _scheme_push_string
00000001840014c4 (__TEXT,__text) non-external (was a private external) _scheme_quit
0000000183fe606c (__TEXT,__text) non-external (was a private external) _scheme_set_error_port_string
0000000183fe5fa4 (__TEXT,__text) non-external (was a private external) _scheme_set_external_data
0000000183fe5fac (__TEXT,__text) non-external (was a private external) _scheme_set_output_port_string
0000000184000f80 (__TEXT,__text) non-external (was a private external) _scheme_write_to_file
0000000183ff0fe4 (__TEXT,__text) non-external _shallow_copy_node
0000000183ffb840 (__TEXT,__text) non-external _skip_redundant_instructions
                 (undefined) external _snprintf (from libSystem)
0000000183ffd798 (__TEXT,__text) non-external _split_node
                 (undefined) external _sscanf (from libSystem)
0000000183fe5dcc (__TEXT,__text) non-external _store_string
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcspn (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
0000000183fed414 (__TEXT,__text) non-external (was a private external) _string_length
00000001840070dc (__TEXT,__text) non-external _string_table_description_for_id
0000000183fed3b0 (__TEXT,__text) non-external (was a private external) _string_value
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strspn (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtod (from libSystem)
                 (undefined) external _strtol (from libSystem)
0000000184010734 (__TEXT,__text) non-external _submatch_end
0000000183feb754 (__TEXT,__text) non-external (was a private external) _symname
0000000184001898 (__TEXT,__text) non-external _syntaxnum
0000000184011608 (__TEXT,__text) non-external _synthesize_bitmasks
0000000184011410 (__TEXT,__text) non-external _synthesize_bitmasks_for_instruction
0000000184011554 (__TEXT,__text) non-external _synthesize_bitmasks_for_policy
0000000184011aa4 (__TEXT,__text) non-external _synthesize_bitmasks_multiple
0000000183ff8bac (__TEXT,__text) non-external _synthesize_logical_conditions
000000018400ab54 (__TEXT,__text) non-external _synthesize_logical_conditions_policy
00000001e6075bf8 (__AUTH_CONST,__const) non-external _tests
0000000183fe74fc (__TEXT,__text) non-external _token
0000000183ff7dbc (__TEXT,__text) non-external _traverse_postorder
000000018400a8f4 (__TEXT,__text) non-external _traverse_preorder
00000001840086f4 (__TEXT,__text) non-external _type_mismatch_error
                 (undefined) external _ungetc (from libSystem)
000000018401fbfc (__TEXT,__const) non-external _utf8_minLegal
                 (undefined) external _uuid_unparse_lower (from libSystem)
000000018400e4a0 (__TEXT,__text) non-external _variable_quote
                 (undefined) external _vasprintf (from libSystem)
0000000184010390 (__TEXT,__text) non-external _version
000000018400bf30 (__TEXT,__text) non-external _visited_list_done
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) weak external _voucher_mach_msg_set (from libSystem)
0000000183feb7e0 (__TEXT,__text) non-external _xpc2sc
                 (undefined) external _xpc_array_get_count (from libSystem)
                 (undefined) external _xpc_array_get_value (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_apply (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_int64_get_value (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
