00007ffa1ed925fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa1eb60557 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa1eb5eb1a (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa1eb6083f (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa1eb5eeb7 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007ffa1eb5f187 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007ffa1eb5f0be (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00007ffa1eb5ef42 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00007ffa1eb601e0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00007ffa1eb5d0d1 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00007ffa1eb60490 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00007ffa1eb5ecee (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00007ffa1eb5e1d9 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00007ffa1eb5e7a8 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00007ffa1eb5cf6a (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00007ffa1eb5e2ad (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00007ffa1eb5e419 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00007ffa1eb5e3e1 (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00007ffa1eb5e9d1 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00007ffa1eb608b2 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00007ffa1eb5fcb9 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00007ffa1eb5e2e8 (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00007ffa1eb5e3a6 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00007ffa1eb600d1 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00007ffa1eb5f8e8 (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00007ffa1eb60877 (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00007ffa1eb61c42 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00007ffa1eb61be3 (__TEXT,__text) non-external +[MPClusterController sharedController]
00007ffa1eb0e37e (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00007ffa1eb0e373 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00007ffa1eb6b147 (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00007ffa1eb6b0e8 (__TEXT,__text) non-external +[MPCropController sharedController]
00007ffa1eb72af0 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00007ffa1eb72996 (__TEXT,__text) non-external +[MPDocument initialize]
00007ffa1eb72b56 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00007ffa1eb728c1 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00007ffa1eb7c0f7 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00007ffa1eb7c175 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.2
00007ffa1eb72b36 (__TEXT,__text) non-external +[MPDocument readableTypes]
00007ffa1eb72ae5 (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00007ffa1eb72763 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00007ffa1eb72784 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00007ffa1eb7c0f7 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00007ffa1eb7c10f (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.2
00007ffa1eb72b16 (__TEXT,__text) non-external +[MPDocument writableTypes]
00007ffa1eb7c1e6 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00007ffa1eb7c232 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00007ffa1eb7c261 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00007ffa1eb7c295 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00007ffa1eb7c2c9 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00007ffa1eb7c1db (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00007ffa1eb87ca0 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00007ffa1eb87cc6 (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00007ffa1eb88039 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00007ffa1eb8d2a0 (__TEXT,__text) non-external +[MPEffectManager initialize]
00007ffa1eb8d340 (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00007ffa1eb8d2cf (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00007ffa1eb90ed6 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00007ffa1eb92378 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00007ffa1eb927b9 (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00007ffa1eb929f6 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00007ffa1eb92092 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00007ffa1eb9200e (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00007ffa1eb9203a (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00007ffa1eb92066 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00007ffa1eb92b6d (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00007ffa1eb92b62 (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00007ffa1eb94d6d (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00007ffa1eb94cfc (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00007ffa1eb961ff (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00007ffa1eb97088 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00007ffa1eb9707d (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00007ffa1eb97b2a (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00007ffa1eb97ab9 (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00007ffa1eb98400 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00007ffa1eb0f610 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00007ffa1eb0f605 (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00007ffa1eb99734 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00007ffa1eb9978c (__TEXT,__text) non-external +[MPLayer effectLayer]
00007ffa1eb9975a (__TEXT,__text) non-external +[MPLayer layer]
00007ffa1eb99773 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00007ffa1eb997a5 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00007ffa1eb9fd85 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00007ffa1eb9fdb4 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00007ffa1eb9fde8 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00007ffa1eb9fe1c (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00007ffa1eba69b3 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00007ffa1eba6a2d (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00007ffa1ebb41a0 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00007ffa1ebb8c5b (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00007ffa1ebb8c49 (__TEXT,__text) non-external +[MPSlide slide]
00007ffa1ebb8c3e (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00007ffa1ebc0450 (__TEXT,__text) non-external +[MPSong songWithPath:]
00007ffa1ebc0421 (__TEXT,__text) non-external +[MPSong songWithURL:]
00007ffa1ebc040f (__TEXT,__text) non-external +[MPSong song]
00007ffa1ebc0404 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00007ffa1ebc195a (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00007ffa1ebc18e9 (__TEXT,__text) non-external +[MPSongManager sharedManager]
00007ffa1eb0f285 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00007ffa1eb0f27a (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00007ffa1ebc2ac8 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00007ffa1eafa3e8 (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00007ffa1ebc4989 (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00007ffa1ebc6a4b (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00007ffa1ebc6a56 (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00007ffa1ebc8ef2 (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00007ffa1ebc8ec3 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00007ffa1eb0f975 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00007ffa1eb0f980 (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00007ffa1ebca944 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00007ffa1ebca8d3 (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00007ffa1ebcb76d (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00007ffa1ebd0d07 (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00007ffa1ebd3be3 (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00007ffa1ebd065a (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00007ffa1ebd0719 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00007ffa1ebcfd8c (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00007ffa1ebcefda (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00007ffa1ebce784 (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00007ffa1ebcf3ae (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00007ffa1ebd048c (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00007ffa1ebd0573 (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00007ffa1ebd3df4 (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00007ffa1ebd1eb7 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00007ffa1ebd2357 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00007ffa1ebd22d4 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00007ffa1ebd3576 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00007ffa1ebd33fc (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00007ffa1ebd363a (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00007ffa1ebd35dd (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00007ffa1ebcf8ad (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00007ffa1ebcf7bd (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00007ffa1ebcfbbb (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00007ffa1ebd3277 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00007ffa1ebd2aac (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00007ffa1ebd29db (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00007ffa1ebd157a (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00007ffa1ebd3185 (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00007ffa1ebd2202 (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00007ffa1ebd2d50 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00007ffa1ebce4cc (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00007ffa1ebce5dc (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00007ffa1ebd48ef (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00007ffa1ebd49ed (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00007ffa1ebd4c16 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00007ffa1ebd4cb0 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00007ffa1ebd5386 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00007ffa1ebd48b2 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00007ffa1ebd4833 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00007ffa1ebd50ff (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00007ffa1ebd55b8 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00007ffa1ebd57b5 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00007ffa1ebd4d3e (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00007ffa1ebd4eae (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00007ffa1ebd42f2 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00007ffa1ebd4c9c (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00007ffa1ebd585e (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00007ffa1ebd50dc (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00007ffa1ebd4d38 (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00007ffa1ebd4bce (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00007ffa1ebd4879 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00007ffa1ebd47da (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00007ffa1eb1613d (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00007ffa1eb159be (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00007ffa1eb15bd8 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00007ffa1eb15a26 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00007ffa1eb15b14 (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00007ffa1eb159c9 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00007ffa1eb15adf (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00007ffa1eb1624c (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00007ffa1ebd9313 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00007ffa1ebd937e (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00007ffa1ebd9371 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00007ffa1ed9dec9 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00007ffa1ebe1233 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00007ffa1ebe124b (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00007ffa1ebe148d (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00007ffa1ebe1a42 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00007ffa1ebe14a5 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00007ffa1ebe16f3 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00007ffa1ebe3d93 (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00007ffa1ebe3d9b (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00007ffa1ebe3d8b (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00007ffa1ebe3800 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00007ffa1ebe4a3a (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00007ffa1ebe4a42 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00007ffa1ed323ef (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00007ffa1ed323e4 (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00007ffa1ed3618f (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00007ffa1ed3619a (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00007ffa1ed6a33c (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00007ffa1ed69b2f (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00007ffa1ed69b24 (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00007ffa1ed688a4 (__TEXT,__text) non-external +[MREffectDateline initialize]
00007ffa1ed69c16 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00007ffa1ed6a030 (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00007ffa1ed2c8e6 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00007ffa1ed2c8db (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00007ffa1ed2c4a0 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00007ffa1ed7fe7a (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
