0000000184391f08 (__DATA,__data) non-external _C
0000000180281504 (__TEXT,__text) external _wctype_l
000000018237d128 (__DATA_CONST,__const) non-external _wctype_l.props
00000001802815f4 (__TEXT,__text) external _wcwidth
0000000180281690 (__TEXT,__text) external _wcwidth_l
000000018029eaac (__TEXT,__text) non-external _we_read_fully
00000001802bd9a8 (__TEXT,__const) non-external _wildabbr
000000018029f6c0 (__TEXT,__text) external _wmemchr
000000018029f6e4 (__TEXT,__text) external _wmemcmp
000000018029f71c (__TEXT,__text) external _wmemcpy
000000018029f724 (__TEXT,__text) external _wmemmove
000000018029f72c (__TEXT,__text) external _wmemset
0000000180295c08 (__TEXT,__text) non-external _wmemstream_close
0000000180295b50 (__TEXT,__text) non-external _wmemstream_seek
00000001802bbaac (__TEXT,__text) non-external _wmemstream_seek.cold.1
00000001802bbad8 (__TEXT,__text) non-external _wmemstream_seek.cold.2
0000000180295914 (__TEXT,__text) non-external _wmemstream_update
00000001802bba80 (__TEXT,__text) non-external _wmemstream_update.cold.1
000000018029594c (__TEXT,__text) non-external _wmemstream_write
000000018029e0d4 (__TEXT,__text) external _wordexp
000000018029ea64 (__TEXT,__text) external _wordfree
00000001802955a4 (__TEXT,__text) external _wprintf
0000000180295600 (__TEXT,__text) external _wprintf_l
                 (undefined) external _write$NOCANCEL (from libsystem_kernel)
                 (undefined) external _writev$NOCANCEL (from libsystem_kernel)
0000000180295640 (__TEXT,__text) external _wscanf
000000018029569c (__TEXT,__text) external _wscanf_l
000000018025c0bc (__TEXT,__text) external _xprintf
0000000184393b68 (__DATA,__bss) non-external _xprintf_domain_default
000000018025cb88 (__TEXT,__text) external _xprintf_exec
00000001802bd9b0 (__TEXT,__const) non-external _year_lengths
0000000184393aa8 (__DATA,__bss) non-external _zapchar
00000001802bd80f (__TEXT,__const) non-external _zeroes
00000001802bd900 (__TEXT,__const) non-external _zeroes
0000000184392d24 (__DATA,__data) non-external _zeroes
