00000001e7d1a348 (__DATA,__data) non-external _.compoundliteral
00000001d6b97b38 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000001d6b96db8 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000001d6b97794 (__TEXT,__text) external _ShGetNumActiveUniforms
00000001d6b96ab8 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000001d6b95ed8 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000001d6b9672c (__TEXT,__text) external _ShGetPPStreamManager
00000001d6b9673c (__TEXT,__text) external _ShGetShaderByteCode
00000001d6b97e08 (__TEXT,__text) external _ShGetSubroutineIndex
00000001d6b97cd8 (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000001d6b96a24 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000001d6b96ef4 (__TEXT,__text) external _ShGetUniformBlockIndex
00000001d6b972f0 (__TEXT,__text) external _ShGetUniformIndex
00000001d6b96490 (__TEXT,__text) external _ShGetUniformLocation
00000001d6b961c4 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000001d6b95000 (__TEXT,__text) external _ShInitialize
00000001d6b984b4 (__TEXT,__text) external _ShInitializeLibrary
00000001d6b95544 (__TEXT,__text) external _ShLink
00000001d6b96664 (__TEXT,__text) external _ShSetInitialUniformValue
00000001d6b984b8 (__TEXT,__text) external _ShTerminateLibrary
00000001d6b96854 (__TEXT,__text) external _ShTransformFeedbackVaryings
00000001d6b88124 (__TEXT,__text) non-external (was a private external) _SrcSwizzle
00000001d6bfa088 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000001d6ba55a4 (__TEXT,__text) non-external (was a private external) _UngetToken
00000001d6bf8490 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
00000001d6bf6080 (__TEXT,__text) non-external _UnrollConstantLoopsInner
00000001d6bf5f28 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d6b9e670 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000001d6b9dd18 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000001d6b9e9e0 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000001d6b9e3b4 (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000001d6b9e54c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000001d6b9e8ec (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000001d6b50c5c (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
00000001d6b4a4b8 (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
00000001e4e339f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33a28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33b48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33b68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33de8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33e68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e34690 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e34788 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e347c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e34848 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e34aa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e36cc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e36d40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001f2048e00 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f2048e30 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001f2049190 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001e4e33a88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e4e34ba8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00000001e4e34bc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001f2049370 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001f20493a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
00000001e4e34be8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001f20493d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
00000001e4e36ce0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
00000001e4e33aa8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001e4e33e08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00000001f2049420 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
00000001f2049450 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
00000001e4e33b88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001e4e34c08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f20491f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f2049520 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001f2049480 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
00000001e4e36d00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
00000001e4e34c28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00000001e4e36d20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
00000001f2049550 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001e4e33e28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001e4e33a48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e4e34ac8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00000001f2048e60 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
00000001e4e33e48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
00000001e4e33ac8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001e4e36d60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
00000001f2049220 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
00000001e4e33ae8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00000001e4e34ae8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00000001e4e33b08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00000001f2049250 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
00000001e4e33b28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00000001e4e34b08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00000001f2048e90 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
00000001e4e34b28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001f2048f40 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001f2048ec0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
00000001e4e33a68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e4e34b48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001f20491c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001e4e34b68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00000001f2049280 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001f20492b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
00000001f2048f70 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
00000001f20492e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
00000001f2049310 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
00000001f2048fa0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
00000001e4e34868 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00000001f2048fd0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
00000001e4e34b88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00000001f20494f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
00000001e4e34888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
00000001f2048ef0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001f2049000 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001e4e347a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
00000001f2049340 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
00000001f2048c60 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2048c80 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2048da0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2048de0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2048f20 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2049400 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2049580 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f2048ce0 (__AUTH_CONST,__const) non-external ___block_literal_global.12
00000001f2048d00 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f2048dc0 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f20494b0 (__AUTH_CONST,__const) non-external ___block_literal_global.169
00000001f20494d0 (__AUTH_CONST,__const) non-external ___block_literal_global.173
00000001f2048d20 (__AUTH_CONST,__const) non-external ___block_literal_global.32
00000001f2048ca0 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001f2048cc0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001d6b73b54 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
00000001d6b86abc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001d6be7324 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000001d6b8a0dc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001d6b8a030 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001d6b9ddec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001d6baed6c (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000001d6bae348 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000001d6bad2bc (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000001d6bae710 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000001d6bacc74 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000001d6bacd70 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000001d6bb334c (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000001d6baeb34 (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000001d6b94f78 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000001d6baec44 (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000001d6baed10 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000001d6ba9d70 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000001d6bab23c (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000001d6badc00 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
00000001d6b86acc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001d6be7374 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000001d6b8a0ec (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001d6b8a080 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001d6b9de4c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000001d6b532cc (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000001d6b8ff68 (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
00000001d6b73630 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
00000001d6b73644 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
00000001d6b73b5c (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
00000001d6b4a090 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
00000001d6b4a1e4 (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
00000001d6b4a1b0 (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000001d6b4a148 (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
00000001d6b4a17c (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000001d6b4a1f0 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000001d6b91208 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000001d6b912a8 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000001d6b89fb8 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000001d6b8a0c4 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000001d6b9c3b4 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000001d6b9c8c8 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
00000001d6b86a04 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
00000001d6b73fc0 (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000001d6bd8fbc (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000001d6bd8dd8 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000001d6bd8dfc (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000001d6bd8e80 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000001d6bd8eac (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000001d6bd90ec (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000001d6bd9110 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000001d6bd9128 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000001d6bd9134 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000001d6bd89dc (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000001d6bd8f98 (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000001d6b9272c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000001d6b92770 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
00000001d6bd907c (__TEXT,__text) non-external ___glpSAStructType_block_invoke
00000001d6bd89b8 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
00000001d6bd87b8 (__TEXT,__text) non-external ___glpSATypeIdentifier_block_invoke
00000001d6bd8934 (__TEXT,__text) non-external ___glpSAUndeterminedCall_block_invoke
