00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001db17bb1c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001db17a36c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001db17a414 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001db17beb8 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001db17b7cc (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001db17c5b8 (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001db17d680 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001db17d614 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001db144dc8 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001db144dc0 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001db183b1c (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001db183ab0 (__TEXT,__text) non-external +[MPCropController sharedController]
00000001db189d84 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001db189c70 (__TEXT,__text) non-external +[MPDocument initialize]
00000001db189dd4 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001db189ba0 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001db190fb0 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001db190fc4 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.2
00000001db189dc0 (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001db189d7c (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001db189a64 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001db189a7c (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001db190fb0 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001db190fc4 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.2
00000001db189dac (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001db191054 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001db1910a4 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001db1910e0 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001db191124 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001db191168 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001db19104c (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001db199934 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001db19995c (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001db199c74 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001db19d92c (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001db19d9d8 (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001db19d964 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001db1a09c0 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001db1a16a0 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001db1a19dc (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001db1a1ba4 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001db1a14a8 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001db1a146c (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001db1a1480 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001db1a1494 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001db1a1cd0 (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001db1a1cc8 (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001db1a396c (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001db1a38f8 (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001db1a4724 (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001db1a4fe8 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001db1a4fe0 (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001db1a5974 (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001db1a5900 (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001db1a6050 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001db146238 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001db146230 (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001db1a6c90 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001db1a6d18 (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001db1a6cb8 (__TEXT,__text) non-external +[MPLayer layer]
00000001db1a6ce8 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001db1a6d48 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001db1ab938 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001db1ab974 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001db1ab9b8 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001db1ab9fc (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001db1b0734 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001db1b07ac (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001db1ba094 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001db1bd804 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001db1bd7dc (__TEXT,__text) non-external +[MPSlide slide]
00000001db1bd7d4 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001db1c2c5c (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001db1c2c20 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001db1c2bf8 (__TEXT,__text) non-external +[MPSong song]
00000001db1c2bf0 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001db1c3eac (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001db1c3e38 (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001db145df4 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001db145dec (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001db1c4bc4 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001db134a0c (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001db1c64b8 (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001db1c8010 (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001db1c8018 (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001db1c9bfc (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001db1c9bc0 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001db146624 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001db14662c (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001db1cb250 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001db1cb1dc (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001db1cbd84 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001db1cf880 (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001db1d15fc (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001db1cf40c (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001db1cf4b4 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001db1ceefc (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001db1ce4ec (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001db1cdf88 (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001db1ce734 (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001db1cf28c (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001db1cf34c (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001db1d176c (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001db1d02b8 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001db1d05e8 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001db1d0564 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001db1d11c4 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001db1d10b4 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001db1d1290 (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001db1d1228 (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001db1ceaa4 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001db1ce9e8 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001db1ced70 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001db1d0fa8 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001db1d0ac8 (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001db1d0a1c (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001db1cfd98 (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001db1d0efc (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001db1d04ac (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001db1d0c80 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001db1cdd3c (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001db1cde3c (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001db1d1ef8 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001db1d1fdc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001db1d21fc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001db1d2290 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001db1d2890 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001db1d1eac (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001db1d1e38 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001db1d2648 (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001db1d2a24 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001db1d2bd0 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001db1d2320 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001db1d2454 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001db1d1ab0 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001db1d2280 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001db1d2c68 (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001db1d2620 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001db1d231c (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001db1d21a8 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001db1d1e6c (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001db1d1dd0 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001db14bb5c (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001db14b4b8 (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001db14b698 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001db14b510 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001db14b5fc (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001db14b4c0 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001db14b5c4 (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001db14bc58 (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001db1d5820 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001db1d5890 (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001db1d5884 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001db345d80 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001db1dbdf8 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001db1dbe00 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001db1dbfb8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001db1dc3ac (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001db1dbfc0 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001db1dc178 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001db1de00c (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001db1de014 (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001db1de004 (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001db1ddb50 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001db1deac8 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001db1dead0 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001db2fa8f4 (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001db2fa8ec (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001db2fd91c (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001db2fd924 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001db3229a0 (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001db322374 (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001db32236c (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001db32168c (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001db322444 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001db32273c (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001db2f64a0 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001db2f6498 (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001db2f60a0 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001db330240 (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
