00000001dab1e14c (__TEXT,__text) non-external +[Cube initialize]
00000001da95ba14 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001da95d600 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
00000001da95cb1c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIAspectRatioFromOptions:]
00000001da95b36c (__TEXT,__text) non-external +[MPAuthoringUtilities useROIFromOptions:]
00000001da95b414 (__TEXT,__text) non-external +[MPAuthoringUtilities useTitleEffectFromOptions:]
00000001da95ceb8 (__TEXT,__text) non-external +[MPAuthoringUtilities useTransitionLayoutTagsWithOptions:]
00000001da95c7cc (__TEXT,__text) non-external +[MPAuthoringUtilities useUniformDurations:]
00000001da95d5b8 (__TEXT,__text) non-external +[MPAuthoringUtilities videoPathsRangeFromOptions:]
00000001da95e680 (__TEXT,__text) non-external +[MPClusterController releaseSharedController]
00000001da95e614 (__TEXT,__text) non-external +[MPClusterController sharedController]
00000001da925dc8 (__TEXT,__text) non-external +[MPConditionalAction conditionalAction]
00000001da925dc0 (__TEXT,__text) non-external +[MPConditionalAction supportsSecureCoding]
00000001da964b1c (__TEXT,__text) non-external +[MPCropController releaseSharedController]
00000001da964ab0 (__TEXT,__text) non-external +[MPCropController sharedController]
00000001da96ad84 (__TEXT,__text) non-external +[MPDocument automaticallyNotifiesObserversForKey:]
00000001da96ac70 (__TEXT,__text) non-external +[MPDocument initialize]
00000001da96add4 (__TEXT,__text) non-external +[MPDocument isNativeType:]
00000001da96aba0 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:]
00000001da971fb0 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.1
00000001da971fc4 (__TEXT,__text) non-external +[MPDocument keyedUnarchiverWithData:assetKeyDelegate:mediaProperties:error:].cold.2
00000001da96adc0 (__TEXT,__text) non-external +[MPDocument readableTypes]
00000001da96ad7c (__TEXT,__text) non-external +[MPDocument supportsSecureCoding]
00000001da96aa64 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:error:]
00000001da96aa7c (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:]
00000001da971fb0 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.1
00000001da971fc4 (__TEXT,__text) non-external +[MPDocument unarchiveDocumentFromData:withAssetKeyDelegate:andMediaProperties:error:].cold.2
00000001da96adac (__TEXT,__text) non-external +[MPDocument writableTypes]
00000001da972054 (__TEXT,__text) non-external +[MPEffect automaticallyNotifiesObserversForKey:]
00000001da9720a4 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:]
00000001da9720e0 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andPaths:]
00000001da972124 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:andStrings:]
00000001da972168 (__TEXT,__text) non-external +[MPEffect effectWithEffectID:strings:paths:]
00000001da97204c (__TEXT,__text) non-external +[MPEffect supportsSecureCoding]
00000001da97a934 (__TEXT,__text) non-external +[MPEffectContainer automaticallyNotifiesObserversForKey:]
00000001da97a95c (__TEXT,__text) non-external +[MPEffectContainer effectContainer]
00000001da97ac74 (__TEXT,__text) non-external +[MPEffectContainer supportsSecureCoding]
00000001da97e92c (__TEXT,__text) non-external +[MPEffectManager initialize]
00000001da97e9d8 (__TEXT,__text) non-external +[MPEffectManager releaseSharedManager]
00000001da97e964 (__TEXT,__text) non-external +[MPEffectManager sharedManager]
00000001da9819c0 (__TEXT,__text) non-external +[MPEffectManager(Private) loadEffectManagerWithPaths:]
00000001da9826a0 (__TEXT,__text) non-external +[MPFileValidationManager checkFileExtension:isAudio:isImage:isVideo:]
00000001da9829dc (__TEXT,__text) non-external +[MPFileValidationManager checkSpotlightFileType:isAudio:isImage:isVideo:]
00000001da982ba4 (__TEXT,__text) non-external +[MPFileValidationManager resolveAliasPath:]
00000001da9824a8 (__TEXT,__text) non-external +[MPFileValidationManager validateFiles:allowAudio:allowImages:allowMovies:extensionsOnly:]
00000001da98246c (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForAudio:extensionsOnly:]
00000001da982480 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForImages:extensionsOnly:]
00000001da982494 (__TEXT,__text) non-external +[MPFileValidationManager validateFilesForMovies:extensionsOnly:]
00000001da982cd0 (__TEXT,__text) non-external +[MPFilter filterWithFilterID:]
00000001da982cc8 (__TEXT,__text) non-external +[MPFilter supportsSecureCoding]
00000001da98496c (__TEXT,__text) non-external +[MPFilterManager releaseSharedManager]
00000001da9848f8 (__TEXT,__text) non-external +[MPFilterManager sharedManager]
00000001da985724 (__TEXT,__text) non-external +[MPFilterManager(Private) loadFilterManagerWithPaths:]
00000001da985fe8 (__TEXT,__text) non-external +[MPFrame frameWithFrameID:]
00000001da985fe0 (__TEXT,__text) non-external +[MPFrame supportsSecureCoding]
00000001da986974 (__TEXT,__text) non-external +[MPFrameManager releaseSharedManager]
00000001da986900 (__TEXT,__text) non-external +[MPFrameManager sharedManager]
00000001da987050 (__TEXT,__text) non-external +[MPFrameManager(Private) loadFrameManagerWithPaths:]
00000001da927238 (__TEXT,__text) non-external +[MPGenericAction genericAction]
00000001da927230 (__TEXT,__text) non-external +[MPGenericAction supportsSecureCoding]
00000001da987c90 (__TEXT,__text) non-external +[MPLayer automaticallyNotifiesObserversForKey:]
00000001da987d18 (__TEXT,__text) non-external +[MPLayer effectLayer]
00000001da987cb8 (__TEXT,__text) non-external +[MPLayer layer]
00000001da987ce8 (__TEXT,__text) non-external +[MPLayer sequentialLayer]
00000001da987d48 (__TEXT,__text) non-external +[MPLayer supportsSecureCoding]
00000001da98c938 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:]
00000001da98c974 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andPaths:]
00000001da98c9b8 (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:andStrings:]
00000001da98c9fc (__TEXT,__text) non-external +[MPLayerEffect layerEffectWithEffectID:strings:paths:]
00000001da991734 (__TEXT,__text) non-external +[MPLayerGroup automaticallyNotifiesObserversForKey:]
00000001da9917ac (__TEXT,__text) non-external +[MPLayerGroup supportsSecureCoding]
00000001da99b094 (__TEXT,__text) non-external +[MPNavigator supportsSecureCoding]
00000001da99e804 (__TEXT,__text) non-external +[MPSlide slideWithPath:]
00000001da99e7dc (__TEXT,__text) non-external +[MPSlide slide]
00000001da99e7d4 (__TEXT,__text) non-external +[MPSlide supportsSecureCoding]
00000001da9a3c5c (__TEXT,__text) non-external +[MPSong songWithPath:]
00000001da9a3c20 (__TEXT,__text) non-external +[MPSong songWithURL:]
00000001da9a3bf8 (__TEXT,__text) non-external +[MPSong song]
00000001da9a3bf0 (__TEXT,__text) non-external +[MPSong supportsSecureCoding]
00000001da9a4eac (__TEXT,__text) non-external +[MPSongManager releaseSharedManager]
00000001da9a4e38 (__TEXT,__text) non-external +[MPSongManager sharedManager]
00000001da926df4 (__TEXT,__text) non-external +[MPStateOperation stateOperation]
00000001da926dec (__TEXT,__text) non-external +[MPStateOperation supportsSecureCoding]
00000001da9a5bc4 (__TEXT,__text) non-external +[MPStyleManager releaseSharedManager]
00000001da915a0c (__TEXT,__text) non-external +[MPStyleManager sharedManager]
00000001da9a74b8 (__TEXT,__text) non-external +[MPStyleManager(Private) loadStyleManagerWithPaths:]
00000001da9a9010 (__TEXT,__text) non-external +[MPText supportsSecureCoding]
00000001da9a9018 (__TEXT,__text) non-external +[MPText textWithAttributedString:]
00000001da9aabfc (__TEXT,__text) non-external +[MPTransition supportsSecureCoding]
00000001da9aabc0 (__TEXT,__text) non-external +[MPTransition transitionWithTransitionID:]
00000001da927624 (__TEXT,__text) non-external +[MPTransitionAction supportsSecureCoding]
00000001da92762c (__TEXT,__text) non-external +[MPTransitionAction transitionAction]
00000001da9ac250 (__TEXT,__text) non-external +[MPTransitionManager releaseSharedManager]
00000001da9ac1dc (__TEXT,__text) non-external +[MPTransitionManager sharedManager]
00000001da9acd84 (__TEXT,__text) non-external +[MPTransitionManager(Private) loadTransitionManagerWithPaths:]
00000001da9b0880 (__TEXT,__text) non-external +[MPUtilities animationsPathsFromFilterID:andPresetID:]
00000001da9b25fc (__TEXT,__text) non-external +[MPUtilities aspectRatioOfLayerable:relativeToAspectRatio:]
00000001da9b040c (__TEXT,__text) non-external +[MPUtilities attributesFormMPFilter:atTime:]
00000001da9b04b4 (__TEXT,__text) non-external +[MPUtilities attributesFromAnimationPathsInFilter:atTime:]
00000001da9afefc (__TEXT,__text) non-external +[MPUtilities attributesFromCIFilter:fromSourceSize:]
00000001da9af4ec (__TEXT,__text) non-external +[MPUtilities computePointValueForAnimationPath:atTime:defaultsTo:]
00000001da9aef88 (__TEXT,__text) non-external +[MPUtilities computeScalarValueForAnimationPath:atTime:defaultsTo:context:]
00000001da9af734 (__TEXT,__text) non-external +[MPUtilities computeVectorValueForAnimationPath:atTime:defaultsTo:]
00000001da9b028c (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPFilter:]
00000001da9b034c (__TEXT,__text) non-external +[MPUtilities defaultAttributesForMPTransition:]
00000001da9b276c (__TEXT,__text) non-external +[MPUtilities displayTimeForText:]
00000001da9b12b8 (__TEXT,__text) non-external +[MPUtilities effectContainersForTime:inDocument:]
00000001da9b15e8 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerEffect:inDocument:]
00000001da9b1564 (__TEXT,__text) non-external +[MPUtilities effectForMCContainerWithObjectID:inDocument:]
00000001da9b21c4 (__TEXT,__text) non-external +[MPUtilities idOfCombinedID:]
00000001da9b20b4 (__TEXT,__text) non-external +[MPUtilities layerForContainer:inDocument:]
00000001da9b2290 (__TEXT,__text) non-external +[MPUtilities placesPinLabelForSlideAssetPath:inDocument:]
00000001da9b2228 (__TEXT,__text) non-external +[MPUtilities presetIDOfCombinedID:]
00000001da9afaa4 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetPointValue:withKey:forFilterID:andPresetID:]
00000001da9af9e8 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetScalarValue:withKey:forFilterID:andPresetID:]
00000001da9afd70 (__TEXT,__text) non-external +[MPUtilities scaledFilterPresetVectorValue:withKey:forFilterID:andPresetID:]
00000001da9b1fa8 (__TEXT,__text) non-external +[MPUtilities slideForElementID:withMCContainerEffect:inDocument:]
00000001da9b1ac8 (__TEXT,__text) non-external +[MPUtilities slideForPath:inDocument:]
00000001da9b1a1c (__TEXT,__text) non-external +[MPUtilities slideForSlide:inDocument:]
00000001da9b0d98 (__TEXT,__text) non-external +[MPUtilities syncAnimationPaths:]
00000001da9b1efc (__TEXT,__text) non-external +[MPUtilities textForElementID:withMCContainerEffect:inDocument:]
00000001da9b14ac (__TEXT,__text) non-external +[MPUtilities textForIndex:inMCContainerWithObjectID:inDocument:]
00000001da9b1c80 (__TEXT,__text) non-external +[MPUtilities textsDisplayedAtTime:inDocument:]
00000001da9aed3c (__TEXT,__text) non-external +[MPUtilities timeOffSetFromString:]
00000001da9aee3c (__TEXT,__text) non-external +[MPUtilities transformTime:forAnimationPath:]
00000001da9b2ef8 (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromColor:]
00000001da9b2fdc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorFromString:]
00000001da9b31fc (__TEXT,__text) non-external +[MPUtilities(Internal) CGColorWithRed:green:blue:alpha:]
00000001da9b3290 (__TEXT,__text) non-external +[MPUtilities(Internal) blackCGColor]
00000001da9b3890 (__TEXT,__text) non-external +[MPUtilities(Internal) collectAllActionableLayers:inDictionary:]
00000001da9b2eac (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromCGColor:]
00000001da9b2e38 (__TEXT,__text) non-external +[MPUtilities(Internal) colorFromString:]
00000001da9b3648 (__TEXT,__text) non-external +[MPUtilities(Internal) createMCAction:forPlug:withKey:]
00000001da9b3a24 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInContainer:forLayer:key:inDocument:]
00000001da9b3bd0 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugInSlide:forLayer:inDocument:]
00000001da9b3320 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToContainer:inDocument:]
00000001da9b3454 (__TEXT,__text) non-external +[MPUtilities(Internal) createPlugPathToObject:inDocument:]
00000001da9b2ab0 (__TEXT,__text) non-external +[MPUtilities(Internal) executeScript:withHeader:andAttributes:]
00000001da9b3280 (__TEXT,__text) non-external +[MPUtilities(Internal) newColorSpaceForDevice]
00000001da9b3c68 (__TEXT,__text) non-external +[MPUtilities(Internal) parentsOfObject:]
00000001da9b3620 (__TEXT,__text) non-external +[MPUtilities(Internal) pathIsRelative:]
00000001da9b331c (__TEXT,__text) non-external +[MPUtilities(Internal) registerUndoForDocument:toReceiver:withSelector:object:]
00000001da9b31a8 (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromCGColor:]
00000001da9b2e6c (__TEXT,__text) non-external +[MPUtilities(Internal) stringFromColor:]
00000001da9b2dd0 (__TEXT,__text) non-external +[MPUtilities(Internal) stringWithNewUUID]
00000001da92cb5c (__TEXT,__text) non-external +[MPVector scriptingVectorWithDescriptor:]
00000001da92c4b8 (__TEXT,__text) non-external +[MPVector supportsSecureCoding]
00000001da92c698 (__TEXT,__text) non-external +[MPVector vectorFromCGColor:]
00000001da92c510 (__TEXT,__text) non-external +[MPVector vectorFromCIVector:]
00000001da92c5fc (__TEXT,__text) non-external +[MPVector vectorFromColor:]
00000001da92c4c0 (__TEXT,__text) non-external +[MPVector vectorFromString:]
00000001da92c5c4 (__TEXT,__text) non-external +[MPVector vectorWithValues:]
00000001da92cc58 (__TEXT,__text) non-external +[MPVector(Private) vectorFromMCVector:]
00000001da9b6820 (__TEXT,__text) non-external +[MRAnimationManager initialize]
00000001da9b6890 (__TEXT,__text) non-external +[MRAnimationManager loadAnimationManagerWithPaths:]
00000001da9b6884 (__TEXT,__text) non-external +[MRAnimationManager sharedManager]
00000001dab26d80 (__TEXT,__text) non-external +[MRCAMLUtilities valueAtIndex:forAnimationPath:atTime:]
00000001da9bcdf8 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001da9bce00 (__TEXT,__text) non-external +[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001da9bcfb8 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001da9bd3ac (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001da9bcfc0 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001da9bd178 (__TEXT,__text) non-external +[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001da9bf00c (__TEXT,__text) non-external +[MREffect customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001da9bf014 (__TEXT,__text) non-external +[MREffect defaultEffectAttributesWithEffectID:andSlideInformation:]
00000001da9bf004 (__TEXT,__text) non-external +[MREffect hasCustomTiming]
00000001da9beb50 (__TEXT,__text) non-external +[MREffect retainedEffectWithEffectID:forEffectLayer:]
00000001da9bfac8 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001da9bfad0 (__TEXT,__text) non-external +[MREffect(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001daadb8f4 (__TEXT,__text) non-external +[MREffectCoverCascade customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001daadb8ec (__TEXT,__text) non-external +[MREffectCoverCascade hasCustomTiming]
00000001daade91c (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansionForEffectID:]
00000001daade924 (__TEXT,__text) non-external +[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSizeForEffectID:]
00000001dab039a0 (__TEXT,__text) non-external +[MREffectDateline _timeIs24HourFormat]
00000001dab03374 (__TEXT,__text) non-external +[MREffectDateline customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001dab0336c (__TEXT,__text) non-external +[MREffectDateline hasCustomTiming]
00000001dab0268c (__TEXT,__text) non-external +[MREffectDateline initialize]
00000001dab03444 (__TEXT,__text) non-external +[MREffectDateline localizedDateStringForMainTitle:latest:]
00000001dab0373c (__TEXT,__text) non-external +[MREffectDateline localizedStringsDictByDate:useHours:]
00000001daad74a0 (__TEXT,__text) non-external +[MREffectFlipup customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
00000001daad7498 (__TEXT,__text) non-external +[MREffectFlipup hasCustomTiming]
00000001daad70a0 (__TEXT,__text) non-external +[MREffectFlipup initialize]
00000001dab11240 (__TEXT,__text) non-external +[MREffectFloating customTimingWithEffectID:effectAttributes:slideInformation:textInformation:inAspectRatio:]
