0000000293e69c90 (__DATA,__data) non-external _.compoundliteral
00000002256acc40 (__TEXT,__text) external _ShSetInitialUniformValue
00000002256aeb28 (__TEXT,__text) external _ShTerminateLibrary
00000002256ace44 (__TEXT,__text) external _ShTransformFeedbackVaryings
000000022569f8f8 (__TEXT,__text) non-external (was a private external) _SrcSwizzle
000000022570b780 (__TEXT,__text) non-external (was a private external) _SwitchTexOps
00000002256bb930 (__TEXT,__text) non-external (was a private external) _UngetToken
0000000225709860 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopSimple
000000022570758c (__TEXT,__text) non-external _UnrollConstantLoopsInner
0000000225707430 (__TEXT,__text) non-external (was a private external) _UnrollConstantLoopsSimple
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000002256b4b90 (__TEXT,__text) non-external ____checkAndSanitizeArrayConstructorCall_block_invoke
00000002256b4228 (__TEXT,__text) non-external ____checkAndSanitizeComponentwiseConstructorCall_block_invoke
00000002256b4f00 (__TEXT,__text) non-external ____checkAndSanitizeStructConstructorCall_block_invoke
00000002256b48cc (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke
00000002256b4a6c (__TEXT,__text) non-external ____componentwiseConstructor_block_invoke_2
00000002256b4e0c (__TEXT,__text) non-external ____elementwiseConstructor_block_invoke
                 (undefined) external ____tolower_l (from libSystem)
00000002256905a0 (__TEXT,__text) non-external ___abort_calloc
00000002255f2004 (__TEXT,__text) non-external ___abort_malloc
000000022569016c (__TEXT,__text) non-external ___abort_malloc
0000000225666e84 (__TEXT,__text) non-external ___addConstantsForGLPValue_block_invoke
000000022566096c (__TEXT,__text) non-external ___analytics_send_event_lazy_func_block_invoke
000000028f3b5100 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5138 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5258 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b54f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5578 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5da0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5e98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5ed8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5f58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b61b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b83d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b8450 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
0000000299f9b330 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
0000000299f9b360 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
0000000299f9b6c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
000000028f3b5198 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
000000028f3b62b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
000000028f3b62d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
0000000299f9b8a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
0000000299f9b8d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.119
000000028f3b62f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
0000000299f9b900 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.128
000000028f3b83f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.139
000000028f3b51b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
000000028f3b5518 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
0000000299f9b950 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.146
0000000299f9b980 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.156
000000028f3b5298 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
000000028f3b6318 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
0000000299f9b720 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
0000000299f9ba50 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
0000000299f9b9b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.161
000000028f3b8410 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.167
000000028f3b6338 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
000000028f3b8430 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.171
0000000299f9ba80 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
000000028f3b5538 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
000000028f3b5158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
000000028f3b61d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
0000000299f9b390 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.2
000000028f3b5558 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.20
000000028f3b51d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
000000028f3b8470 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.21
0000000299f9b750 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.23
000000028f3b51f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
000000028f3b61f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
000000028f3b5218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
0000000299f9b780 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.33
000000028f3b5238 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
000000028f3b6218 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
0000000299f9b3c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.44
000000028f3b6238 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
0000000299f9b470 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
0000000299f9b3f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.54
000000028f3b5178 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
000000028f3b6258 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
0000000299f9b6f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
000000028f3b6278 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
0000000299f9b7b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
0000000299f9b7e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.76
0000000299f9b4a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.78
0000000299f9b810 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.80
0000000299f9b840 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.82
0000000299f9b4d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.85
000000028f3b5f78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
0000000299f9b500 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.89
000000028f3b6298 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
0000000299f9ba20 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.9
000000028f3b5f98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
0000000299f9b420 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
0000000299f9b530 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
000000028f3b5eb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.96
0000000299f9b870 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.99
0000000299f9b190 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b1b0 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b2d0 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b310 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b450 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b930 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9bab0 (__AUTH_CONST,__const) non-external ___block_literal_global
0000000299f9b210 (__AUTH_CONST,__const) non-external ___block_literal_global.12
0000000299f9b230 (__AUTH_CONST,__const) non-external ___block_literal_global.16
0000000299f9b2f0 (__AUTH_CONST,__const) non-external ___block_literal_global.16
0000000299f9b9e0 (__AUTH_CONST,__const) non-external ___block_literal_global.169
0000000299f9ba00 (__AUTH_CONST,__const) non-external ___block_literal_global.173
0000000299f9b250 (__AUTH_CONST,__const) non-external ___block_literal_global.32
0000000299f9b1d0 (__AUTH_CONST,__const) non-external ___block_literal_global.4
0000000299f9b1f0 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___chkstk_darwin (from libSystem)
000000022568b490 (__TEXT,__text) non-external ___compilerRemapFixup_block_invoke
000000022569e3ac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000002256f97ac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40b
00000002256a0c30 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000002256a0b84 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000002256b42fc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000002256c4e44 (__TEXT,__text) non-external ___deserialize_GLPASTNode_block_invoke
00000002256c4464 (__TEXT,__text) non-external ___deserialize_GLPBufferObject_block_invoke
00000002256c3468 (__TEXT,__text) non-external ___deserialize_GLPFunctionObject_block_invoke
00000002256c4808 (__TEXT,__text) non-external ___deserialize_GLPInterfaceBlockObject_block_invoke
00000002256c2e54 (__TEXT,__text) non-external ___deserialize_GLPLayoutObject_block_invoke
00000002256c2f50 (__TEXT,__text) non-external ___deserialize_GLPLayoutPair_block_invoke
00000002256c8d10 (__TEXT,__text) non-external ___deserialize_GLPOffsetObject_block_invoke
00000002256c4c0c (__TEXT,__text) non-external ___deserialize_GLPOverload_block_invoke
00000002256ab500 (__TEXT,__text) non-external ___deserialize_GLPString_block_invoke
00000002256c4d1c (__TEXT,__text) non-external ___deserialize_GLPSubroutineUniformObject_block_invoke
00000002256c4de8 (__TEXT,__text) non-external ___deserialize_GLPTwoThings_block_invoke
00000002256bff58 (__TEXT,__text) non-external ___deserialize_GLPType_block_invoke
00000002256c1428 (__TEXT,__text) non-external ___deserialize_GLPValue_block_invoke
00000002256c3d60 (__TEXT,__text) non-external ___deserialize_GLPVariableObject_block_invoke
000000022569e3bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000002256f97fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40b
00000002256a0c40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000002256a0bd4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000002256b435c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libSystem)
00000002256694d8 (__TEXT,__text) non-external ___getOrAddComponentStride_block_invoke
00000002256a691c (__TEXT,__text) non-external ___glpAnalyzeCallToOverload_block_invoke
000000022568af80 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke
000000022568af94 (__TEXT,__text) non-external ___glpCompilerApplyImplictRulesForGlobalTypeQualifier_block_invoke_2
000000022568b498 (__TEXT,__text) non-external ___glpCompilerRemapBufferObject_block_invoke
0000000225660530 (__TEXT,__text) non-external ___glpCreateDoublesTelemetry_block_invoke
0000000225660694 (__TEXT,__text) non-external ___glpCreateNVFragment2Telemetry_block_invoke
000000022566065c (__TEXT,__text) non-external ___glpCreateNVFragmentProgramTelemetry_block_invoke
00000002256605ec (__TEXT,__text) non-external ___glpCreateNVVertex2Telemetry_block_invoke
0000000225660624 (__TEXT,__text) non-external ___glpCreateNVVertex3Telemetry_block_invoke
00000002256606a0 (__TEXT,__text) non-external ___glpCreateTelemetry_block_invoke
00000002256a7b70 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke
00000002256a7c10 (__TEXT,__text) non-external ___glpEvaluateTypeNode_block_invoke.51
00000002256a0b0c (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke
00000002256a0c18 (__TEXT,__text) non-external ___glpLookUpAndAnalyzeCall_block_invoke.1
00000002256b2920 (__TEXT,__text) non-external ___glpLowerNonatomicTypeConversion_block_invoke
00000002256b2e34 (__TEXT,__text) non-external ___glpMakeTemporary_block_invoke
000000022569e2f4 (__TEXT,__text) non-external ___glpNameTableGet_block_invoke
000000022568b91c (__TEXT,__text) non-external ___glpPackConstants_block_invoke
00000002256ec5a0 (__TEXT,__text) non-external ___glpSAFunctionDefinition_block_invoke
00000002256ec3bc (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke
00000002256ec3e0 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.75
00000002256ec464 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.77
00000002256ec490 (__TEXT,__text) non-external ___glpSAFunctionPrototype_block_invoke.81
00000002256ec6d0 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke
00000002256ec6f4 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.158
00000002256ec70c (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke.166
00000002256ec718 (__TEXT,__text) non-external ___glpSAInterfaceBlock_block_invoke_2
00000002256ebfcc (__TEXT,__text) non-external ___glpSAMethodCall_block_invoke
00000002256ec57c (__TEXT,__text) non-external ___glpSAQualifiedDeclaration_block_invoke
00000002256a904c (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke
00000002256a9090 (__TEXT,__text) non-external ___glpSASpecialAssert_block_invoke.94
00000002256ec660 (__TEXT,__text) non-external ___glpSAStructType_block_invoke
00000002256ebfa8 (__TEXT,__text) non-external ___glpSASubroutineArrayCall_block_invoke
